Block	Mean	Prog_mean	Error
1	0.382781	0.382781	0
2	0.318924	0.350852	0.0319287
3	0.369188	0.356964	0.0194208
4	0.388313	0.364801	0.0158116
5	0.368905	0.365622	0.0122751
6	0.404861	0.372162	0.0119675
7	0.283677	0.359521	0.0161891
8	0.327588	0.355529	0.0145774
9	0.404861	0.361011	0.0139758
10	0.339896	0.358899	0.0126774
11	0.228756	0.347068	0.0164764
12	0.268389	0.340511	0.0164078
13	0.392946	0.344545	0.0156226
14	0.234894	0.336713	0.0164482
15	0.334213	0.336546	0.0153133
16	0.378042	0.33914	0.0145572
17	0.306741	0.337234	0.0138063
18	0.361856	0.338602	0.0130884
19	0.315799	0.337402	0.0124384
20	0.325952	0.336829	0.011814
21	0.353719	0.337633	0.0112661
22	0.360699	0.338682	0.0107928
23	0.360632	0.339636	0.010357
24	0.257055	0.336195	0.0104961
25	0.325361	0.335762	0.0100768
26	0.380738	0.337492	0.0098348
27	0.2605	0.33464	0.00988382
28	0.335513	0.334671	0.00952433
29	0.30963	0.333808	0.00923052
30	0.384902	0.335511	0.00907871
31	0.308223	0.334631	0.00882498
32	0.420301	0.337308	0.00895434
33	0.276314	0.33546	0.00887339
34	0.318328	0.334956	0.00862318
35	0.275964	0.33327	0.00854114
36	0.329288	0.33316	0.00830123
37	0.323492	0.332898	0.00807798
38	0.222263	0.329987	0.00838427
39	0.322078	0.329784	0.00816898
40	0.357798	0.330485	0.00799287
41	0.335198	0.330599	0.00779634
42	0.288492	0.329597	0.00767421
43	0.385318	0.330893	0.00760484
44	0.266872	0.329438	0.00757112
45	0.3283	0.329412	0.007401
46	0.309592	0.328982	0.00725114
47	0.314286	0.328669	0.00710207
48	0.34691	0.329049	0.00696291
49	0.406233	0.330624	0.00699889
50	0.290872	0.329829	0.00690342
