Block	Mean	Prog_mean	Error
1	0.83758	0.83758	0
2	0.928512	0.883046	0.045466
3	0.954232	0.906775	0.0353851
4	0.964944	0.921317	0.0289401
5	0.855916	0.908237	0.025954
6	0.937112	0.913049	0.0217309
7	0.89526	0.910508	0.018541
8	0.947168	0.915091	0.0166981
9	0.94388	0.918289	0.0150697
10	0.893148	0.915775	0.0137112
11	0.865712	0.911224	0.013211
12	0.889968	0.909453	0.0121893
13	0.836464	0.903838	0.0125397
14	0.735248	0.891796	0.016727
15	0.912432	0.893172	0.0156327
16	0.95944	0.897314	0.0151983
17	0.71514	0.886597	0.0178507
18	0.7136	0.876986	0.0193807
19	0.977676	0.882286	0.0190829
20	0.938932	0.885118	0.0183239
21	0.951904	0.888298	0.0177173
22	0.910168	0.889293	0.016922
23	0.928092	0.890979	0.0162573
24	0.892856	0.891058	0.0155653
25	0.640896	0.881051	0.0179729
26	0.887888	0.881314	0.0172698
27	0.956012	0.884081	0.0168466
28	0.982728	0.887604	0.0166117
29	0.900004	0.888031	0.0160344
30	0.956504	0.890314	0.0156579
31	0.756396	0.885994	0.0157485
32	0.877124	0.885717	0.0152509
33	0.934144	0.887184	0.0148542
34	0.54914	0.877242	0.0175078
35	0.529	0.867292	0.0196978
36	0.951228	0.869624	0.0192843
37	0.962128	0.872124	0.0189218
38	0.935148	0.873782	0.0184916
39	0.967744	0.876191	0.0181717
40	0.815976	0.874686	0.0177754
41	0.672636	0.869758	0.0180233
42	0.963908	0.872	0.0177312
43	0.964832	0.874159	0.017448
44	0.974812	0.876446	0.0171996
45	0.890964	0.876769	0.0168162
46	0.9062	0.877409	0.016459
47	0.901768	0.877927	0.0161133
48	0.789584	0.876086	0.0158811
49	0.918128	0.876944	0.0155772
50	0.960476	0.878615	0.0153537
