Block	Mean	Prog_mean	Error	Temperature
50	71.7749	79.0404	0.79276	0.5
50	42.502	44.4923	0.506944	0.6
50	25.5467	24.6001	0.252711	0.7
50	14.4205	15.1463	0.12407	0.8
50	10.6399	10.2764	0.0820171	0.9
50	7.0375	7.34275	0.0527593	1.0
50	5.37363	5.6047	0.0340466	1.1
50	4.13003	4.4152	0.0250876	1.2
50	3.41801	3.59663	0.014845	1.3
50	3.04437	2.97394	0.013212	1.4
50	2.47537	2.52763	0.00900698	1.5
50	2.29861	2.16798	0.00786499	1.6
50	1.90592	1.90264	0.00655121	1.7
50	1.63568	1.69417	0.00622142	1.8
50	1.53593	1.50463	0.00477604	1.9
50	1.3453	1.35878	0.00398086	2.0
