Block	Mean	Prog_mean	Error	Temperature
50	-0.966904	-0.97405	0.000804443	0.5
50	-0.932432	-0.935755	0.000688642	0.6
50	-0.892936	-0.891986	0.000513655	0.7
50	-0.845136	-0.848388	0.000452771	0.8
50	-0.808944	-0.804703	0.00038292	0.9
50	-0.758808	-0.761398	0.000358393	1.0
50	-0.720256	-0.720338	0.000323026	1.1
50	-0.684056	-0.682033	0.000341558	1.2
50	-0.645488	-0.646184	0.00033481	1.3
50	-0.616072	-0.613364	0.000240144	1.4
50	-0.582152	-0.582792	0.000221968	1.5
50	-0.556184	-0.55409	0.000300669	1.6
50	-0.527184	-0.52859	0.000234988	1.7
50	-0.505296	-0.505267	0.000283379	1.8
50	-0.482976	-0.482107	0.000239403	1.9
50	-0.459528	-0.462054	0.000255464	2.0
