Block	Mean	Prog_mean	Error	Temperature
50	0.394947	0.325379	0.00682911	0.5
50	0.449112	0.418252	0.00296368	0.6
50	0.434059	0.429507	0.00260782	0.7
50	0.467639	0.436382	0.00244983	0.8
50	0.429393	0.435513	0.0018334	0.9
50	0.405337	0.416962	0.00120133	1.0
50	0.402933	0.397275	0.0012747	1.1
50	0.370029	0.371201	0.00099225	1.2
50	0.33918	0.344802	0.000866282	1.3
50	0.326064	0.318338	0.000723679	1.4
50	0.284235	0.293704	0.000684885	1.5
50	0.275766	0.269661	0.00061933	1.6
50	0.25369	0.248782	0.000618191	1.7
50	0.23056	0.229308	0.000569505	1.8
50	0.21636	0.212572	0.00037173	1.9
50	0.200937	0.197063	0.000365908	2.0
