Block	Mean	Prog_mean	Error	Temperature
50	0.811292	0.896648	0.00939347	0.5
50	0.631172	0.659799	0.010184	0.6
50	0.407504	0.437804	0.00778191	0.7
50	0.202024	0.28256	0.00630712	0.8
50	0.179132	0.199415	0.0038905	0.9
50	0.162432	0.144193	0.00292683	1.0
50	0.083368	0.112111	0.00263446	1.1
50	0.092564	0.0869325	0.00190105	1.2
50	0.075752	0.066641	0.00152576	1.3
50	0.060508	0.0571858	0.00113779	1.4
50	0.057968	0.0520486	0.00121265	1.5
50	0.042996	0.0430441	0.00107049	1.6
50	0.035068	0.037813	0.000864418	1.7
50	0.039384	0.034416	0.000851306	1.8
50	0.029972	0.0308569	0.000928049	1.9
50	0.030216	0.027589	0.000668999	2.0
