Block	Mean	Prog_mean	Error
1	85.5054	85.5054	0
2	67.9413	76.7234	8.78207
3	78.879	77.4419	5.121
4	76.9476	77.3183	3.6232
5	75.697	76.9941	2.82519
6	84.3035	78.2123	2.60868
7	85.8717	79.3065	2.46133
8	81.4317	79.5722	2.14806
9	86.8996	80.3863	2.06196
10	79.1535	80.263	1.84839
11	86.4632	80.8267	1.76438
12	70.5291	79.9686	1.82499
13	83.3996	80.2325	1.69937
14	77.9263	80.0678	1.58191
15	81.4435	80.1595	1.47553
16	68.0564	79.403	1.57393
17	74.8494	79.1352	1.50252
18	91.9116	79.845	1.58447
19	81.4008	79.9269	1.50099
20	82.2403	80.0425	1.42866
21	88.2115	80.4315	1.4135
22	83.4061	80.5667	1.35449
23	71.8473	80.1876	1.34864
24	71.0965	79.8088	1.34564
25	86.0501	80.0585	1.31461
26	81.3261	80.1072	1.26398
27	68.3161	79.6705	1.29229
28	81.5663	79.7382	1.24712
29	77.1485	79.6489	1.20666
30	80.8848	79.6901	1.16647
31	78.3831	79.648	1.129
32	82.5615	79.739	1.09694
33	77.13	79.66	1.06611
34	81.3744	79.7104	1.03551
35	79.3793	79.7009	1.00553
36	82.3062	79.7733	0.979879
37	78.8448	79.7482	0.953358
38	69.2227	79.4712	0.968389
39	79.2128	79.4646	0.943255
40	78.1775	79.4324	0.919934
41	80.2089	79.4513	0.897416
42	80.1533	79.4681	0.875947
43	82.7252	79.5438	0.858682
44	76.2441	79.4688	0.842284
45	72.9352	79.3236	0.836057
46	73.9343	79.2065	0.826031
47	85.7287	79.3452	0.820091
48	74.1666	79.2373	0.810041
49	76.8524	79.1887	0.794829
50	71.7749	79.0404	0.79276
