Block	Mean	Prog_mean	Error
1	-0.979336	-0.979336	0
2	-0.96428	-0.971808	0.007528
3	-0.973096	-0.972237	0.00436745
4	-0.97184	-0.972138	0.00308985
5	-0.970776	-0.971866	0.00240884
6	-0.979104	-0.973072	0.00230732
7	-0.982304	-0.974391	0.00235416
8	-0.976176	-0.974614	0.00205093
9	-0.981672	-0.975398	0.00197144
10	-0.973928	-0.975251	0.00176943
11	-0.980832	-0.975759	0.001679
12	-0.9664	-0.974979	0.00171971
13	-0.979304	-0.975311	0.00161652
14	-0.97228	-0.975095	0.00151219
15	-0.976512	-0.975189	0.00141093
16	-0.963488	-0.974458	0.00150889
17	-0.96892	-0.974132	0.00145431
18	-0.988744	-0.974944	0.00159342
19	-0.9768	-0.975042	0.00151038
20	-0.977112	-0.975145	0.00143661
21	-0.983664	-0.975551	0.00142543
22	-0.979328	-0.975723	0.00136989
23	-0.9662	-0.975309	0.0013729
24	-0.966408	-0.974938	0.00136576
25	-0.981696	-0.975208	0.0013376
26	-0.97616	-0.975245	0.00128564
27	-0.963288	-0.974802	0.00131398
28	-0.976128	-0.974849	0.00126707
29	-0.971744	-0.974742	0.00122728
30	-0.976312	-0.974794	0.00118682
31	-0.973704	-0.974759	0.00114843
32	-0.978024	-0.974861	0.00111663
33	-0.971352	-0.974755	0.00108748
34	-0.975744	-0.974784	0.00105541
35	-0.973112	-0.974736	0.00102593
36	-0.97676	-0.974792	0.000998605
37	-0.972592	-0.974733	0.00097306
38	-0.96488	-0.974474	0.000981958
39	-0.973328	-0.974444	0.0009569
40	-0.972368	-0.974392	0.000934114
41	-0.974968	-0.974406	0.000911154
42	-0.9752	-0.974425	0.000889396
43	-0.977256	-0.974491	0.000870957
44	-0.971376	-0.97442	0.000853873
45	-0.967392	-0.974264	0.000849169
46	-0.969664	-0.974164	0.000836503
47	-0.981896	-0.974329	0.00083488
48	-0.969336	-0.974225	0.000823893
49	-0.9728	-0.974196	0.000807428
50	-0.966904	-0.97405	0.000804443
