Block	Mean	Prog_mean	Error
1	0.32228	0.32228	0
2	0.380848	0.351564	0.0292842
3	0.320259	0.341129	0.0198682
4	0.347515	0.342725	0.0141394
5	0.367432	0.347667	0.0120153
6	0.299743	0.339679	0.0126507
7	0.241754	0.32569	0.0176073
8	0.309651	0.323685	0.0153796
9	0.266769	0.317361	0.0149654
10	0.32037	0.317662	0.0133888
11	0.27775	0.314034	0.0126425
12	0.369152	0.318627	0.0124214
13	0.283615	0.315934	0.0117392
14	0.330032	0.316941	0.0109149
15	0.304895	0.316138	0.0101929
16	0.364927	0.319187	0.0100103
17	0.406487	0.324322	0.010714
18	0.165764	0.315514	0.0134026
19	0.294016	0.314382	0.012728
20	0.286012	0.312964	0.0121578
21	0.241283	0.30955	0.0120576
22	0.275238	0.307991	0.0116018
23	0.387064	0.311429	0.0116068
24	0.355052	0.313246	0.0112603
25	0.261441	0.311174	0.0109975
26	0.317179	0.311405	0.0105686
27	0.402574	0.314782	0.0107155
28	0.327114	0.315222	0.0103351
29	0.354112	0.316563	0.0100622
30	0.297504	0.315928	0.0097417
31	0.321608	0.316111	0.009424
32	0.306739	0.315818	0.00912945
33	0.350802	0.316878	0.00891175
34	0.321625	0.317018	0.0086468
35	0.343471	0.317774	0.00843006
36	0.308108	0.317505	0.00819695
37	0.354336	0.318501	0.00803423
38	0.386661	0.320294	0.00802303
39	0.350265	0.321063	0.0078523
40	0.364671	0.322153	0.00773073
41	0.326648	0.322263	0.00754061
42	0.342144	0.322736	0.00737409
43	0.316766	0.322597	0.0072019
44	0.353765	0.323305	0.00707188
45	0.383312	0.324639	0.00704038
46	0.332809	0.324817	0.00688792
47	0.230257	0.322805	0.00703366
48	0.371432	0.323818	0.00695969
49	0.330752	0.323959	0.00681764
50	0.394947	0.325379	0.00682911
