Block	Mean	Prog_mean	Error
1	0.922932	0.922932	0
2	0.944072	0.933502	0.01057
3	0.875244	0.914083	0.0203556
4	0.928776	0.917756	0.0148549
5	0.891932	0.912591	0.0126126
6	0.736668	0.883271	0.0310764
7	0.799696	0.871331	0.0288507
8	0.785132	0.860557	0.0272098
9	0.903968	0.86538	0.0244767
10	0.939596	0.872802	0.0231164
11	0.919684	0.877064	0.0213395
12	0.66786	0.85963	0.0261421
13	0.902732	0.862946	0.0242748
14	0.884088	0.864456	0.0225247
15	0.890052	0.866162	0.0210387
16	0.959416	0.871991	0.0205248
17	0.950248	0.876594	0.0198217
18	0.870768	0.87627	0.0186909
19	0.875688	0.87624	0.0176798
20	0.91344	0.8781	0.0168754
21	0.93136	0.880636	0.0162508
22	0.870188	0.880161	0.0155018
23	0.931528	0.882394	0.0149799
24	0.947936	0.885125	0.0145999
25	0.8599	0.884116	0.01404
26	0.945748	0.886487	0.0136959
27	0.934324	0.888258	0.0132974
28	0.784812	0.884564	0.0133357
29	0.969884	0.887506	0.0131997
30	0.935636	0.88911	0.0128526
31	0.932728	0.890517	0.0125105
32	0.962632	0.892771	0.0123211
33	0.9387	0.894163	0.0120227
34	0.776244	0.890694	0.0121685
35	0.873136	0.890193	0.0118263
36	0.947644	0.891789	0.0116034
37	0.974048	0.894012	0.0115023
38	0.902804	0.894243	0.0111979
39	0.920856	0.894926	0.0109284
40	0.918452	0.895514	0.0106679
41	0.953588	0.89693	0.0105004
42	0.964808	0.898546	0.010374
43	0.83626	0.897098	0.0102329
44	0.895192	0.897055	0.00999773
45	0.95896	0.89843	0.00986938
46	0.951364	0.899581	0.0097208
47	0.952224	0.900701	0.00957745
48	0.890372	0.900486	0.00937826
49	0.797808	0.89839	0.00942088
50	0.811292	0.896648	0.00939347
