Block	Mean	Prog_mean	Error
1	1.86694	1.86694	0
2	1.83589	1.85141	0.0109795
3	1.90907	1.87063	0.0173161
4	1.88626	1.87454	0.0134206
5	1.87085	1.8738	0.0107567
6	1.9156	1.88077	0.0109909
7	1.90274	1.88391	0.0098588
8	1.8933	1.88508	0.0086961
9	1.86922	1.88332	0.00790653
10	1.87363	1.88235	0.00717505
11	1.86935	1.88117	0.00661938
12	1.87849	1.88094	0.00607154
13	1.91279	1.88339	0.00607852
14	1.82253	1.87905	0.0070291
15	1.77397	1.87204	0.0094254
16	1.7999	1.86753	0.00985583
17	1.83301	1.8655	0.00948294
18	1.84962	1.86462	0.00899705
19	1.85556	1.86414	0.00853614
20	1.84552	1.86321	0.00815996
21	1.85842	1.86298	0.00777458
22	1.85912	1.86281	0.00742318
23	1.83053	1.86141	0.00723192
24	1.88194	1.86226	0.006981
25	1.89384	1.86352	0.0068151
26	1.86884	1.86373	0.00655605
27	1.83546	1.86268	0.00639627
28	1.84808	1.86216	0.00618905
29	1.89859	1.86342	0.00610178
30	1.90084	1.86466	0.00602458
31	1.91999	1.86645	0.00608883
32	1.91939	1.8681	0.0061192
33	1.85954	1.86784	0.00593926
34	1.84481	1.86717	0.00580307
35	1.88894	1.86779	0.00567051
36	1.86485	1.86771	0.00551359
37	1.88341	1.86813	0.00538088
38	1.84202	1.86744	0.00528297
39	1.91166	1.86858	0.00526775
40	1.88279	1.86893	0.00514803
41	1.89659	1.86961	0.00506648
42	1.85117	1.86917	0.00496483
43	1.86873	1.86916	0.00484938
44	1.90314	1.86993	0.00480027
45	1.88968	1.87037	0.00471362
46	1.86728	1.8703	0.00461163
47	1.86366	1.87016	0.00451567
48	1.84456	1.86963	0.00445298
49	1.89996	1.87025	0.00440493
50	1.98049	1.87245	0.0048373
51	1.93724	1.87372	0.00490643
52	1.9611	1.8754	0.00509171
53	1.93381	1.8765	0.0051135
54	1.91831	1.87728	0.00507707
55	1.8474	1.87673	0.00501374
56	1.81941	1.87571	0.00502762
57	1.8525	1.8753	0.00495588
58	1.81765	1.87431	0.00496912
59	1.88485	1.87449	0.00488811
60	1.91957	1.87524	0.00486405
61	1.88774	1.87545	0.00478863
62	1.86197	1.87523	0.00471632
63	1.84038	1.87467	0.00467378
64	1.8165	1.87377	0.0046883
65	1.84054	1.87325	0.00464395
66	1.87415	1.87327	0.00457361
67	1.90257	1.87371	0.0045262
68	1.84687	1.87331	0.00447681
69	1.86073	1.87313	0.00441564
70	1.88541	1.8733	0.00435604
71	1.85228	1.87301	0.00430474
72	1.87142	1.87299	0.00424501
73	1.83604	1.87248	0.00421692
74	1.82593	1.87185	0.0042066
75	1.86921	1.87182	0.00415066
76	1.86094	1.87167	0.00409851
77	1.90219	1.87207	0.0040644
78	1.88464	1.87223	0.00401549
79	1.84398	1.87187	0.00398055
80	1.838	1.87145	0.00395325
81	1.85141	1.8712	0.00391218
82	1.82796	1.87067	0.00389985
83	1.85649	1.8705	0.00385661
84	1.84492	1.8702	0.0038227
85	1.83777	1.86982	0.00379672
86	1.92836	1.8705	0.0038131
87	1.90607	1.87091	0.00379113
88	1.85697	1.87075	0.00375136
89	1.87037	1.87074	0.00370921
90	1.89698	1.87104	0.00367944
91	1.87349	1.87106	0.0036391
92	1.91081	1.87149	0.0036251
93	1.87612	1.87154	0.00358646
94	1.83863	1.87119	0.00356536
95	1.88222	1.87131	0.00352972
96	1.87065	1.8713	0.00349296
97	1.89732	1.87157	0.00346723
98	1.86272	1.87148	0.00343302
99	1.8424	1.87119	0.00341089
100	1.84308	1.87091	0.00338834
