Block	Mean	Prog_mean	Error
1	-0.394464	-0.394464	0
2	-0.363285	-0.378875	0.0110232
3	-0.436589	-0.398113	0.0173419
4	-0.413787	-0.402031	0.0134419
5	-0.398352	-0.401295	0.0107736
6	-0.443284	-0.408294	0.0110189
7	-0.430335	-0.411442	0.00988444
8	-0.420793	-0.412611	0.00871772
9	-0.396786	-0.410853	0.00792443
10	-0.401155	-0.409883	0.00719108
11	-0.396769	-0.408691	0.00663544
12	-0.406009	-0.408467	0.00608625
13	-0.440275	-0.410914	0.00609005
14	-0.349995	-0.406563	0.00703999
15	-0.301546	-0.399562	0.0094298
16	-0.32747	-0.395056	0.0098583
17	-0.360637	-0.393031	0.00948402
18	-0.377186	-0.392151	0.0089979
19	-0.383111	-0.391675	0.00853689
20	-0.372981	-0.39074	0.00816105
21	-0.385944	-0.390512	0.00777563
22	-0.386498	-0.39033	0.00742433
23	-0.357917	-0.38892	0.00723404
24	-0.409407	-0.389774	0.00698281
25	-0.42144	-0.391041	0.0068174
26	-0.396258	-0.391241	0.00655815
27	-0.362886	-0.390191	0.00639879
28	-0.375546	-0.389668	0.0061916
29	-0.425935	-0.390919	0.00610309
30	-0.428195	-0.392161	0.00602481
31	-0.447495	-0.393946	0.00608914
32	-0.44683	-0.395599	0.00611901
33	-0.387039	-0.395339	0.00593908
34	-0.372302	-0.394662	0.00580292
35	-0.416494	-0.395286	0.00567055
36	-0.392296	-0.395203	0.00551365
37	-0.410908	-0.395627	0.00538094
38	-0.369469	-0.394939	0.00528319
39	-0.43912	-0.396071	0.00526778
40	-0.410246	-0.396426	0.00514799
41	-0.424127	-0.397101	0.00506657
42	-0.378649	-0.396662	0.00496495
43	-0.396137	-0.39665	0.0048495
44	-0.430611	-0.397422	0.00480031
45	-0.41723	-0.397862	0.00471378
46	-0.394827	-0.397796	0.00461176
47	-0.391326	-0.397658	0.0045157
48	-0.372078	-0.397125	0.00445295
49	-0.427437	-0.397744	0.00440484
50	-0.508127	-0.399952	0.00483845
51	-0.464886	-0.401225	0.00490824
52	-0.488574	-0.402905	0.00509319
53	-0.461266	-0.404006	0.00511474
54	-0.445888	-0.404781	0.00507849
55	-0.374955	-0.404239	0.00501502
56	-0.346841	-0.403214	0.00502912
57	-0.379922	-0.402806	0.00495746
58	-0.345111	-0.401811	0.00497079
59	-0.41234	-0.401989	0.00488974
60	-0.447131	-0.402742	0.00486578
61	-0.415174	-0.402945	0.00479028
62	-0.389393	-0.402727	0.004718
63	-0.367786	-0.402172	0.0046756
64	-0.343966	-0.401263	0.00469016
65	-0.3681	-0.400753	0.00464567
66	-0.401719	-0.400767	0.0045753
67	-0.430152	-0.401206	0.00452799
68	-0.374334	-0.400811	0.00447861
69	-0.388216	-0.400628	0.00441742
70	-0.412832	-0.400802	0.00435775
71	-0.379783	-0.400506	0.00430642
72	-0.398918	-0.400484	0.00424667
73	-0.363397	-0.399976	0.00421877
74	-0.353428	-0.399347	0.0042084
75	-0.396793	-0.399313	0.00415242
76	-0.388416	-0.39917	0.00410026
77	-0.429801	-0.399568	0.00406626
78	-0.412105	-0.399728	0.00401731
79	-0.37139	-0.39937	0.00398244
80	-0.365407	-0.398945	0.00395522
81	-0.378808	-0.398696	0.0039142
82	-0.355466	-0.398169	0.0039018
83	-0.384029	-0.397999	0.00385851
84	-0.372394	-0.397694	0.0038246
85	-0.36521	-0.397312	0.00379865
86	-0.456081	-0.397995	0.00381545
87	-0.433704	-0.398406	0.00379361
88	-0.384504	-0.398248	0.00375378
89	-0.397886	-0.398244	0.00371161
90	-0.424472	-0.398535	0.00368179
91	-0.401078	-0.398563	0.00364144
92	-0.4383	-0.398995	0.00362738
93	-0.403625	-0.399045	0.00358872
94	-0.366201	-0.398695	0.00356751
95	-0.409707	-0.398811	0.00353184
96	-0.398147	-0.398804	0.00349506
97	-0.424842	-0.399073	0.00346932
98	-0.39026	-0.398983	0.00343508
99	-0.369898	-0.398689	0.00341293
100	-0.370558	-0.398408	0.00339037
