Block	Mean	Prog_mean	Error
1	1.47583	1.47583	0
2	1.47595	1.47589	4.36512e-05
3	1.47583	1.47587	3.26755e-05
4	1.47582	1.47586	2.65309e-05
5	1.47585	1.47586	2.12868e-05
6	1.47567	1.47583	3.35134e-05
7	1.47576	1.47582	3.02089e-05
8	1.47586	1.47582	2.69106e-05
9	1.47578	1.47582	2.42962e-05
10	1.47582	1.47582	2.18708e-05
11	1.47593	1.47583	2.22254e-05
12	1.47583	1.47583	2.0374e-05
13	1.47586	1.47583	1.89826e-05
14	1.47589	1.47584	1.80393e-05
15	1.47578	1.47583	1.72425e-05
16	1.47579	1.47583	1.64027e-05
17	1.47573	1.47582	1.64773e-05
18	1.47579	1.47582	1.56708e-05
19	1.4758	1.47582	1.48681e-05
20	1.47589	1.47582	1.45469e-05
21	1.47583	1.47582	1.3855e-05
22	1.47597	1.47583	1.47245e-05
23	1.47596	1.47584	1.5115e-05
24	1.47588	1.47584	1.46013e-05
25	1.47575	1.47583	1.43982e-05
26	1.47593	1.47584	1.43154e-05
27	1.47593	1.47584	1.41657e-05
28	1.47588	1.47584	1.37444e-05
29	1.476	1.47585	1.43447e-05
30	1.476	1.47585	1.47331e-05
31	1.47584	1.47585	1.42616e-05
32	1.47591	1.47585	1.39304e-05
33	1.47585	1.47585	1.35084e-05
34	1.47586	1.47585	1.31129e-05
35	1.47579	1.47585	1.2854e-05
36	1.4759	1.47585	1.2563e-05
37	1.47585	1.47585	1.2224e-05
38	1.4759	1.47586	1.19639e-05
39	1.47589	1.47586	1.16888e-05
40	1.4759	1.47586	1.14425e-05
41	1.47582	1.47586	1.12073e-05
42	1.47587	1.47586	1.0949e-05
43	1.47594	1.47586	1.08748e-05
44	1.47588	1.47586	1.06383e-05
45	1.4758	1.47586	1.04777e-05
46	1.4758	1.47586	1.03233e-05
47	1.47569	1.47585	1.0702e-05
48	1.47583	1.47585	1.04898e-05
49	1.47588	1.47585	1.02866e-05
50	1.47572	1.47585	1.04443e-05
51	1.47571	1.47585	1.06156e-05
52	1.47588	1.47585	1.04302e-05
53	1.47589	1.47585	1.02633e-05
54	1.47577	1.47585	1.0171e-05
55	1.47579	1.47585	1.00346e-05
56	1.47592	1.47585	9.94638e-06
57	1.47593	1.47585	9.87e-06
58	1.47589	1.47585	9.72411e-06
59	1.47586	1.47585	9.56007e-06
60	1.47579	1.47585	9.44657e-06
61	1.47592	1.47585	9.36239e-06
62	1.47593	1.47585	9.3029e-06
63	1.47595	1.47585	9.27797e-06
64	1.47589	1.47585	9.14835e-06
65	1.47579	1.47585	9.05594e-06
66	1.47578	1.47585	8.98876e-06
67	1.47577	1.47585	8.9464e-06
68	1.47589	1.47585	8.83489e-06
69	1.47587	1.47585	8.70988e-06
70	1.47592	1.47585	8.6485e-06
71	1.47585	1.47585	8.52705e-06
72	1.47585	1.47585	8.40862e-06
73	1.47599	1.47585	8.51499e-06
74	1.47585	1.47585	8.40021e-06
75	1.47577	1.47585	8.36938e-06
76	1.47588	1.47585	8.26437e-06
77	1.47574	1.47585	8.28167e-06
78	1.47588	1.47585	8.18619e-06
79	1.47594	1.47585	8.15488e-06
80	1.47594	1.47585	8.12803e-06
81	1.47595	1.47586	8.11289e-06
82	1.47584	1.47586	8.01543e-06
83	1.47581	1.47586	7.93469e-06
84	1.47588	1.47586	7.84596e-06
85	1.47591	1.47586	7.77736e-06
86	1.47563	1.47585	8.1341e-06
87	1.47572	1.47585	8.18786e-06
88	1.47581	1.47585	8.10619e-06
89	1.47584	1.47585	8.01682e-06
90	1.47586	1.47585	7.92802e-06
91	1.47576	1.47585	7.90592e-06
92	1.47586	1.47585	7.821e-06
93	1.47585	1.47585	7.73705e-06
94	1.47578	1.47585	7.68745e-06
95	1.47586	1.47585	7.60802e-06
96	1.47586	1.47585	7.52901e-06
97	1.47583	1.47585	7.45435e-06
98	1.47581	1.47585	7.38877e-06
99	1.47586	1.47585	7.3146e-06
100	1.47587	1.47585	7.24563e-06
