Block	Mean	Prog_mean	Error
1	0.0374398	0.0374398	0
2	0.0330709	0.0352554	0.00154465
3	0.0362314	0.0355807	0.00106348
4	0.0364032	0.0357863	0.000817245
5	0.0363043	0.0358899	0.000660328
6	0.035979	0.0359048	0.00055044
7	0.0365526	0.0359973	0.000479524
8	0.0366204	0.0360752	0.000425862
9	0.0358481	0.03605	0.00037929
10	0.0354199	0.0359869	0.000346555
11	0.0368686	0.0360671	0.000324186
12	0.0351175	0.035988	0.000306675
13	0.0368326	0.0360529	0.000289886
14	0.0346785	0.0359548	0.000285321
15	0.0359412	0.0359539	0.000266301
16	0.0357025	0.0359382	0.00025012
17	0.034229	0.0358376	0.000254814
18	0.0360997	0.0358522	0.000241073
19	0.0358502	0.0358521	0.000228385
20	0.0365181	0.0358854	0.000219381
21	0.0373425	0.0359548	0.000219633
22	0.0361498	0.0359636	0.000209828
23	0.0355392	0.0359452	0.000201515
24	0.0366343	0.0359739	0.000195154
25	0.0346544	0.0359211	0.000194354
26	0.0355727	0.0359077	0.00018734
27	0.0353841	0.0358883	0.000181402
28	0.0362301	0.0359005	0.000175334
29	0.0382438	0.0359813	0.000186982
30	0.036686	0.0360048	0.000182219
31	0.0378697	0.036065	0.000186006
32	0.0385066	0.0361413	0.000195217
33	0.0340727	0.0360786	0.000199111
34	0.0344859	0.0360317	0.000198689
35	0.0387028	0.0361081	0.00020715
36	0.0355804	0.0360934	0.000201914
37	0.0354158	0.0360751	0.000197286
38	0.0351974	0.036052	0.000193441
39	0.0397638	0.0361472	0.000210597
40	0.0360222	0.036144	0.000205355
41	0.0390707	0.0362154	0.000212391
42	0.0342648	0.036169	0.000212351
43	0.0372122	0.0361932	0.000208794
44	0.0375295	0.0362236	0.000206245
45	0.0382346	0.0362683	0.000206447
46	0.03695	0.0362831	0.00020249
47	0.0351168	0.0362583	0.000199697
48	0.034332	0.0362182	0.000199528
49	0.0358968	0.0362116	0.000195564
50	0.0393658	0.0362747	0.000201571
51	0.033908	0.0362283	0.000202889
52	0.0351043	0.0362067	0.000200136
53	0.0374469	0.0362301	0.000197723
54	0.0399938	0.0362998	0.00020598
55	0.0355547	0.0362862	0.00020268
56	0.0347568	0.0362589	0.000200892
57	0.0375465	0.0362815	0.000198634
58	0.0335873	0.0362351	0.000200567
59	0.0353135	0.0362194	0.000197775
60	0.035296	0.036204	0.000195076
61	0.0383466	0.0362392	0.000195015
62	0.0343343	0.0362084	0.000194274
63	0.0348121	0.0361863	0.000192451
64	0.0352032	0.0361709	0.000190056
65	0.0374963	0.0361913	0.000188223
66	0.0369487	0.0362028	0.00018572
67	0.0386503	0.0362393	0.000186506
68	0.0352775	0.0362252	0.000184299
69	0.0346146	0.0362018	0.0001831
70	0.0376381	0.0362223	0.000181631
71	0.0382032	0.0362502	0.000181202
72	0.037212	0.0362636	0.000179177
73	0.0355079	0.0362533	0.000177022
74	0.0353166	0.0362406	0.000175082
75	0.0359329	0.0362365	0.000172795
76	0.0374574	0.0362526	0.000171267
77	0.0374078	0.0362676	0.000169698
78	0.0359506	0.0362635	0.000167571
79	0.0350982	0.0362487	0.000166098
80	0.0368875	0.0362567	0.000164214
81	0.0341217	0.0362304	0.000164288
82	0.0344483	0.0362086	0.000163716
83	0.0363206	0.03621	0.000161749
84	0.034361	0.036188	0.000161314
85	0.0341977	0.0361646	0.000161107
86	0.0385953	0.0361928	0.000161694
87	0.03625	0.0361935	0.000159836
88	0.0366573	0.0361988	0.000158107
89	0.0375406	0.0362138	0.000157048
90	0.031896	0.0361659	0.000162466
91	0.0362931	0.0361673	0.000160686
92	0.035547	0.0361605	0.000159081
93	0.0351701	0.0361499	0.000157727
94	0.0337954	0.0361248	0.000158025
95	0.0365883	0.0361297	0.000156437
96	0.0334661	0.0361019	0.000157248
97	0.0366398	0.0361075	0.000155725
98	0.0359352	0.0361057	0.000154146
99	0.0379684	0.0361245	0.000153733
100	0.0375626	0.0361389	0.000152867
