r	<g>	err_g
0	0	0
0.064633	0	0
0.129266	0	0
0.193899	0	0
0.258532	0	0
0.323165	0	0
0.387798	0.00419792	0.000803855
0.452431	5.07658	0.0663021
0.517064	16.2143	0.217475
0.581697	14.718	0.19249
0.64633	11.8388	0.13809
0.710963	10.1387	0.0968695
0.775596	9.21317	0.0719351
0.84023	8.85144	0.0678639
0.904863	8.58733	0.0594897
0.969496	8.39743	0.0599405
1.03413	8.37085	0.0583111
1.09876	8.36791	0.0570115
1.16339	8.22241	0.0471835
1.22803	8.11258	0.051335
1.29266	8.0229	0.0480527
1.35729	8.03616	0.0443511
1.42193	8.04668	0.0453757
1.48656	7.99298	0.0409963
1.55119	7.95887	0.0366403
1.61583	7.92253	0.034469
1.68046	7.95418	0.0350515
1.74509	7.95798	0.0374345
1.80973	7.98381	0.0362688
1.87436	7.92692	0.0318309
1.93899	7.91073	0.0297098
2.00362	7.90984	0.02975
2.06826	7.89686	0.0271032
2.13289	7.85669	0.0250232
2.19752	7.86014	0.0268171
2.26216	7.87247	0.0277552
2.32679	7.89525	0.0269142
2.39142	7.88697	0.0224765
2.45606	7.85811	0.0226429
2.52069	7.83926	0.0233306
2.58532	7.8525	0.0217182
2.64995	7.86168	0.0205175
2.71459	7.87586	0.0195747
2.77922	7.85292	0.0210871
2.84385	7.86453	0.0200825
2.90849	7.86013	0.0172042
2.97312	7.87975	0.0186512
3.03775	7.88354	0.0183524
3.10239	7.89055	0.0186513
3.16702	7.8852	0.0178268
3.23165	7.63557	0.0183473
3.29629	7.2006	0.0161788
3.36092	6.73289	0.0143253
3.42555	6.32132	0.012511
3.49018	5.93042	0.0133159
3.55482	5.53181	0.0116563
3.61945	5.17368	0.0125795
3.68408	4.82005	0.0117499
3.74872	4.48137	0.011783
3.81335	4.12983	0.0114117
3.87798	3.79463	0.010689
3.94262	3.48005	0.0106109
4.00725	3.17429	0.0104596
4.07188	2.87442	0.00865272
4.13651	2.5823	0.00854959
4.20115	2.31144	0.00785203
4.26578	2.03452	0.00695354
4.33041	1.77509	0.00705427
4.39505	1.51559	0.00700182
4.45968	1.2593	0.00631892
4.52431	1.01685	0.00575117
4.58895	0.810572	0.00511917
4.65358	0.659234	0.00408377
4.71821	0.532204	0.00395253
4.78285	0.428111	0.00355839
4.84748	0.343032	0.00319088
4.91211	0.268212	0.00269052
4.97674	0.206186	0.00220959
5.04138	0.156671	0.00181287
5.10601	0.114308	0.00135958
5.17064	0.081325	0.00115073
5.23528	0.054201	0.000871528
5.29991	0.0344573	0.000749367
5.36454	0.0190298	0.000575075
5.42918	0.0082006	0.000316776
5.49381	0.00226585	0.000149692
5.55844	0.000102123	1.80443e-05
5.62307	0	0
5.68771	0	0
5.75234	0	0
5.81697	0	0
5.88161	0	0
5.94624	0	0
6.01087	0	0
6.07551	0	0
6.14014	0	0
6.20477	0	0
6.2694	0	0
6.33404	0	0
6.39867	0	0
