Block	Mean	Prog_mean	Error
1	1.24463	1.24463	0
2	1.22392	1.23428	0.00731968
3	1.27272	1.24709	0.0115441
4	1.25751	1.24969	0.00894705
5	1.24723	1.2492	0.00717115
6	1.27707	1.25385	0.0073273
7	1.26849	1.25594	0.00657253
8	1.2622	1.25672	0.0057974
9	1.24614	1.25555	0.00527102
10	1.24908	1.2549	0.00478337
11	1.24623	1.25411	0.00441292
12	1.25233	1.25396	0.00404769
13	1.27519	1.2556	0.00405235
14	1.21502	1.2527	0.00468607
15	1.18265	1.24803	0.0062836
16	1.19994	1.24502	0.00657055
17	1.22201	1.24367	0.00632196
18	1.23308	1.24308	0.00599804
19	1.23704	1.24276	0.00569076
20	1.23035	1.24214	0.00543997
21	1.23895	1.24199	0.00518305
22	1.23941	1.24187	0.00494878
23	1.22035	1.24094	0.00482128
24	1.25462	1.24151	0.004654
25	1.26256	1.24235	0.0045434
26	1.24589	1.24249	0.0043707
27	1.22364	1.24179	0.00426418
28	1.23205	1.24144	0.00412604
29	1.26573	1.24228	0.00406785
30	1.26723	1.24311	0.00401639
31	1.27999	1.2443	0.00405922
32	1.27959	1.2454	0.00407946
33	1.23969	1.24523	0.00395951
34	1.22988	1.24478	0.00386872
35	1.25929	1.24519	0.00378034
36	1.24323	1.24514	0.00367572
37	1.2556	1.24542	0.00358725
38	1.22801	1.24496	0.00352198
39	1.27444	1.24572	0.00351183
40	1.2552	1.24595	0.00343202
41	1.26439	1.2464	0.00337765
42	1.23412	1.24611	0.00330988
43	1.24582	1.24611	0.00323292
44	1.26876	1.24662	0.00320018
45	1.25979	1.24691	0.00314241
46	1.24485	1.24687	0.00307442
47	1.24244	1.24677	0.00301045
48	1.2297	1.24642	0.00296866
49	1.26664	1.24683	0.00293662
50	1.32033	1.2483	0.00322486
51	1.29149	1.24915	0.00327095
52	1.3074	1.25027	0.00339448
53	1.2892	1.251	0.003409
54	1.27887	1.25152	0.00338471
55	1.2316	1.25116	0.0033425
56	1.21294	1.25047	0.00335174
57	1.235	1.2502	0.00330392
58	1.21177	1.24954	0.00331275
59	1.25656	1.24966	0.00325874
60	1.27972	1.25016	0.0032427
61	1.2585	1.2503	0.00319242
62	1.24132	1.25015	0.00314421
63	1.22692	1.24978	0.00311585
64	1.211	1.24918	0.00312553
65	1.22703	1.24884	0.00309597
66	1.24943	1.24885	0.00304907
67	1.26838	1.24914	0.00301747
68	1.23125	1.24887	0.00298454
69	1.24049	1.24875	0.00294376
70	1.25694	1.24887	0.00290402
71	1.23485	1.24867	0.00286983
72	1.24761	1.24866	0.00283
73	1.22403	1.24832	0.00281128
74	1.21728	1.2479	0.0028044
75	1.24614	1.24788	0.00276711
76	1.24063	1.24778	0.00273234
77	1.26813	1.24805	0.0027096
78	1.25643	1.24815	0.00267699
79	1.22932	1.24791	0.0026537
80	1.22533	1.24763	0.0026355
81	1.23427	1.24747	0.00260812
82	1.21864	1.24712	0.0025999
83	1.23766	1.247	0.00257107
84	1.22995	1.2468	0.00254847
85	1.22518	1.24654	0.00253115
86	1.28557	1.247	0.00254207
87	1.27071	1.24727	0.00252742
88	1.23798	1.24717	0.00250091
89	1.24691	1.24716	0.00247281
90	1.26465	1.24736	0.00245296
91	1.24899	1.24737	0.00242607
92	1.27387	1.24766	0.00241673
93	1.25075	1.2477	0.00239098
94	1.22576	1.24746	0.00237691
95	1.25481	1.24754	0.00235314
96	1.2471	1.24754	0.00232864
97	1.26488	1.24771	0.00231149
98	1.24181	1.24765	0.00228868
99	1.22827	1.24746	0.00227393
100	1.22872	1.24727	0.00225889
