Block	Mean	Prog_mean	Error
1	1.63852	1.63852	0
2	1.61759	1.62806	0.00739785
3	1.63907	1.63173	0.00577195
4	1.6341	1.63232	0.00435923
5	1.61008	1.62787	0.00529064
6	1.6213	1.62678	0.00452088
7	1.62354	1.62631	0.0038986
8	1.6035	1.62346	0.00433084
9	1.63814	1.62509	0.00414522
10	1.64267	1.62685	0.00408627
11	1.66133	1.62998	0.00476778
12	1.63128	1.63009	0.00437169
13	1.63049	1.63012	0.00403552
14	1.61281	1.62889	0.0039322
15	1.62941	1.62892	0.00367021
16	1.62122	1.62844	0.00347227
17	1.62883	1.62846	0.0032681
18	1.63243	1.62868	0.00309398
19	1.62687	1.62859	0.00293261
20	1.6277	1.62854	0.00278631
21	1.60809	1.62757	0.00281878
22	1.63471	1.62789	0.00270928
23	1.64488	1.62863	0.00269023
24	1.62363	1.62842	0.00258621
25	1.61447	1.62787	0.00254229
26	1.61859	1.62751	0.00246939
27	1.62993	1.6276	0.00237957
28	1.61397	1.62711	0.00234385
29	1.63159	1.62727	0.00226811
30	1.62519	1.6272	0.00219357
31	1.62167	1.62702	0.00213004
32	1.64287	1.62751	0.00212025
33	1.62008	1.62729	0.00206793
34	1.63172	1.62742	0.00201121
35	1.62597	1.62738	0.00195418
36	1.63035	1.62746	0.00190164
37	1.6222	1.62732	0.00185554
38	1.63169	1.62743	0.00181028
39	1.64164	1.6278	0.00180012
40	1.63035	1.62786	0.00175625
41	1.61852	1.62763	0.00172814
42	1.61362	1.6273	0.00171893
43	1.64323	1.62767	0.00171841
44	1.62485	1.62761	0.00168055
45	1.62024	1.62744	0.00165115
46	1.63064	1.62751	0.00161672
47	1.6159	1.62727	0.00160108
48	1.61139	1.62693	0.00160153
49	1.62381	1.62687	0.00157012
50	1.61118	1.62656	0.00156978
51	1.65017	1.62702	0.00160582
52	1.63222	1.62712	0.00157804
53	1.63028	1.62718	0.00154939
54	1.62796	1.62719	0.00152077
55	1.64407	1.6275	0.00152378
56	1.64183	1.62776	0.0015179
57	1.60858	1.62742	0.0015281
58	1.63862	1.62761	0.0015139
59	1.63672	1.62777	0.00149608
60	1.63263	1.62785	0.00147334
61	1.61129	1.62758	0.00147398
62	1.63742	1.62774	0.00145873
63	1.62969	1.62777	0.0014359
64	1.62133	1.62767	0.00141699
65	1.61439	1.62746	0.00140982
66	1.60462	1.62712	0.00143032
67	1.63772	1.62727	0.0014177
68	1.60842	1.627	0.00142372
69	1.62888	1.62702	0.00140335
70	1.63883	1.62719	0.0013934
71	1.63824	1.62735	0.00138243
72	1.62476	1.62731	0.0013637
73	1.62593	1.62729	0.00134515
74	1.63379	1.62738	0.00132983
75	1.61389	1.6272	0.00132421
76	1.6275	1.62721	0.00130679
77	1.62171	1.62713	0.00129177
78	1.59725	1.62675	0.00133082
79	1.61444	1.6266	0.00132306
80	1.62651	1.62659	0.00130652
81	1.63915	1.62675	0.00129956
82	1.62707	1.62675	0.00128371
83	1.62142	1.62669	0.00126986
84	1.62497	1.62667	0.0012549
85	1.63816	1.6268	0.0012474
86	1.62722	1.62681	0.00123291
87	1.62811	1.62682	0.00121883
88	1.62028	1.62675	0.00120725
89	1.62468	1.62673	0.0011939
90	1.64433	1.62692	0.00119656
91	1.64142	1.62708	0.00119397
92	1.62393	1.62705	0.00118148
93	1.62681	1.62704	0.00116878
94	1.60563	1.62682	0.00117834
95	1.60919	1.62663	0.00118046
96	1.61813	1.62654	0.00117148
97	1.63115	1.62659	0.00116037
98	1.61283	1.62645	0.00115699
99	1.6197	1.62638	0.00114731
100	1.62391	1.62636	0.0011361
