Block	Mean	Prog_mean	Error
1	-5.47562	-5.47562	0
2	-5.4546	-5.46511	0.00743229
3	-5.47584	-5.46869	0.00575222
4	-5.47091	-5.46924	0.00434093
5	-5.44705	-5.4648	0.00527491
6	-5.4585	-5.46375	0.00449916
7	-5.4613	-5.4634	0.00387003
8	-5.43848	-5.46029	0.00446762
9	-5.47483	-5.4619	0.00425357
10	-5.48041	-5.46375	0.00421175
11	-5.49794	-5.46686	0.00484161
12	-5.46832	-5.46698	0.00443967
13	-5.46769	-5.46704	0.00409849
14	-5.45028	-5.46584	0.0039766
15	-5.4668	-5.4659	0.00371201
16	-5.45752	-5.46538	0.00351684
17	-5.46746	-5.4655	0.00331209
18	-5.46798	-5.46564	0.00313094
19	-5.46425	-5.46557	0.00296701
20	-5.46507	-5.46554	0.00281876
21	-5.44548	-5.46459	0.00284186
22	-5.47008	-5.46484	0.00272362
23	-5.48247	-5.4656	0.00271101
24	-5.45948	-5.46535	0.00261004
25	-5.45157	-5.4648	0.00256317
26	-5.4548	-5.46441	0.00249324
27	-5.46643	-5.46449	0.00240201
28	-5.4499	-5.46397	0.00237206
29	-5.46845	-5.46412	0.00229531
30	-5.46115	-5.46402	0.00222092
31	-5.45862	-5.46385	0.00215611
32	-5.4801	-5.46436	0.00214771
33	-5.45515	-5.46408	0.00210066
34	-5.46949	-5.46424	0.00204491
35	-5.46212	-5.46418	0.00198738
36	-5.46663	-5.46424	0.00193335
37	-5.45778	-5.46407	0.00188898
38	-5.46789	-5.46417	0.00184195
39	-5.47909	-5.46455	0.001834
40	-5.46755	-5.46463	0.00178969
41	-5.45521	-5.4644	0.00176072
42	-5.45059	-5.46407	0.00174921
43	-5.48061	-5.46445	0.00175032
44	-5.46118	-5.46438	0.00171212
45	-5.45713	-5.46422	0.00168162
46	-5.46707	-5.46428	0.0016462
47	-5.45217	-5.46402	0.00163123
48	-5.44817	-5.46369	0.00163031
49	-5.45964	-5.46361	0.00159914
50	-5.44745	-5.46329	0.00159946
51	-5.48775	-5.46377	0.00163848
52	-5.4678	-5.46384	0.00160881
53	-5.46647	-5.46389	0.00157922
54	-5.46589	-5.46393	0.0015504
55	-5.4816	-5.46425	0.00155514
56	-5.47795	-5.4645	0.00154648
57	-5.44594	-5.46417	0.00155323
58	-5.47543	-5.46436	0.00153852
59	-5.47355	-5.46452	0.0015203
60	-5.46833	-5.46458	0.00149628
61	-5.44697	-5.46429	0.00149937
62	-5.47407	-5.46445	0.00148346
63	-5.46607	-5.46448	0.00146013
64	-5.45751	-5.46437	0.00144137
65	-5.45143	-5.46417	0.00143288
66	-5.44133	-5.46382	0.00145235
67	-5.47521	-5.46399	0.00144058
68	-5.44388	-5.4637	0.00144943
69	-5.46409	-5.4637	0.00142844
70	-5.47733	-5.4639	0.00142123
71	-5.47394	-5.46404	0.00140823
72	-5.45974	-5.46398	0.00138994
73	-5.46251	-5.46396	0.00137105
74	-5.47211	-5.46407	0.00135693
75	-5.45038	-5.46389	0.00135106
76	-5.46405	-5.46389	0.00133328
77	-5.45759	-5.46381	0.00131848
78	-5.43363	-5.46342	0.00135716
79	-5.45123	-5.46327	0.00134872
80	-5.46342	-5.46327	0.00133186
81	-5.47431	-5.4634	0.00132238
82	-5.46342	-5.46341	0.00130625
83	-5.45908	-5.46335	0.00129155
84	-5.46083	-5.46332	0.00127653
85	-5.47542	-5.46347	0.00126942
86	-5.46401	-5.46347	0.00125468
87	-5.46602	-5.4635	0.0012406
88	-5.45655	-5.46342	0.00122902
89	-5.46054	-5.46339	0.00121564
90	-5.4817	-5.46359	0.00121903
91	-5.47828	-5.46375	0.00121626
92	-5.46081	-5.46372	0.00120346
93	-5.46432	-5.46373	0.00119054
94	-5.44216	-5.4635	0.00119979
95	-5.44619	-5.46332	0.00120092
96	-5.45556	-5.46324	0.00119112
97	-5.46664	-5.46327	0.00117936
98	-5.44867	-5.46312	0.00117671
99	-5.45657	-5.46306	0.00116668
100	-5.46048	-5.46303	0.0011553
