Block	Mean	Prog_mean	Error
1	-3.40875	-3.40875	0
2	-3.40866	-3.4087	3.44368e-05
3	-3.40842	-3.40861	8.0105e-05
4	-3.40847	-3.40857	6.7815e-05
5	-3.40862	-3.40858	5.48526e-05
6	-3.40885	-3.40863	6.14556e-05
7	-3.40941	-3.40874	0.000116284
8	-3.40664	-3.40848	0.000266217
9	-3.40835	-3.40846	0.000237014
10	-3.4094	-3.40856	0.000231079
11	-3.40826	-3.40853	0.000211601
12	-3.40869	-3.40854	0.0001944
13	-3.40885	-3.40857	0.000180866
14	-3.40913	-3.40861	0.00017232
15	-3.40904	-3.40864	0.000163234
16	-3.40795	-3.40859	0.00015851
17	-3.41028	-3.40869	0.00017745
18	-3.4072	-3.40861	0.000185989
19	-3.40903	-3.40863	0.000177516
20	-3.40903	-3.40865	0.000169743
21	-3.40904	-3.40867	0.000162685
22	-3.40702	-3.4086	0.000171704
23	-3.40925	-3.40862	0.000166572
24	-3.4075	-3.40858	0.000166069
25	-3.40875	-3.40858	0.000159575
26	-3.40786	-3.40856	0.000155821
27	-3.40815	-3.40854	0.000150779
28	-3.40758	-3.40851	0.000149222
29	-3.40851	-3.40851	0.000144077
30	-3.40762	-3.40848	0.000142287
31	-3.4086	-3.40848	0.000137752
32	-3.40889	-3.40849	0.00013403
33	-3.40672	-3.40844	0.0001403
34	-3.40943	-3.40847	0.000139143
35	-3.4078	-3.40845	0.000136487
36	-3.40794	-3.40844	0.000133435
37	-3.40723	-3.4084	0.000133758
38	-3.40785	-3.40839	0.000131022
39	-3.4091	-3.40841	0.000128938
40	-3.40885	-3.40842	0.000126194
41	-3.40834	-3.40842	0.00012313
42	-3.40863	-3.40842	0.000120304
43	-3.40903	-3.40844	0.000118347
44	-3.40798	-3.40843	0.0001161
45	-3.40854	-3.40843	0.000113551
46	-3.40808	-3.40842	0.000111341
47	-3.40792	-3.40841	0.000109488
48	-3.40844	-3.40841	0.000107209
49	-3.40748	-3.40839	0.000106696
50	-3.40793	-3.40838	0.000104957
51	-3.40924	-3.4084	0.000104237
52	-3.40724	-3.40838	0.000104593
53	-3.40785	-3.40837	0.000103095
54	-3.40958	-3.40839	0.000103601
55	-3.40918	-3.4084	0.000102703
56	-3.40777	-3.40839	0.000101488
57	-3.40902	-3.4084	0.0001003
58	-3.40846	-3.4084	9.85763e-05
59	-3.40848	-3.40841	9.69149e-05
60	-3.40735	-3.40839	9.6894e-05
61	-3.40733	-3.40837	9.68451e-05
62	-3.40831	-3.40837	9.5288e-05
63	-3.40803	-3.40836	9.39253e-05
64	-3.40783	-3.40836	9.28219e-05
65	-3.40869	-3.40836	9.15344e-05
66	-3.40837	-3.40836	9.01475e-05
67	-3.40914	-3.40837	8.95531e-05
68	-3.40712	-3.40835	9.01111e-05
69	-3.40687	-3.40833	9.13424e-05
70	-3.41015	-3.40836	9.36342e-05
71	-3.40736	-3.40834	9.33694e-05
72	-3.40664	-3.40832	9.5043e-05
73	-3.40823	-3.40832	9.37494e-05
74	-3.40997	-3.40834	9.51039e-05
75	-3.40814	-3.40834	9.3873e-05
76	-3.40821	-3.40834	9.26544e-05
77	-3.40753	-3.40833	9.20418e-05
78	-3.40803	-3.40832	9.09389e-05
79	-3.40845	-3.40833	8.98008e-05
80	-3.40856	-3.40833	8.8728e-05
81	-3.40681	-3.40831	8.95837e-05
82	-3.408	-3.40831	8.85681e-05
83	-3.40931	-3.40832	8.83265e-05
84	-3.40751	-3.40831	8.77948e-05
85	-3.40892	-3.40832	8.70543e-05
86	-3.40845	-3.40832	8.60555e-05
87	-3.40956	-3.40833	8.62471e-05
88	-3.40792	-3.40833	8.53921e-05
89	-3.40751	-3.40832	8.49269e-05
90	-3.40901	-3.40833	8.43358e-05
91	-3.40852	-3.40833	8.34348e-05
92	-3.40854	-3.40833	8.25599e-05
93	-3.40917	-3.40834	8.21675e-05
94	-3.40818	-3.40834	8.13103e-05
95	-3.40865	-3.40834	8.05229e-05
96	-3.40908	-3.40835	8.00559e-05
97	-3.40715	-3.40834	8.01823e-05
98	-3.40749	-3.40833	7.98262e-05
99	-3.40852	-3.40833	7.90433e-05
100	-3.40822	-3.40833	7.82599e-05
