Block	Mean	Prog_mean	Error
1	-30.8485	-30.8485	0
2	-30.7191	-30.7838	0.0457582
3	-30.7641	-30.7772	0.0309734
4	-30.6598	-30.7479	0.0344381
5	-30.692	-30.7367	0.0293082
6	-30.7979	-30.7469	0.0261387
7	-30.823	-30.7578	0.0245642
8	-30.7163	-30.7526	0.0220344
9	-30.8411	-30.7624	0.0216705
10	-30.8429	-30.7705	0.0209428
11	-30.9465	-30.7865	0.0243971
12	-30.7934	-30.787	0.0223708
13	-30.7873	-30.7871	0.02065
14	-30.7479	-30.7843	0.019364
15	-30.763	-30.7828	0.0181247
16	-30.7217	-30.779	0.0173901
17	-30.8073	-30.7807	0.0164467
18	-30.7949	-30.7815	0.0155521
19	-30.7395	-30.7793	0.0148897
20	-30.7854	-30.7796	0.0141484
21	-30.731	-30.7773	0.0136628
22	-30.7881	-30.7778	0.0130507
23	-30.8789	-30.7822	0.0132038
24	-30.6853	-30.7781	0.0132556
25	-30.7757	-30.778	0.0127257
26	-30.7613	-30.7774	0.0122526
27	-30.7879	-30.7778	0.0118049
28	-30.6846	-30.7744	0.0118427
29	-30.8506	-30.7771	0.0117216
30	-30.7689	-30.7768	0.011334
31	-30.7583	-30.7762	0.0109842
32	-30.8848	-30.7796	0.0111528
33	-30.6954	-30.777	0.0111031
34	-30.7917	-30.7775	0.0107849
35	-30.6793	-30.7747	0.0108357
36	-30.7354	-30.7736	0.0105894
37	-30.7204	-30.7721	0.0104004
38	-30.8313	-30.7737	0.0102427
39	-30.8981	-30.7769	0.0104652
40	-30.8261	-30.7781	0.0102756
41	-30.7873	-30.7783	0.0100274
42	-30.7582	-30.7779	0.00980013
43	-30.8649	-30.7799	0.00977892
44	-30.6808	-30.7776	0.0098126
45	-30.704	-30.776	0.00972994
46	-30.7798	-30.7761	0.00951878
47	-30.7084	-30.7746	0.00942462
48	-30.7137	-30.7734	0.00931327
49	-30.731	-30.7725	0.00916327
50	-30.7296	-30.7716	0.00902001
51	-30.8773	-30.7737	0.00907792
52	-30.7209	-30.7727	0.00896002
53	-30.8099	-30.7734	0.00881836
54	-30.7971	-30.7738	0.00866598
55	-30.8528	-30.7753	0.0086264
56	-30.8214	-30.7761	0.00851156
57	-30.7353	-30.7754	0.00839224
58	-30.8704	-30.777	0.00840582
59	-30.7801	-30.7771	0.00826351
60	-30.7292	-30.7763	0.00816426
61	-30.7274	-30.7755	0.00806958
62	-30.7705	-30.7754	0.00793983
63	-30.8166	-30.7761	0.00784067
64	-30.7219	-30.7752	0.00776372
65	-30.6874	-30.7739	0.00776096
66	-30.7192	-30.773	0.00768748
67	-30.8361	-30.774	0.00763011
68	-30.6371	-30.772	0.00777887
69	-30.765	-30.7719	0.00766678
70	-30.8643	-30.7732	0.00767023
71	-30.7586	-30.773	0.00756493
72	-30.727	-30.7723	0.00748674
73	-30.7758	-30.7724	0.00738433
74	-30.7785	-30.7725	0.00728501
75	-30.7941	-30.7728	0.00719359
76	-30.8193	-30.7734	0.007125
77	-30.7655	-30.7733	0.0070332
78	-30.645	-30.7716	0.00713267
79	-30.6223	-30.7697	0.00728859
80	-30.7421	-30.7694	0.00720563
81	-30.8054	-30.7698	0.00713037
82	-30.7651	-30.7698	0.00704364
83	-30.6695	-30.7686	0.0070617
84	-30.737	-30.7682	0.00698759
85	-30.8587	-30.7692	0.00698604
86	-30.7759	-30.7693	0.00690523
87	-30.8514	-30.7703	0.00689004
88	-30.7189	-30.7697	0.00683644
89	-30.7979	-30.77	0.00676695
90	-30.8748	-30.7712	0.00679121
91	-30.8266	-30.7718	0.00674381
92	-30.795	-30.772	0.00667521
93	-30.8119	-30.7725	0.0066172
94	-30.7018	-30.7717	0.00658934
95	-30.7081	-30.771	0.00655394
96	-30.7411	-30.7707	0.00649307
97	-30.8162	-30.7712	0.00644306
98	-30.6756	-30.7702	0.00645076
99	-30.6804	-30.7693	0.00644903
100	-30.69	-30.7685	0.00643309
