r	<g>	err_g
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	4.08848e-05	2.36047e-05
0.436044	0.0973843	0.00156808
0.461694	2.95381	0.00893799
0.487343	12.3732	0.021196
0.512993	19.6464	0.0282617
0.538642	19.8687	0.0293799
0.564292	16.6728	0.0218806
0.589942	13.2272	0.0245791
0.615591	10.4596	0.0224635
0.641241	8.5134	0.019404
0.666891	7.18959	0.0176837
0.69254	6.33489	0.0158898
0.71819	5.79781	0.01583
0.74384	5.49053	0.0146981
0.769489	5.35972	0.0137682
0.795139	5.46112	0.0133058
0.820788	5.71571	0.0126925
0.846438	6.15728	0.0110074
0.872088	6.69984	0.0138913
0.897737	7.33549	0.0157135
0.923387	8.0291	0.0148118
0.949037	8.64487	0.0148173
0.974686	9.18814	0.0137035
1.00034	9.57269	0.013527
1.02599	9.71018	0.0126004
1.05164	9.59525	0.0126276
1.07728	9.25987	0.0147983
1.10293	8.8593	0.0131406
1.12858	8.39003	0.0118779
1.15423	7.96002	0.0104549
1.17988	7.59892	0.0116205
1.20553	7.34543	0.0108716
1.23118	7.20052	0.0100813
1.25683	7.14627	0.00972642
1.28248	6.99051	0.00877382
1.30813	6.72493	0.00929354
1.33378	6.48822	0.0102538
1.35943	6.24586	0.00934682
1.38508	6.04525	0.00983356
1.41073	5.77754	0.00774045
1.43638	5.47577	0.00793663
1.46203	5.15222	0.00737755
1.48768	4.78566	0.00646353
1.51333	4.40503	0.0071252
1.53898	4.01119	0.00677952
1.56463	3.63521	0.00680101
1.59028	3.25736	0.00527878
1.61593	2.90253	0.00565189
1.64158	2.56011	0.00437495
1.66723	2.25607	0.00429322
1.69288	1.96582	0.00399774
1.71853	1.6981	0.00377875
1.74418	1.45295	0.00371816
1.76983	1.22059	0.00302092
1.79547	0.997726	0.00276994
1.82112	0.813291	0.00266049
1.84677	0.671479	0.00188668
1.87242	0.55236	0.00172733
1.89807	0.448757	0.00169831
1.92372	0.360831	0.00183962
1.94937	0.283781	0.00160225
1.97502	0.216031	0.00129291
2.00067	0.162229	0.000851379
2.02632	0.117158	0.000733168
2.05197	0.0809652	0.000633116
2.07762	0.0533635	0.000613167
2.10327	0.0317536	0.000484304
2.12892	0.0168235	0.000399555
2.15457	0.00758677	0.000228523
2.18022	0.00202983	9.38428e-05
2.20587	0.000100927	1.43022e-05
2.23152	0	0
2.25717	0	0
2.28282	0	0
2.30847	0	0
2.33412	0	0
2.35977	0	0
2.38542	0	0
2.41107	0	0
2.43672	0	0
2.46237	0	0
2.48802	0	0
2.51366	0	0
2.53931	0	0
