Block	Mean	Prog_mean	Error
1	1.09235	1.09235	0
2	1.0784	1.08537	0.0049319
3	1.09272	1.08782	0.00384797
4	1.0894	1.08821	0.00290615
5	1.07339	1.08525	0.0035271
6	1.08087	1.08452	0.00301392
7	1.08236	1.08421	0.00259907
8	1.069	1.08231	0.00288723
9	1.09209	1.0834	0.00276348
10	1.09511	1.08457	0.00272418
11	1.10755	1.08666	0.00317852
12	1.08752	1.08673	0.00291446
13	1.08699	1.08675	0.00269034
14	1.07521	1.08592	0.00262146
15	1.08627	1.08595	0.0024468
16	1.08081	1.08563	0.00231485
17	1.08589	1.08564	0.00217873
18	1.08829	1.08579	0.00206265
19	1.08458	1.08573	0.00195507
20	1.08513	1.0857	0.00185754
21	1.07206	1.08505	0.00187919
22	1.08981	1.08526	0.00180619
23	1.09659	1.08576	0.00179349
24	1.08242	1.08562	0.00172414
25	1.07631	1.08524	0.00169486
26	1.07906	1.08501	0.00164626
27	1.08662	1.08507	0.00158638
28	1.07598	1.08474	0.00156257
29	1.08773	1.08484	0.00151208
30	1.08346	1.0848	0.00146238
31	1.08111	1.08468	0.00142002
32	1.09524	1.08501	0.0014135
33	1.08005	1.08486	0.00137862
34	1.08781	1.08495	0.00134081
35	1.08398	1.08492	0.00130278
36	1.0869	1.08497	0.00126776
37	1.08147	1.08488	0.00123703
38	1.0878	1.08496	0.00120685
39	1.09442	1.0852	0.00120008
40	1.0869	1.08524	0.00117083
41	1.07901	1.08509	0.00115209
42	1.07574	1.08487	0.00114595
43	1.09549	1.08511	0.0011456
44	1.08323	1.08507	0.00112036
45	1.08016	1.08496	0.00110077
46	1.0871	1.08501	0.00107781
47	1.07727	1.08484	0.00106738
48	1.07426	1.08462	0.00106769
49	1.08254	1.08458	0.00104674
50	1.07412	1.08437	0.00104652
51	1.10011	1.08468	0.00107055
52	1.08814	1.08475	0.00105203
53	1.08685	1.08479	0.00103293
54	1.08531	1.0848	0.00101385
55	1.09605	1.085	0.00101585
56	1.09455	1.08517	0.00101193
57	1.07239	1.08495	0.00101873
58	1.09241	1.08508	0.00100927
59	1.09114	1.08518	0.000997386
60	1.08842	1.08523	0.000982227
61	1.07419	1.08505	0.000982654
62	1.09161	1.08516	0.000972485
63	1.08646	1.08518	0.00095727
64	1.08089	1.08511	0.000944657
65	1.07626	1.08497	0.00093988
66	1.06974	1.08474	0.00095355
67	1.09181	1.08485	0.000945135
68	1.07228	1.08466	0.000949146
69	1.08592	1.08468	0.000935564
70	1.09256	1.0848	0.000928935
71	1.09216	1.0849	0.000921622
72	1.08317	1.08488	0.000909134
73	1.08396	1.08486	0.000896767
74	1.08919	1.08492	0.000886556
75	1.07593	1.0848	0.000882806
76	1.085	1.0848	0.000871194
77	1.08114	1.08476	0.000861178
78	1.06483	1.0845	0.00088721
79	1.07629	1.0844	0.000882039
80	1.08434	1.0844	0.000871014
81	1.09277	1.0845	0.000866372
82	1.08471	1.0845	0.00085581
83	1.08095	1.08446	0.000846571
84	1.08331	1.08445	0.000836603
85	1.09211	1.08454	0.000831602
86	1.08481	1.08454	0.000821939
87	1.08541	1.08455	0.000812552
88	1.08018	1.0845	0.00080483
89	1.08312	1.08448	0.000795936
90	1.09622	1.08461	0.000797709
91	1.09428	1.08472	0.000795978
92	1.08262	1.0847	0.000787655
93	1.08454	1.0847	0.000779187
94	1.07042	1.08454	0.000785563
95	1.07279	1.08442	0.000786971
96	1.07875	1.08436	0.000780986
97	1.08743	1.08439	0.000773577
98	1.07522	1.0843	0.000771327
99	1.0798	1.08425	0.000764873
100	1.08261	1.08424	0.000757401
