Block	Mean	Prog_mean	Error
1	1.19975	1.19975	0
2	1.19888	1.19932	0.000309765
3	1.19773	1.19879	0.000477273
4	1.20086	1.19931	0.000573739
5	1.19834	1.19911	0.000490345
6	1.20125	1.19947	0.000521742
7	1.20359	1.20006	0.000705311
8	1.19528	1.19946	0.000832297
9	1.19985	1.1995	0.000740917
10	1.20099	1.19965	0.000681648
11	1.19677	1.19939	0.00066824
12	1.20016	1.19945	0.000615653
13	1.19473	1.19909	0.000666835
14	1.20123	1.19924	0.000636519
15	1.20056	1.19933	0.000600061
16	1.20006	1.19938	0.000564258
17	1.19854	1.19933	0.000533205
18	1.20239	1.1995	0.000529947
19	1.20164	1.19961	0.000513948
20	1.19987	1.19962	0.000488418
21	1.202	1.19974	0.000478086
22	1.19895	1.1997	0.000457694
23	1.19961	1.1997	0.000437813
24	1.20023	1.19972	0.000420144
25	1.19801	1.19965	0.000408884
26	1.19897	1.19962	0.000393987
27	1.19835	1.19958	0.000382228
28	1.20171	1.19965	0.000376077
29	1.20012	1.19967	0.000363447
30	1.19617	1.19955	0.000369551
31	1.19985	1.19956	0.000357754
32	1.20145	1.19962	0.000351413
33	1.19699	1.19954	0.000349692
34	1.19892	1.19952	0.000339892
35	1.19866	1.1995	0.000331074
36	1.19704	1.19943	0.000328831
37	1.19722	1.19937	0.000325327
38	1.2014	1.19942	0.000321116
39	1.20101	1.19946	0.000315444
40	1.19912	1.19946	0.000307675
41	1.19623	1.19938	0.000310073
42	1.19826	1.19935	0.000303824
43	1.19941	1.19935	0.000296761
44	1.19931	1.19935	0.000290018
45	1.19678	1.19929	0.000289168
46	1.19766	1.19926	0.000285065
47	1.20012	1.19928	0.000279588
48	1.20041	1.1993	0.000274756
49	1.20157	1.19935	0.00027302
50	1.19697	1.1993	0.000271652
51	1.20135	1.19934	0.000269278
52	1.2006	1.19936	0.000265181
53	1.19846	1.19935	0.000260726
54	1.19774	1.19932	0.000257598
55	1.19894	1.19931	0.000253004
56	1.19908	1.19931	0.00024852
57	1.19632	1.19925	0.000249602
58	1.19968	1.19926	0.000245409
59	1.19563	1.1992	0.00024885
60	1.19693	1.19916	0.000247547
61	1.19798	1.19914	0.000244251
62	1.1986	1.19913	0.00024047
63	1.19947	1.19914	0.000236712
64	1.20478	1.19923	0.000248882
65	1.19781	1.19921	0.000246004
66	1.20304	1.19926	0.000249042
67	1.19722	1.19923	0.000247184
68	1.19866	1.19922	0.00024369
69	1.19949	1.19923	0.000240188
70	1.19899	1.19922	0.00023678
71	1.19867	1.19922	0.000233573
72	1.20041	1.19923	0.000230911
73	1.20198	1.19927	0.000230798
74	1.2007	1.19929	0.00022849
75	1.19659	1.19925	0.000228267
76	1.20112	1.19928	0.000226579
77	1.20099	1.1993	0.000224721
78	1.19985	1.19931	0.000221951
79	1.19901	1.1993	0.000219172
80	1.19993	1.19931	0.000216571
81	1.1976	1.19929	0.000214931
82	1.19858	1.19928	0.000212485
83	1.19711	1.19926	0.000211529
84	1.20037	1.19927	0.000209425
85	1.19951	1.19927	0.000206979
86	1.19723	1.19925	0.000205932
87	1.19907	1.19925	0.000203576
88	1.19857	1.19924	0.000201407
89	1.19706	1.19921	0.00020062
90	1.20206	1.19925	0.00020086
91	1.1952	1.1992	0.000203511
92	1.197	1.19918	0.000202701
93	1.19922	1.19918	0.000200522
94	1.20172	1.19921	0.000200199
95	1.19679	1.19918	0.000199704
96	1.19818	1.19917	0.000197896
97	1.19706	1.19915	0.000197048
98	1.19786	1.19913	0.000195474
99	1.20176	1.19916	0.000195284
100	1.19985	1.19917	0.000193452
