Block	Mean	Prog_mean	Error
1	-7.52536	-7.52536	0
2	-7.52404	-7.5247	0.000467234
3	-7.52324	-7.52421	0.000504825
4	-7.52637	-7.52475	0.000600406
5	-7.52382	-7.52456	0.000508607
6	-7.52712	-7.52499	0.000575459
7	-7.52973	-7.52567	0.000797108
8	-7.51992	-7.52495	0.000968692
9	-7.5252	-7.52498	0.000861455
10	-7.527	-7.52518	0.000798685
11	-7.5222	-7.52491	0.000770762
12	-7.52605	-7.525	0.000712375
13	-7.51964	-7.52459	0.000767906
14	-7.52575	-7.52467	0.000717549
15	-7.52639	-7.52479	0.000678802
16	-7.52496	-7.5248	0.000636463
17	-7.52432	-7.52477	0.000599642
18	-7.52791	-7.52494	0.000591124
19	-7.52725	-7.52507	0.000572351
20	-7.52565	-7.5251	0.000544485
21	-7.52828	-7.52525	0.000539317
22	-7.5241	-7.5252	0.00051732
23	-7.52476	-7.52518	0.000495171
24	-7.5257	-7.5252	0.000475019
25	-7.52358	-7.52513	0.000460405
26	-7.52435	-7.5251	0.000443687
27	-7.52386	-7.52506	0.00042964
28	-7.52768	-7.52515	0.000424356
29	-7.52516	-7.52515	0.000409723
30	-7.52179	-7.52504	0.000411125
31	-7.52501	-7.52504	0.000397864
32	-7.52669	-7.52509	0.000388756
33	-7.52308	-7.52503	0.000381702
34	-7.52502	-7.52503	0.000370475
35	-7.52419	-7.525	0.000360673
36	-7.52243	-7.52493	0.000357682
37	-7.52304	-7.52488	0.000351667
38	-7.52678	-7.52493	0.000345956
39	-7.52656	-7.52497	0.000339608
40	-7.52471	-7.52497	0.000331182
41	-7.52187	-7.52489	0.000331584
42	-7.52394	-7.52487	0.000324469
43	-7.52519	-7.52488	0.000317007
44	-7.52437	-7.52486	0.000310008
45	-7.52205	-7.5248	0.000309351
46	-7.52309	-7.52476	0.000304869
47	-7.52626	-7.5248	0.000300035
48	-7.52562	-7.52481	0.000294278
49	-7.52751	-7.52487	0.000293377
50	-7.52216	-7.52481	0.000292459
51	-7.52701	-7.52486	0.00028988
52	-7.5261	-7.52488	0.000285283
53	-7.52414	-7.52487	0.000280244
54	-7.52294	-7.52483	0.000277312
55	-7.5243	-7.52482	0.000272441
56	-7.52467	-7.52482	0.00026759
57	-7.52158	-7.52476	0.000268853
58	-7.52567	-7.52478	0.000264675
59	-7.52079	-7.52471	0.00026867
60	-7.52207	-7.52467	0.00026777
61	-7.52333	-7.52464	0.000264278
62	-7.52391	-7.52463	0.000260281
63	-7.52442	-7.52463	0.000256171
64	-7.53077	-7.52473	0.000269512
65	-7.52235	-7.52469	0.000267835
66	-7.52819	-7.52474	0.000268984
67	-7.52295	-7.52472	0.000266296
68	-7.52435	-7.52471	0.000262435
69	-7.52459	-7.52471	0.000258637
70	-7.52434	-7.5247	0.000254997
71	-7.52412	-7.52469	0.000251539
72	-7.52583	-7.52471	0.000248539
73	-7.52722	-7.52474	0.000247508
74	-7.52662	-7.52477	0.000245463
75	-7.52219	-7.52474	0.000244583
76	-7.52642	-7.52476	0.000242367
77	-7.52589	-7.52477	0.000239661
78	-7.52447	-7.52477	0.00023662
79	-7.52482	-7.52477	0.000233626
80	-7.52524	-7.52478	0.000230779
81	-7.52329	-7.52476	0.000228658
82	-7.52374	-7.52474	0.000226204
83	-7.52257	-7.52472	0.000224987
84	-7.52587	-7.52473	0.000222726
85	-7.52487	-7.52473	0.000220112
86	-7.52272	-7.52471	0.000218796
87	-7.52389	-7.5247	0.000216484
88	-7.52314	-7.52468	0.000214747
89	-7.52169	-7.52465	0.000214952
90	-7.52768	-7.52468	0.000215178
91	-7.52061	-7.52464	0.000217416
92	-7.52265	-7.52462	0.000216123
93	-7.52451	-7.52462	0.000213801
94	-7.52788	-7.52465	0.000214323
95	-7.52215	-7.52462	0.000213678
96	-7.52315	-7.52461	0.000212005
97	-7.52245	-7.52459	0.000210988
98	-7.52315	-7.52457	0.000209342
99	-7.52745	-7.5246	0.000209236
100	-7.52541	-7.52461	0.000207298
