Block	Mean	Prog_mean	Error
1	-5.4627	-5.4627	0
2	-5.46225	-5.46248	0.000157468
3	-5.4626	-5.46252	0.000110048
4	-5.4626	-5.46254	8.43908e-05
5	-5.46257	-5.46254	6.77192e-05
6	-5.46297	-5.46261	8.59543e-05
7	-5.46323	-5.4627	0.000109316
8	-5.46173	-5.46258	0.000148662
9	-5.46244	-5.46257	0.000132905
10	-5.4631	-5.46262	0.000129813
11	-5.46252	-5.46261	0.00011832
12	-5.46298	-5.46264	0.000112363
13	-5.46199	-5.46259	0.000114166
14	-5.46161	-5.46252	0.000125561
15	-5.46293	-5.46255	0.00012009
16	-5.462	-5.46251	0.000117406
17	-5.46287	-5.46253	0.000112386
18	-5.46261	-5.46254	0.000106231
19	-5.4627	-5.46255	0.00010098
20	-5.46287	-5.46256	9.72291e-05
21	-5.46338	-5.4626	0.000100007
22	-5.46224	-5.46259	9.6789e-05
23	-5.46225	-5.46257	9.36867e-05
24	-5.46256	-5.46257	8.97849e-05
25	-5.46267	-5.46257	8.62734e-05
26	-5.46247	-5.46257	8.30553e-05
27	-5.4626	-5.46257	7.99888e-05
28	-5.46306	-5.46259	7.90099e-05
29	-5.46213	-5.46257	7.78268e-05
30	-5.46271	-5.46258	7.53582e-05
31	-5.46225	-5.46257	7.36573e-05
32	-5.46233	-5.46256	7.17366e-05
33	-5.46318	-5.46258	7.20145e-05
34	-5.4632	-5.4626	7.21704e-05
35	-5.46262	-5.4626	7.01106e-05
36	-5.46248	-5.46259	6.82425e-05
37	-5.46291	-5.4626	6.69258e-05
38	-5.46248	-5.4626	6.52479e-05
39	-5.46265	-5.4626	6.35863e-05
40	-5.46268	-5.4626	6.20283e-05
41	-5.46274	-5.46261	6.06015e-05
42	-5.46276	-5.46261	5.92767e-05
43	-5.46287	-5.46262	5.82121e-05
44	-5.46216	-5.46261	5.78175e-05
45	-5.46237	-5.4626	5.6769e-05
46	-5.46252	-5.4626	5.55609e-05
47	-5.46323	-5.46261	5.59892e-05
48	-5.46231	-5.46261	5.51845e-05
49	-5.46303	-5.46261	5.47497e-05
50	-5.46228	-5.46261	5.40601e-05
51	-5.46276	-5.46261	5.30787e-05
52	-5.46259	-5.46261	5.2059e-05
53	-5.46277	-5.46261	5.11666e-05
54	-5.4623	-5.46261	5.05488e-05
55	-5.46244	-5.4626	4.97163e-05
56	-5.46268	-5.46261	4.88466e-05
57	-5.46235	-5.4626	4.81951e-05
58	-5.46308	-5.46261	4.80693e-05
59	-5.46226	-5.4626	4.76262e-05
60	-5.46223	-5.4626	4.72415e-05
61	-5.46244	-5.46259	4.65334e-05
62	-5.46241	-5.46259	4.58824e-05
63	-5.46204	-5.46258	4.59755e-05
64	-5.46308	-5.46259	4.59032e-05
65	-5.46163	-5.46258	4.75196e-05
66	-5.46224	-5.46257	4.7064e-05
67	-5.46282	-5.46257	4.65095e-05
68	-5.46278	-5.46258	4.59196e-05
69	-5.4622	-5.46257	4.55803e-05
70	-5.46243	-5.46257	4.49717e-05
71	-5.46254	-5.46257	4.43408e-05
72	-5.46252	-5.46257	4.3731e-05
73	-5.46233	-5.46257	4.32509e-05
74	-5.46301	-5.46257	4.30869e-05
75	-5.4627	-5.46257	4.25453e-05
76	-5.46239	-5.46257	4.20514e-05
77	-5.46199	-5.46256	4.21799e-05
78	-5.46171	-5.46255	4.3032e-05
79	-5.46289	-5.46256	4.27049e-05
80	-5.4624	-5.46255	4.22149e-05
81	-5.46278	-5.46256	4.17889e-05
82	-5.46225	-5.46255	4.14434e-05
83	-5.46255	-5.46255	4.0944e-05
84	-5.46259	-5.46255	4.04591e-05
85	-5.46246	-5.46255	3.99994e-05
86	-5.46258	-5.46255	3.95356e-05
87	-5.46192	-5.46255	3.97518e-05
88	-5.46166	-5.46254	4.05493e-05
89	-5.46172	-5.46253	4.11249e-05
90	-5.46271	-5.46253	4.07194e-05
91	-5.4625	-5.46253	4.0273e-05
92	-5.46274	-5.46253	3.99033e-05
93	-5.46239	-5.46253	3.95051e-05
94	-5.46325	-5.46254	3.98261e-05
95	-5.46246	-5.46254	3.94162e-05
96	-5.46206	-5.46253	3.93169e-05
97	-5.46248	-5.46253	3.89152e-05
98	-5.46238	-5.46253	3.85476e-05
99	-5.46279	-5.46253	3.8245e-05
100	-5.46265	-5.46253	3.78806e-05
