Block	Mean	Prog_mean	Error
1	-81.2585	-81.2585	0
2	-81.2572	-81.2578	0.000461374
3	-81.2413	-81.2523	0.00451094
4	-81.2646	-81.2554	0.00429578
5	-81.2448	-81.2533	0.0039217
6	-81.253	-81.2532	0.00326831
7	-81.2773	-81.2567	0.00424103
8	-81.2287	-81.2532	0.00494663
9	-81.2418	-81.2519	0.00455664
10	-81.2503	-81.2517	0.00410389
11	-81.216	-81.2485	0.00485249
12	-81.2501	-81.2486	0.00445001
13	-81.2218	-81.2466	0.00455995
14	-81.2548	-81.2472	0.0042718
15	-81.2397	-81.2467	0.00401619
16	-81.2456	-81.2466	0.00376569
17	-81.2426	-81.2464	0.00355135
18	-81.2591	-81.2471	0.00342421
19	-81.2445	-81.2469	0.00324661
20	-81.2596	-81.2476	0.00314522
21	-81.2562	-81.248	0.00302246
22	-81.2418	-81.2477	0.00289826
23	-81.2481	-81.2477	0.00277229
24	-81.2583	-81.2482	0.00269155
25	-81.2471	-81.2481	0.0025842
26	-81.2406	-81.2478	0.00250112
27	-81.2414	-81.2476	0.0024196
28	-81.2567	-81.2479	0.00235481
29	-81.2639	-81.2485	0.00233751
30	-81.2307	-81.2479	0.00233353
31	-81.2524	-81.248	0.00226287
32	-81.2787	-81.249	0.00238705
33	-81.2437	-81.2488	0.00232011
34	-81.2592	-81.2491	0.00227189
35	-81.2451	-81.249	0.00220992
36	-81.2361	-81.2486	0.00217736
37	-81.2431	-81.2485	0.00212361
38	-81.2493	-81.2485	0.00206783
39	-81.2584	-81.2488	0.00203018
40	-81.2515	-81.2488	0.00198057
41	-81.2326	-81.2484	0.00197134
42	-81.2555	-81.2486	0.00193145
43	-81.2551	-81.2488	0.00189238
44	-81.2612	-81.249	0.0018704
45	-81.2463	-81.249	0.00182982
46	-81.2354	-81.2487	0.00181363
47	-81.2584	-81.2489	0.00178672
48	-81.2652	-81.2492	0.00178165
49	-81.2649	-81.2496	0.00177378
50	-81.2374	-81.2493	0.0017549
51	-81.2651	-81.2496	0.00174762
52	-81.2654	-81.2499	0.0017403
53	-81.2554	-81.25	0.00171057
54	-81.233	-81.2497	0.00170775
55	-81.2482	-81.2497	0.00167691
56	-81.238	-81.2495	0.00165993
57	-81.2306	-81.2491	0.00166359
58	-81.2644	-81.2494	0.00165568
59	-81.2312	-81.2491	0.00165628
60	-81.255	-81.2492	0.00163162
61	-81.2535	-81.2493	0.00160638
62	-81.2363	-81.2491	0.00159413
63	-81.2566	-81.2492	0.00157335
64	-81.2793	-81.2497	0.00161774
65	-81.2568	-81.2498	0.00159659
66	-81.2558	-81.2499	0.00157502
67	-81.2443	-81.2498	0.00155368
68	-81.2511	-81.2498	0.00153096
69	-81.2573	-81.2499	0.00151268
70	-81.2372	-81.2497	0.00150183
71	-81.2516	-81.2497	0.00148091
72	-81.2524	-81.2498	0.0014608
73	-81.2646	-81.25	0.00145473
74	-81.2537	-81.25	0.00143593
75	-81.2317	-81.2498	0.00143744
76	-81.2446	-81.2497	0.00142014
77	-81.2465	-81.2497	0.00140231
78	-81.2459	-81.2496	0.0013852
79	-81.2307	-81.2494	0.0013883
80	-81.2551	-81.2495	0.00137277
81	-81.253	-81.2495	0.00135651
82	-81.2403	-81.2494	0.00134463
83	-81.236	-81.2492	0.00133807
84	-81.2393	-81.2491	0.00132732
85	-81.2562	-81.2492	0.00131433
86	-81.2383	-81.2491	0.00130511
87	-81.2452	-81.249	0.00129086
88	-81.2546	-81.2491	0.00127776
89	-81.2375	-81.249	0.00126999
90	-81.2571	-81.2491	0.00125909
91	-81.2402	-81.249	0.00124898
92	-81.2495	-81.249	0.00123542
93	-81.2494	-81.249	0.00122214
94	-81.253	-81.249	0.00120991
95	-81.2405	-81.2489	0.00120045
96	-81.2665	-81.2491	0.00120182
97	-81.2491	-81.2491	0.00118943
98	-81.2437	-81.249	0.00117856
99	-81.2576	-81.2491	0.00116982
100	-81.2406	-81.249	0.00116124
