r	<g>	err_g
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	0	0
0.438262	0.0143655	0.000579771
0.461329	1.45393	0.00460645
0.484395	13.3938	0.0135021
0.507461	33.0336	0.0235957
0.530528	37.0797	0.0234502
0.553594	25.1648	0.0249092
0.576661	11.8361	0.0147834
0.599727	4.1182	0.00915184
0.622794	1.12028	0.00623224
0.64586	0.383035	0.00446687
0.668926	0.698367	0.00690584
0.691993	1.98392	0.00888424
0.715059	4.35221	0.00815197
0.738126	6.82874	0.013627
0.761192	7.50904	0.0198353
0.784259	5.77859	0.00908635
0.807325	3.14444	0.0065008
0.830391	1.70143	0.00992563
0.853458	2.86338	0.0132461
0.876524	7.91775	0.0131817
0.899591	15.8427	0.0114183
0.922657	21.0471	0.0259266
0.945724	18.7735	0.0200348
0.96879	11.559	0.00986517
0.991856	5.49012	0.0122536
1.01492	3.70408	0.0120307
1.03799	5.42291	0.00712175
1.06106	7.62241	0.00879662
1.08412	7.6352	0.0103393
1.10719	5.81379	0.00782205
1.13026	4.66812	0.0155114
1.15332	6.22669	0.0122693
1.17639	9.5689	0.0111433
1.19945	7.77861	0.0178196
1.22252	1.48861	0.0038883
1.24559	0.560531	0.00296299
1.26865	1.43197	0.00303127
1.29172	2.7045	0.00302646
1.31479	3.66674	0.00499768
1.33785	4.24413	0.00722301
1.36092	5.97771	0.0128495
1.38399	9.85952	0.00778048
1.40705	11.989	0.0170168
1.43012	8.07445	0.0115158
1.45319	2.69382	0.00407131
1.47625	0.438071	0.00275084
1.49932	0.0559201	0.000789619
1.52238	0.137655	0.00139443
1.54545	0.518701	0.00267179
1.56852	1.19112	0.00185811
1.59158	1.42522	0.00318753
1.61465	0.430244	0.00194777
1.63772	0.00196248	0.000108851
1.66078	0.0177157	0.000438921
1.68385	0.113452	0.00132505
1.70692	0.481655	0.00290731
1.72998	1.30877	0.00312487
1.75305	2.05121	0.00309522
1.77612	1.56381	0.00419886
1.79918	0.459609	0.00102768
1.82225	0.0441106	0.000427546
1.84531	0.00134118	6.3756e-05
1.86838	1.98522e-05	5.78978e-06
1.89145	0	0
1.91451	0	0
1.93758	0	0
1.96065	0	0
1.98371	0	0
2.00678	0	0
2.02985	0	0
2.05291	0	0
2.07598	0	0
2.09905	0	0
2.12211	0	0
2.14518	0	0
2.16824	0	0
2.19131	0	0
2.21438	0	0
2.23744	0	0
2.26051	0	0
2.28358	0	0
