Block	Mean	Prog_mean	Error
1	0.799836	0.799836	0
2	0.799252	0.799544	0.00020651
3	0.79849	0.799192	0.000318182
4	0.800573	0.799537	0.000382492
5	0.798894	0.799409	0.000326897
6	0.80083	0.799646	0.000347828
7	0.802395	0.800038	0.000470207
8	0.796855	0.79964	0.000554865
9	0.799897	0.799669	0.000493945
10	0.800662	0.799768	0.000454432
11	0.797845	0.799593	0.000445493
12	0.800109	0.799636	0.000410435
13	0.796489	0.799394	0.000444556
14	0.800823	0.799496	0.000424346
15	0.800371	0.799555	0.000400041
16	0.800037	0.799585	0.000376172
17	0.799027	0.799552	0.00035547
18	0.80159	0.799665	0.000353298
19	0.801096	0.799741	0.000342632
20	0.799915	0.799749	0.000325612
21	0.801333	0.799825	0.000318724
22	0.799299	0.799801	0.000305129
23	0.799737	0.799798	0.000291876
24	0.800156	0.799813	0.000280096
25	0.798671	0.799767	0.000272589
26	0.799316	0.79975	0.000262658
27	0.798898	0.799718	0.000254818
28	0.801139	0.799769	0.000250718
29	0.800078	0.79978	0.000242298
30	0.797449	0.799702	0.000246368
31	0.799899	0.799708	0.000238502
32	0.800968	0.799748	0.000234275
33	0.797994	0.799695	0.000233128
34	0.799277	0.799682	0.000226594
35	0.799107	0.799666	0.000220716
36	0.798029	0.79962	0.000219221
37	0.798147	0.799581	0.000216885
38	0.800933	0.799616	0.000214078
39	0.800673	0.799643	0.000210296
40	0.799414	0.799638	0.000205116
41	0.797486	0.799585	0.000206715
42	0.798842	0.799567	0.000202549
43	0.799604	0.799568	0.000197841
44	0.799539	0.799568	0.000193345
45	0.79785	0.799529	0.000192779
46	0.798438	0.799506	0.000190043
47	0.80008	0.799518	0.000186392
48	0.800273	0.799534	0.000183171
49	0.801046	0.799564	0.000182014
50	0.797983	0.799533	0.000181101
51	0.800898	0.79956	0.000179519
52	0.800397	0.799576	0.000176787
53	0.798973	0.799564	0.000173817
54	0.798491	0.799544	0.000171732
55	0.799296	0.79954	0.000168669
56	0.799386	0.799537	0.00016568
57	0.79755	0.799502	0.000166402
58	0.799789	0.799507	0.000163606
59	0.797086	0.799466	0.0001659
60	0.797957	0.799441	0.000165032
61	0.798651	0.799428	0.000162834
62	0.799064	0.799422	0.000160313
63	0.799646	0.799426	0.000157808
64	0.803186	0.799485	0.000165921
65	0.798541	0.79947	0.000164003
66	0.802026	0.799509	0.000166028
67	0.798147	0.799488	0.000164789
68	0.79911	0.799483	0.00016246
69	0.799658	0.799485	0.000160125
70	0.799329	0.799483	0.000157854
71	0.799115	0.799478	0.000155715
72	0.80027	0.799489	0.000153941
73	0.801322	0.799514	0.000153865
74	0.800469	0.799527	0.000152326
75	0.797725	0.799503	0.000152178
76	0.800746	0.799519	0.000151052
77	0.800659	0.799534	0.000149814
78	0.799901	0.799539	0.000147967
79	0.799343	0.799536	0.000146115
80	0.799952	0.799542	0.000144381
81	0.798398	0.799527	0.000143287
82	0.799053	0.799522	0.000141657
83	0.798074	0.799504	0.000141019
84	0.800246	0.799513	0.000139617
85	0.79967	0.799515	0.000137986
86	0.798153	0.799499	0.000137288
87	0.799378	0.799498	0.000135717
88	0.799048	0.799493	0.000134271
89	0.798043	0.799476	0.000133747
90	0.80137	0.799497	0.000133907
91	0.796801	0.799468	0.000135674
92	0.798	0.799452	0.000135134
93	0.799481	0.799452	0.000133682
94	0.801144	0.79947	0.000133466
95	0.797857	0.799453	0.000133136
96	0.798786	0.799446	0.000131931
97	0.798039	0.799432	0.000131365
98	0.798575	0.799423	0.000130316
99	0.80117	0.79944	0.000130189
100	0.799899	0.799445	0.000128968
