Block	Mean	Prog_mean	Error
1	1.8	1.8	0
2	1.8	1.8	0
3	1.8	1.8	0
4	1.8	1.8	0
5	1.8	1.8	1.3328e-08
6	1.8	1.8	1.21667e-08
7	1.8	1.8	1.593e-08
8	1.8	1.8	1.49012e-08
9	1.8	1.8	1.40489e-08
10	1.8	1.8	1.3328e-08
11	1.8	1.8	1.55638e-08
12	1.8	1.8	1.36028e-08
13	1.8	1.8	1.30692e-08
14	1.8	1.8	1.25938e-08
15	1.8	1.8	1.08823e-08
16	1.8	1.8	1.05367e-08
17	1.8	1.8	1.02221e-08
18	1.8	1.8	7.02447e-09
19	1.8	1.8	4.83458e-09
20	1.8	1.8	4.71216e-09
21	1.8	1.8	6.5034e-09
22	1.8	1.8	8.98574e-09
23	1.8	1.8	9.82553e-09
24	1.8	1.8	9.61866e-09
25	1.8	1.8	1.03238e-08
26	1.8	1.8	1.01233e-08
27	1.8	1.8	1.07301e-08
28	1.8	1.8	1.05367e-08
29	1.8	1.8	1.03535e-08
30	1.8	1.8	1.01794e-08
31	1.8	1.8	1.07053e-08
32	1.8	1.8	1.05367e-08
33	1.8	1.8	1.03758e-08
34	1.8	1.8	1.02221e-08
35	1.8	1.8	1.06862e-08
36	1.8	1.8	9.29251e-09
37	1.8	1.8	8.48613e-09
38	1.8	1.8	8.37373e-09
39	1.8	1.8	6.7489e-09
40	1.8	1.8	5.77119e-09
41	1.8	1.8	4.65434e-09
42	1.8	1.8	3.2517e-09
43	1.8	1.8	5.56623e-09
44	1.8	1.8	6.35388e-09
45	1.8	1.8	7.02447e-09
46	1.8	1.8	7.61083e-09
47	1.8	1.8	8.69423e-09
48	1.8	1.8	9.12506e-09
49	1.8	1.8	9.98466e-09
50	1.8	1.8	1.03238e-08
51	1.8	1.8	1.10411e-08
52	1.8	1.8	1.09345e-08
53	1.8	1.8	1.1211e-08
54	1.8	1.8	1.1824e-08
55	1.8	1.8	1.1716e-08
56	1.8	1.8	1.22749e-08
57	1.8	1.8	1.21667e-08
58	1.8	1.8	1.20614e-08
59	1.8	1.8	1.28683e-08
60	1.8	1.8	1.27606e-08
61	1.8	1.8	1.26556e-08
62	1.8	1.8	1.25531e-08
63	1.8	1.8	1.3275e-08
64	1.8	1.8	1.31709e-08
65	1.8	1.8	1.30692e-08
66	1.8	1.8	1.34786e-08
67	1.8	1.8	1.36231e-08
68	1.8	1.8	1.35226e-08
69	1.8	1.8	1.34242e-08
70	1.8	1.8	1.3328e-08
71	1.8	1.8	1.39247e-08
72	1.8	1.8	1.33742e-08
73	1.8	1.8	1.32823e-08
74	1.8	1.8	1.31922e-08
75	1.8	1.8	1.35483e-08
76	1.8	1.8	1.36742e-08
77	1.8	1.8	1.35852e-08
78	1.8	1.8	1.34978e-08
79	1.8	1.8	1.34121e-08
80	1.8	1.8	1.35347e-08
81	1.8	1.8	1.34508e-08
82	1.8	1.8	1.35696e-08
83	1.8	1.8	1.34876e-08
84	1.8	1.8	1.34071e-08
85	1.8	1.8	1.3328e-08
86	1.8	1.8	1.36344e-08
87	1.8	1.8	1.35558e-08
88	1.8	1.8	1.34786e-08
89	1.8	1.8	1.34027e-08
90	1.8	1.8	1.35118e-08
91	1.8	1.8	1.34374e-08
92	1.8	1.8	1.33642e-08
93	1.8	1.8	1.36466e-08
94	1.8	1.8	1.35739e-08
95	1.8	1.8	1.35022e-08
96	1.8	1.8	1.34317e-08
97	1.8	1.8	1.33623e-08
98	1.8	1.8	1.34633e-08
99	1.8	1.8	1.33951e-08
100	1.8	1.8	1.3328e-08
