Block	Mean	Prog_mean	Error
1	-0.407158	-0.407158	0
2	-0.389894	-0.398526	0.00610381
3	-0.41069	-0.402581	0.00524586
4	-0.411334	-0.404769	0.00436699
5	-0.412946	-0.406404	0.00378742
6	-0.39332	-0.404224	0.00373158
7	-0.41891	-0.406322	0.00374208
8	-0.398256	-0.405313	0.00340743
9	-0.413116	-0.40618	0.00313717
10	-0.395431	-0.405105	0.00300196
11	-0.387764	-0.403529	0.00311561
12	-0.394498	-0.402776	0.00294547
13	-0.413743	-0.40362	0.00283712
14	-0.427489	-0.405325	0.00310476
15	-0.397166	-0.404781	0.00294503
16	-0.424187	-0.405994	0.00300033
17	-0.385665	-0.404798	0.00305286
18	-0.40523	-0.404822	0.00288335
19	-0.370857	-0.403034	0.00323867
20	-0.380814	-0.401923	0.00326174
21	-0.455337	-0.404467	0.00397632
22	-0.441645	-0.406157	0.00413913
23	-0.404886	-0.406102	0.00395954
24	-0.433086	-0.407226	0.00395097
25	-0.405821	-0.40717	0.00379333
26	-0.419704	-0.407652	0.00367794
27	-0.425461	-0.408311	0.00360039
28	-0.414758	-0.408542	0.00347915
29	-0.415614	-0.408786	0.00336772
30	-0.424593	-0.409312	0.00329643
31	-0.429004	-0.409948	0.00325072
32	-0.397829	-0.409569	0.00317112
33	-0.428502	-0.410143	0.00312649
34	-0.39332	-0.409648	0.00307344
35	-0.434656	-0.410362	0.00306756
36	-0.407958	-0.410296	0.00298307
37	-0.409546	-0.410275	0.00290252
38	-0.394663	-0.409865	0.00285507
39	-0.403579	-0.409703	0.0027864
40	-0.403267	-0.409542	0.00272139
41	-0.392306	-0.409122	0.00268728
42	-0.384057	-0.408525	0.00268875
43	-0.399262	-0.40831	0.00263484
44	-0.395808	-0.408026	0.00259023
45	-0.409817	-0.408066	0.00253298
46	-0.38808	-0.407631	0.0025149
47	-0.428106	-0.408067	0.00249884
48	-0.446646	-0.40887	0.00257279
49	-0.433079	-0.409364	0.00256728
50	-0.406174	-0.409301	0.00251673
51	-0.388047	-0.408884	0.00250165
52	-0.410541	-0.408916	0.00245374
53	-0.405137	-0.408845	0.00240848
54	-0.429496	-0.409227	0.00239405
55	-0.415803	-0.409347	0.00235351
56	-0.440567	-0.409904	0.00237659
57	-0.417906	-0.410044	0.00233904
58	-0.388889	-0.40968	0.00232698
59	-0.389501	-0.409338	0.00231254
60	-0.404172	-0.409252	0.00227559
61	-0.373451	-0.408665	0.00231274
62	-0.391052	-0.408381	0.00229281
63	-0.402789	-0.408292	0.00225814
64	-0.414733	-0.408392	0.00222509
65	-0.388622	-0.408088	0.00221155
66	-0.424587	-0.408338	0.00219213
67	-0.403181	-0.408261	0.00216076
68	-0.397678	-0.408106	0.00213458
69	-0.427318	-0.408384	0.00212173
70	-0.423182	-0.408595	0.00210192
71	-0.421093	-0.408772	0.00207968
72	-0.428455	-0.409045	0.00206868
73	-0.409526	-0.409051	0.00204035
74	-0.403496	-0.408976	0.00201416
75	-0.428739	-0.40924	0.00200447
76	-0.418507	-0.409362	0.0019818
77	-0.403364	-0.409284	0.00195759
78	-0.374588	-0.408839	0.00198239
79	-0.405389	-0.408795	0.00195777
80	-0.397364	-0.408653	0.00193851
81	-0.402366	-0.408575	0.00191613
82	-0.429607	-0.408831	0.00190985
83	-0.435806	-0.409156	0.00191429
84	-0.416123	-0.409239	0.0018933
85	-0.421881	-0.409388	0.00187686
86	-0.410006	-0.409395	0.00185505
87	-0.463562	-0.410018	0.00193539
88	-0.438512	-0.410342	0.00194029
89	-0.421279	-0.410465	0.00192238
90	-0.424428	-0.41062	0.00190727
91	-0.397133	-0.410472	0.00189206
92	-0.397302	-0.410328	0.0018769
93	-0.440326	-0.410651	0.00188423
94	-0.424955	-0.410803	0.00187032
95	-0.436707	-0.411076	0.00187041
96	-0.381412	-0.410767	0.00187627
97	-0.39253	-0.410579	0.00186632
98	-0.431616	-0.410793	0.00185959
99	-0.405413	-0.410739	0.0018416
100	-0.444128	-0.411073	0.0018532
