Block	Mean	Prog_mean	Error
1	1.39619	1.39619	0
2	1.41346	1.40482	0.00610381
3	1.39266	1.40077	0.00524586
4	1.39202	1.39858	0.00436699
5	1.39041	1.39695	0.00378742
6	1.41003	1.39913	0.00373158
7	1.38444	1.39703	0.00374208
8	1.40509	1.39804	0.00340743
9	1.39024	1.39717	0.00313717
10	1.40792	1.39825	0.00300196
11	1.41559	1.39982	0.00311561
12	1.40885	1.40057	0.00294547
13	1.38961	1.39973	0.00283712
14	1.37586	1.39803	0.00310476
15	1.40618	1.39857	0.00294503
16	1.37916	1.39736	0.00300033
17	1.41769	1.39855	0.00305286
18	1.39812	1.39853	0.00288335
19	1.43249	1.40032	0.00323867
20	1.42254	1.40143	0.00326174
21	1.34801	1.39888	0.00397632
22	1.36171	1.39719	0.00413913
23	1.39847	1.39725	0.00395954
24	1.37026	1.39613	0.00395097
25	1.39753	1.39618	0.00379333
26	1.38365	1.3957	0.00367794
27	1.37789	1.39504	0.00360039
28	1.38859	1.39481	0.00347915
29	1.38774	1.39457	0.00336772
30	1.37876	1.39404	0.00329643
31	1.37435	1.3934	0.00325072
32	1.40552	1.39378	0.00317112
33	1.37485	1.39321	0.00312649
34	1.41003	1.3937	0.00307344
35	1.3687	1.39299	0.00306756
36	1.39539	1.39306	0.00298307
37	1.3938	1.39308	0.00290252
38	1.40869	1.39349	0.00285507
39	1.39977	1.39365	0.0027864
40	1.40008	1.39381	0.00272139
41	1.41104	1.39423	0.00268728
42	1.41929	1.39483	0.00268875
43	1.40409	1.39504	0.00263484
44	1.40754	1.39533	0.00259023
45	1.39353	1.39529	0.00253298
46	1.41527	1.39572	0.0025149
47	1.37524	1.39528	0.00249884
48	1.35671	1.39448	0.00257279
49	1.37027	1.39399	0.00256728
50	1.39718	1.39405	0.00251673
51	1.4153	1.39447	0.00250165
52	1.39281	1.39444	0.00245374
53	1.39821	1.39451	0.00240848
54	1.37386	1.39412	0.00239405
55	1.38755	1.394	0.00235351
56	1.36278	1.39345	0.00237659
57	1.38545	1.39331	0.00233904
58	1.41446	1.39367	0.00232698
59	1.41385	1.39401	0.00231254
60	1.39918	1.3941	0.00227559
61	1.4299	1.39469	0.00231274
62	1.4123	1.39497	0.00229281
63	1.40056	1.39506	0.00225814
64	1.38862	1.39496	0.00222509
65	1.41473	1.39526	0.00221155
66	1.37876	1.39501	0.00219213
67	1.40017	1.39509	0.00216076
68	1.40567	1.39525	0.00213458
69	1.37603	1.39497	0.00212173
70	1.38017	1.39476	0.00210192
71	1.38226	1.39458	0.00207968
72	1.3749	1.39431	0.00206868
73	1.39382	1.3943	0.00204035
74	1.39985	1.39437	0.00201416
75	1.37461	1.39411	0.00200447
76	1.38484	1.39399	0.0019818
77	1.39999	1.39407	0.00195759
78	1.42876	1.39451	0.00198239
79	1.39796	1.39456	0.00195777
80	1.40599	1.3947	0.00193851
81	1.40098	1.39478	0.00191613
82	1.37374	1.39452	0.00190985
83	1.36755	1.39419	0.00191429
84	1.38723	1.39411	0.0018933
85	1.38147	1.39396	0.00187686
86	1.39335	1.39396	0.00185505
87	1.33979	1.39333	0.00193539
88	1.36484	1.39301	0.00194029
89	1.38207	1.39289	0.00192238
90	1.37892	1.39273	0.00190727
91	1.40622	1.39288	0.00189206
92	1.40605	1.39302	0.0018769
93	1.36303	1.3927	0.00188423
94	1.3784	1.39255	0.00187032
95	1.36664	1.39228	0.00187041
96	1.42194	1.39258	0.00187627
97	1.41082	1.39277	0.00186632
98	1.37173	1.39256	0.00185959
99	1.39794	1.39261	0.0018416
100	1.35922	1.39228	0.0018532
