Block	Mean	Prog_mean	Error
1	0.0332024	0.0332024	0
2	0.0338674	0.0335349	0.000235124
3	0.0333533	0.0334744	0.000164357
4	0.0334977	0.0334802	0.00012337
5	0.033879	0.03356	0.000121779
6	0.0337809	0.0335968	0.000106904
7	0.0327457	0.0334752	0.000145144
8	0.0337902	0.0335146	0.000132235
9	0.0331886	0.0334783	0.000122401
10	0.0333507	0.0334656	0.000110825
11	0.0335834	0.0334763	0.000101266
12	0.0344376	0.0335564	0.000120415
13	0.0330815	0.0335199	0.000116561
14	0.0327898	0.0334677	0.000119332
15	0.032927	0.0334317	0.000116694
16	0.0327251	0.0333875	0.000117461
17	0.0344923	0.0334525	0.000127267
18	0.0331465	0.0334355	0.000121327
19	0.033708	0.0334498	0.000115786
20	0.0337153	0.0334631	0.000110755
21	0.0324738	0.033416	0.000115065
22	0.0325532	0.0333768	0.000116326
23	0.0334324	0.0333792	0.000111294
24	0.0331802	0.0333709	0.000106965
25	0.0333308	0.0333693	0.000102698
26	0.033612	0.0333786	9.91717e-05
27	0.0340198	0.0334024	9.83005e-05
28	0.0331781	0.0333944	9.51157e-05
29	0.0337203	0.0334056	9.24972e-05
30	0.0341511	0.0334305	9.2692e-05
31	0.0330291	0.0334175	9.06016e-05
32	0.0334776	0.0334194	8.77898e-05
33	0.0337915	0.0334307	8.58507e-05
34	0.0333737	0.033429	8.3342e-05
35	0.0322666	0.0333958	8.73273e-05
36	0.0333949	0.0333958	8.49015e-05
37	0.0338599	0.0334083	8.35285e-05
38	0.0333966	0.033408	8.1331e-05
39	0.0333455	0.0334064	7.92613e-05
40	0.0336654	0.0334129	7.75439e-05
41	0.0338771	0.0334242	7.64746e-05
42	0.0337982	0.0334331	7.51705e-05
43	0.0329859	0.0334227	7.41383e-05
44	0.0337043	0.0334291	7.27291e-05
45	0.0334343	0.0334292	7.1113e-05
46	0.033679	0.0334346	6.9774e-05
47	0.032778	0.0334207	6.96743e-05
48	0.0334386	0.0334211	6.82238e-05
49	0.0333076	0.0334187	6.68707e-05
50	0.0329943	0.0334102	6.60698e-05
51	0.0330189	0.0334026	6.52185e-05
52	0.0334631	0.0334037	6.39747e-05
53	0.0330883	0.0333978	6.30439e-05
54	0.033608	0.0334017	6.19965e-05
55	0.0330458	0.0333952	6.1206e-05
56	0.0328997	0.0333864	6.07493e-05
57	0.0330557	0.0333806	5.99598e-05
58	0.0341931	0.0333946	6.05405e-05
59	0.0336022	0.0333981	5.96166e-05
60	0.033066	0.0333926	5.88793e-05
61	0.0333816	0.0333924	5.79143e-05
62	0.0341663	0.0334049	5.83101e-05
63	0.0342578	0.0334184	5.89355e-05
64	0.0339871	0.0334273	5.86807e-05
65	0.0337	0.0334315	5.79278e-05
66	0.0337358	0.0334361	5.72333e-05
67	0.0334164	0.0334358	5.63798e-05
68	0.0337539	0.0334405	5.57445e-05
69	0.0329579	0.0334335	5.53736e-05
70	0.0329266	0.0334262	5.50539e-05
71	0.0338724	0.0334325	5.46359e-05
72	0.0330853	0.0334277	5.40895e-05
73	0.0339171	0.0334344	5.37624e-05
74	0.0337369	0.0334385	5.31911e-05
75	0.0334516	0.0334387	5.24821e-05
76	0.0338713	0.0334444	5.20994e-05
77	0.0332072	0.0334413	5.15138e-05
78	0.0338633	0.0334467	5.11367e-05
79	0.0328648	0.0334393	5.1017e-05
80	0.0332679	0.0334372	5.04243e-05
81	0.0333382	0.033436	4.98166e-05
82	0.0330501	0.0334313	4.94308e-05
83	0.0331131	0.0334274	4.89837e-05
84	0.034307	0.0334379	4.9507e-05
85	0.0335207	0.0334389	4.89342e-05
86	0.0330912	0.0334348	4.85319e-05
87	0.0323639	0.0334225	4.95104e-05
88	0.0333056	0.0334212	4.89656e-05
89	0.0330675	0.0334172	4.85764e-05
90	0.0331121	0.0334138	4.81548e-05
91	0.0335135	0.0334149	4.76381e-05
92	0.0333301	0.033414	4.71292e-05
93	0.0322961	0.033402	4.8131e-05
94	0.0342991	0.0334115	4.85559e-05
95	0.0324491	0.0334014	4.90902e-05
96	0.0335501	0.0334029	4.86033e-05
97	0.0338916	0.033408	4.83626e-05
98	0.033642	0.0334104	4.79281e-05
99	0.0333697	0.03341	4.74457e-05
100	0.0334215	0.0334101	4.69714e-05
