r	<g>	err_g
0	0	0
0.064633	0	0
0.129266	0	0
0.193899	0	0
0.258532	0	0
0.323165	0	0
0.387798	0.00368737	0.000166852
0.452431	5.0708	0.0313102
0.517064	17.1694	0.0938692
0.581697	15.5106	0.0786164
0.64633	12.1356	0.0579479
0.710963	10.2477	0.0473142
0.775596	9.24544	0.0405209
0.84023	8.72691	0.0373505
0.904863	8.47843	0.0361449
0.969496	8.39219	0.0361723
1.03413	8.35303	0.0347653
1.09876	8.2915	0.033065
1.16339	8.20034	0.0302594
1.22803	8.11496	0.0286509
1.29266	8.05132	0.0264917
1.35729	8.01146	0.0244279
1.42193	7.98575	0.0236554
1.48656	7.95601	0.0223143
1.55119	7.94488	0.0216307
1.61583	7.92779	0.0199194
1.68046	7.9149	0.018274
1.74509	7.91153	0.0169157
1.80973	7.90299	0.0154845
1.87436	7.89857	0.0140859
1.93899	7.90186	0.0131763
2.00362	7.90571	0.012224
2.06826	7.89993	0.0117851
2.13289	7.8993	0.0113989
2.19752	7.89912	0.0111295
2.26216	7.8985	0.0107216
2.32679	7.89361	0.0103349
2.39142	7.89171	0.0101527
2.45606	7.89301	0.0103866
2.52069	7.8933	0.00999291
2.58532	7.89614	0.00994712
2.64995	7.89258	0.00972578
2.71459	7.89678	0.00905629
2.77922	7.89746	0.00839819
2.84385	7.90178	0.00813574
2.90849	7.89967	0.00741632
2.97312	7.89548	0.00748778
3.03775	7.89341	0.00774533
3.10239	7.89821	0.00775862
3.16702	7.89706	0.00773051
3.23165	7.66275	0.00717245
3.29629	7.20856	0.00664849
3.36092	6.771	0.00628075
3.42555	6.34966	0.00594762
3.49018	5.94122	0.00601758
3.55482	5.54989	0.00595385
3.61945	5.17249	0.00596786
3.68408	4.80766	0.00604364
3.74872	4.45531	0.00597468
3.81335	4.11514	0.00582679
3.87798	3.78443	0.00563618
3.94262	3.46482	0.00555604
4.00725	3.15508	0.00541519
4.07188	2.85707	0.00503265
4.13651	2.56737	0.00475591
4.20115	2.2876	0.00450632
4.26578	2.01505	0.0041779
4.33041	1.75177	0.0039441
4.39505	1.49543	0.00370318
4.45968	1.24715	0.00332205
4.52431	1.00662	0.00287438
4.58895	0.806517	0.00255502
4.65358	0.65414	0.00219834
4.71821	0.530322	0.00194846
4.78285	0.427516	0.00170814
4.84748	0.341435	0.0015211
4.91211	0.268458	0.00131492
4.97674	0.207624	0.00109053
5.04138	0.156781	0.000871638
5.10601	0.115547	0.000675585
5.17064	0.0817516	0.00053612
5.23528	0.0549693	0.000384239
5.29991	0.0341936	0.000272226
5.36454	0.0188612	0.000170307
5.42918	0.00845371	8.55861e-05
5.49381	0.00237088	3.11007e-05
5.55844	0.000129375	3.50627e-06
5.62307	0	0
5.68771	0	0
5.75234	0	0
5.81697	0	0
5.88161	0	0
5.94624	0	0
6.01087	0	0
6.07551	0	0
6.14014	0	0
6.20477	0	0
6.2694	0	0
6.33404	0	0
6.39867	0	0
