Block	Mean	Prog_mean	Error
1	1.65	1.65	0
2	1.65	1.65	0
3	1.65	1.65	1.21667e-08
4	1.65	1.65	0
5	1.65	1.65	0
6	1.65	1.65	1.21667e-08
7	1.65	1.65	1.12642e-08
8	1.65	1.65	1.05367e-08
9	1.65	1.65	9.93411e-09
10	1.65	1.65	0
11	1.65	1.65	8.98574e-09
12	1.65	1.65	8.60319e-09
13	1.65	1.65	8.26568e-09
14	1.65	1.65	7.96501e-09
15	1.65	1.65	7.69493e-09
16	1.65	1.65	7.45058e-09
17	1.65	1.65	7.22812e-09
18	1.65	1.65	7.02447e-09
19	1.65	1.65	6.83712e-09
20	1.65	1.65	0
21	1.65	1.65	0
22	1.65	1.65	4.49287e-09
23	1.65	1.65	4.39411e-09
24	1.65	1.65	7.45058e-09
25	1.65	1.65	5.96046e-09
26	1.65	1.65	8.26568e-09
27	1.65	1.65	7.02447e-09
28	1.65	1.65	7.96501e-09
29	1.65	1.65	6.77792e-09
30	1.65	1.65	6.664e-09
31	1.65	1.65	7.5698e-09
32	1.65	1.65	7.45058e-09
33	1.65	1.65	7.33682e-09
34	1.65	1.65	8.08129e-09
35	1.65	1.65	7.96501e-09
36	1.65	1.65	7.8536e-09
37	1.65	1.65	6.9289e-09
38	1.65	1.65	6.83712e-09
39	1.65	1.65	7.5455e-09
40	1.65	1.65	6.664e-09
41	1.65	1.65	3.29112e-09
42	1.65	1.65	3.2517e-09
43	1.65	1.65	3.21367e-09
44	1.65	1.65	3.17694e-09
45	1.65	1.65	4.44267e-09
46	1.65	1.65	5.38167e-09
47	1.65	1.65	6.87339e-09
48	1.65	1.65	6.80142e-09
49	1.65	1.65	6.73166e-09
50	1.65	1.65	7.88495e-09
51	1.65	1.65	7.80727e-09
52	1.65	1.65	8.76707e-09
53	1.65	1.65	8.68397e-09
54	1.65	1.65	8.60319e-09
55	1.65	1.65	9.42432e-09
56	1.65	1.65	9.3398e-09
57	1.65	1.65	9.25751e-09
58	1.65	1.65	9.17735e-09
59	1.65	1.65	9.89192e-09
60	1.65	1.65	1.01794e-08
61	1.65	1.65	1.00956e-08
62	1.65	1.65	1.03654e-08
63	1.65	1.65	1.02828e-08
64	1.65	1.65	1.02021e-08
65	1.65	1.65	1.01233e-08
66	1.65	1.65	1.00464e-08
67	1.65	1.65	1.06151e-08
68	1.65	1.65	1.05367e-08
69	1.65	1.65	1.04601e-08
70	1.65	1.65	1.06862e-08
71	1.65	1.65	1.06107e-08
72	1.65	1.65	1.11067e-08
73	1.65	1.65	1.10303e-08
74	1.65	1.65	1.09556e-08
75	1.65	1.65	1.08823e-08
76	1.65	1.65	1.08104e-08
77	1.65	1.65	1.10052e-08
78	1.65	1.65	1.06709e-08
79	1.65	1.65	1.06032e-08
80	1.65	1.65	1.05367e-08
81	1.65	1.65	1.04715e-08
82	1.65	1.65	1.06644e-08
83	1.65	1.65	1.06e-08
84	1.65	1.65	1.05367e-08
85	1.65	1.65	1.04745e-08
86	1.65	1.65	1.06585e-08
87	1.65	1.65	1.05971e-08
88	1.65	1.65	1.05367e-08
89	1.65	1.65	1.04773e-08
90	1.65	1.65	1.08823e-08
91	1.65	1.65	1.08223e-08
92	1.65	1.65	1.07633e-08
93	1.65	1.65	1.07053e-08
94	1.65	1.65	1.06482e-08
95	1.65	1.65	1.0592e-08
96	1.65	1.65	1.05367e-08
97	1.65	1.65	1.04823e-08
98	1.65	1.65	1.08545e-08
99	1.65	1.65	1.07995e-08
100	1.65	1.65	1.07454e-08
