Block	Mean	Prog_mean	Error
1	-5.46752	-5.46752	0
2	-5.45814	-5.46283	0.0033159
3	-5.45298	-5.45955	0.00347363
4	-5.46455	-5.4608	0.00282124
5	-5.45926	-5.46049	0.00227366
6	-5.47744	-5.46331	0.00320084
7	-5.45252	-5.46177	0.00309293
8	-5.4652	-5.4622	0.00273586
9	-5.45563	-5.46147	0.00252743
10	-5.47729	-5.46305	0.00272534
11	-5.46628	-5.46335	0.00249333
12	-5.46156	-5.4632	0.00229
13	-5.47396	-5.46403	0.00225852
14	-5.46061	-5.46378	0.0021103
15	-5.46543	-5.46389	0.00197249
16	-5.46104	-5.46371	0.00185725
17	-5.46154	-5.46359	0.0017524
18	-5.45218	-5.46295	0.0017659
19	-5.48215	-5.46396	0.00194072
20	-5.46526	-5.46403	0.00184477
21	-5.47194	-5.4644	0.00179501
22	-5.46948	-5.46464	0.0017282
23	-5.47352	-5.46502	0.00169569
24	-5.4688	-5.46518	0.00163233
25	-5.45389	-5.46473	0.00162833
26	-5.46917	-5.4649	0.00157463
27	-5.45425	-5.4645	0.00156492
28	-5.4691	-5.46467	0.00151762
29	-5.45633	-5.46438	0.00149227
30	-5.44914	-5.46387	0.00152655
31	-5.45137	-5.46347	0.00152966
32	-5.4795	-5.46397	0.00156172
33	-5.46463	-5.46399	0.00151452
34	-5.4501	-5.46358	0.00152411
35	-5.46683	-5.46367	0.00148338
36	-5.46366	-5.46367	0.00144218
37	-5.4631	-5.46366	0.00140329
38	-5.46036	-5.46357	0.00136903
39	-5.47797	-5.46394	0.00138284
40	-5.46438	-5.46395	0.00134831
41	-5.47258	-5.46416	0.00133175
42	-5.46622	-5.46421	0.00130094
43	-5.45627	-5.46403	0.00128374
44	-5.47266	-5.46422	0.00126948
45	-5.4637	-5.46421	0.00124132
46	-5.4705	-5.46435	0.00122185
47	-5.47688	-5.46462	0.00122461
48	-5.47211	-5.46477	0.00120902
49	-5.46303	-5.46474	0.00118487
50	-5.45829	-5.46461	0.00116816
51	-5.47761	-5.46486	0.00117276
52	-5.46382	-5.46484	0.00115037
53	-5.46712	-5.46488	0.00112947
54	-5.48909	-5.46533	0.0011942
55	-5.44752	-5.46501	0.00121561
56	-5.45754	-5.46488	0.0012012
57	-5.45253	-5.46466	0.00119949
58	-5.46227	-5.46462	0.00117952
59	-5.44789	-5.46433	0.00119311
60	-5.45488	-5.46418	0.00118358
61	-5.45747	-5.46407	0.00116927
62	-5.45979	-5.464	0.00115245
63	-5.45282	-5.46382	0.00114773
64	-5.45366	-5.46366	0.00114072
65	-5.46457	-5.46368	0.00112326
66	-5.46046	-5.46363	0.0011073
67	-5.47576	-5.46381	0.00110548
68	-5.46677	-5.46385	0.00109008
69	-5.45872	-5.46378	0.00107681
70	-5.45937	-5.46371	0.00106327
71	-5.46324	-5.46371	0.00104831
72	-5.45093	-5.46353	0.00104867
73	-5.45819	-5.46346	0.00103685
74	-5.45912	-5.4634	0.00102449
75	-5.46491	-5.46342	0.00101103
76	-5.45546	-5.46331	0.00100313
77	-5.45763	-5.46324	0.000992819
78	-5.47002	-5.46333	0.000983884
79	-5.46929	-5.4634	0.000974318
80	-5.46142	-5.46338	0.000962455
81	-5.4631	-5.46337	0.000950579
82	-5.47947	-5.46357	0.00095905
83	-5.46192	-5.46355	0.000947701
84	-5.45496	-5.46345	0.000941916
85	-5.47907	-5.46363	0.000948603
86	-5.46703	-5.46367	0.000938394
87	-5.45418	-5.46356	0.00093393
88	-5.47609	-5.4637	0.0009341
89	-5.46364	-5.4637	0.000923604
90	-5.47772	-5.46386	0.000926381
91	-5.47712	-5.46401	0.000927594
92	-5.46411	-5.46401	0.000917512
93	-5.46416	-5.46401	0.000907648
94	-5.46255	-5.46399	0.000898125
95	-5.4649	-5.464	0.000888721
96	-5.46714	-5.46404	0.000880063
97	-5.46171	-5.46401	0.000871317
98	-5.47098	-5.46408	0.000865325
99	-5.45161	-5.46396	0.000865712
100	-5.45901	-5.46391	0.000858465
