Block	Mean	Prog_mean	Error
1	-3.38917	-3.38917	0
2	-3.37979	-3.38448	0.0033159
3	-3.37464	-3.3812	0.00347363
4	-3.3862	-3.38245	0.00282124
5	-3.38091	-3.38214	0.00227366
6	-3.3991	-3.38497	0.00320084
7	-3.37417	-3.38343	0.00309293
8	-3.38686	-3.38385	0.00273586
9	-3.37728	-3.38312	0.00252743
10	-3.39895	-3.38471	0.00272534
11	-3.38793	-3.385	0.00249333
12	-3.38321	-3.38485	0.00229
13	-3.39561	-3.38568	0.00225852
14	-3.38227	-3.38544	0.0021103
15	-3.38709	-3.38555	0.00197249
16	-3.38269	-3.38537	0.00185725
17	-3.38319	-3.38524	0.0017524
18	-3.37383	-3.38461	0.0017659
19	-3.40381	-3.38562	0.00194072
20	-3.38692	-3.38568	0.00184477
21	-3.3936	-3.38606	0.00179501
22	-3.39114	-3.38629	0.0017282
23	-3.39517	-3.38668	0.00169569
24	-3.39046	-3.38683	0.00163233
25	-3.37554	-3.38638	0.00162833
26	-3.39082	-3.38655	0.00157463
27	-3.3759	-3.38616	0.00156492
28	-3.39076	-3.38632	0.00151762
29	-3.37798	-3.38603	0.00149227
30	-3.37079	-3.38553	0.00152655
31	-3.37302	-3.38512	0.00152966
32	-3.40115	-3.38562	0.00156172
33	-3.38629	-3.38564	0.00151452
34	-3.37175	-3.38524	0.00152411
35	-3.38848	-3.38533	0.00148338
36	-3.38532	-3.38533	0.00144218
37	-3.38475	-3.38531	0.00140329
38	-3.38202	-3.38523	0.00136903
39	-3.39963	-3.38559	0.00138284
40	-3.38603	-3.38561	0.00134831
41	-3.39423	-3.38582	0.00133175
42	-3.38788	-3.38587	0.00130094
43	-3.37792	-3.38568	0.00128374
44	-3.39432	-3.38588	0.00126948
45	-3.38536	-3.38587	0.00124132
46	-3.39216	-3.386	0.00122185
47	-3.39854	-3.38627	0.00122461
48	-3.39377	-3.38642	0.00120902
49	-3.38468	-3.38639	0.00118487
50	-3.37995	-3.38626	0.00116816
51	-3.39927	-3.38652	0.00117276
52	-3.38548	-3.3865	0.00115037
53	-3.38877	-3.38654	0.00112947
54	-3.41075	-3.38699	0.0011942
55	-3.36917	-3.38666	0.00121561
56	-3.37919	-3.38653	0.0012012
57	-3.37418	-3.38631	0.00119949
58	-3.38392	-3.38627	0.00117952
59	-3.36955	-3.38599	0.00119311
60	-3.37654	-3.38583	0.00118358
61	-3.37912	-3.38572	0.00116927
62	-3.38144	-3.38565	0.00115245
63	-3.37448	-3.38547	0.00114773
64	-3.37531	-3.38532	0.00114072
65	-3.38622	-3.38533	0.00112326
66	-3.38211	-3.38528	0.0011073
67	-3.39741	-3.38546	0.00110548
68	-3.38842	-3.38551	0.00109008
69	-3.38038	-3.38543	0.00107681
70	-3.38103	-3.38537	0.00106327
71	-3.38489	-3.38536	0.00104831
72	-3.37258	-3.38518	0.00104867
73	-3.37985	-3.38511	0.00103685
74	-3.38078	-3.38505	0.00102449
75	-3.38656	-3.38507	0.00101103
76	-3.37712	-3.38497	0.00100313
77	-3.37928	-3.38489	0.000992819
78	-3.39167	-3.38498	0.000983884
79	-3.39094	-3.38506	0.000974318
80	-3.38307	-3.38503	0.000962455
81	-3.38475	-3.38503	0.000950579
82	-3.40113	-3.38522	0.00095905
83	-3.38358	-3.3852	0.000947701
84	-3.37662	-3.3851	0.000941916
85	-3.40073	-3.38529	0.000948603
86	-3.38868	-3.38533	0.000938394
87	-3.37583	-3.38522	0.00093393
88	-3.39774	-3.38536	0.0009341
89	-3.38529	-3.38536	0.000923604
90	-3.39937	-3.38551	0.000926381
91	-3.39878	-3.38566	0.000927594
92	-3.38577	-3.38566	0.000917512
93	-3.38582	-3.38566	0.000907648
94	-3.3842	-3.38565	0.000898125
95	-3.38655	-3.38566	0.000888721
96	-3.38879	-3.38569	0.000880063
97	-3.38336	-3.38566	0.000871317
98	-3.39264	-3.38574	0.000865325
99	-3.37326	-3.38561	0.000865712
100	-3.38067	-3.38556	0.000858465
