Block	Mean	Prog_mean	Error
1	-30.7729	-30.7729	0
2	-30.7392	-30.7561	0.0119162
3	-30.7239	-30.7453	0.0118259
4	-30.7639	-30.75	0.00974139
5	-30.7504	-30.7501	0.00779356
6	-30.8272	-30.7629	0.0134073
7	-30.7113	-30.7555	0.0133668
8	-30.7584	-30.7559	0.0117007
9	-30.7362	-30.7537	0.0106034
10	-30.8174	-30.7601	0.0112926
11	-30.7835	-30.7622	0.0104653
12	-30.7565	-30.7617	0.0096041
13	-30.8002	-30.7647	0.00930966
14	-30.782	-30.7659	0.00872668
15	-30.773	-30.7664	0.00815748
16	-30.7854	-30.7676	0.00773349
17	-30.7716	-30.7678	0.00728217
18	-30.7275	-30.7656	0.00721306
19	-30.8533	-30.7702	0.00817806
20	-30.7662	-30.77	0.00777157
21	-30.7944	-30.7712	0.00748816
22	-30.7945	-30.7722	0.00722224
23	-30.8211	-30.7743	0.00721472
24	-30.8038	-30.7756	0.00701747
25	-30.7304	-30.7738	0.00696551
26	-30.812	-30.7752	0.00685127
27	-30.7319	-30.7736	0.00678279
28	-30.8076	-30.7748	0.00664788
29	-30.723	-30.7731	0.00665463
30	-30.7294	-30.7716	0.00659014
31	-30.7194	-30.7699	0.00658899
32	-30.8777	-30.7733	0.00719288
33	-30.7747	-30.7733	0.00697505
34	-30.7073	-30.7714	0.00703533
35	-30.7666	-30.7712	0.00683567
36	-30.7805	-30.7715	0.00665064
37	-30.7497	-30.7709	0.00649684
38	-30.7268	-30.7698	0.00642896
39	-30.857	-30.772	0.00664153
40	-30.7822	-30.7722	0.00648035
41	-30.8089	-30.7731	0.00638358
42	-30.7826	-30.7734	0.00623557
43	-30.7431	-30.7727	0.00613009
44	-30.8162	-30.7736	0.00606993
45	-30.7907	-30.774	0.0059468
46	-30.8363	-30.7754	0.00596971
47	-30.842	-30.7768	0.00600879
48	-30.8141	-30.7776	0.00593377
49	-30.7732	-30.7775	0.00581334
50	-30.7147	-30.7762	0.00583099
51	-30.8348	-30.7774	0.00582857
52	-30.7846	-30.7775	0.00571815
53	-30.7921	-30.7778	0.00561689
54	-30.8975	-30.78	0.00593407
55	-30.6926	-30.7784	0.00603528
56	-30.7314	-30.7776	0.00598575
57	-30.7212	-30.7766	0.00596192
58	-30.7521	-30.7762	0.00587411
59	-30.7141	-30.7751	0.00586804
60	-30.7385	-30.7745	0.00580192
61	-30.7558	-30.7742	0.00571494
62	-30.7403	-30.7737	0.00564891
63	-30.7196	-30.7728	0.00562414
64	-30.7308	-30.7721	0.00557443
65	-30.7689	-30.7721	0.00548889
66	-30.7523	-30.7718	0.00541389
67	-30.8285	-30.7726	0.00539894
68	-30.7798	-30.7727	0.00532056
69	-30.7483	-30.7724	0.00525519
70	-30.7437	-30.772	0.00519605
71	-30.7672	-30.7719	0.0051233
72	-30.6809	-30.7706	0.00520573
73	-30.7298	-30.7701	0.00516436
74	-30.728	-30.7695	0.00512586
75	-30.7808	-30.7697	0.00505972
76	-30.7238	-30.7691	0.00502902
77	-30.7203	-30.7684	0.00500339
78	-30.7996	-30.7688	0.00495516
79	-30.7957	-30.7692	0.00490407
80	-30.7655	-30.7691	0.00484298
81	-30.7599	-30.769	0.00478453
82	-30.8544	-30.7701	0.00483825
83	-30.7526	-30.7698	0.00478453
84	-30.712	-30.7692	0.00477679
85	-30.8225	-30.7698	0.00476167
86	-30.7741	-30.7698	0.00470656
87	-30.7098	-30.7691	0.00470276
88	-30.8319	-30.7699	0.00470316
89	-30.7775	-30.7699	0.0046511
90	-30.8266	-30.7706	0.00464179
91	-30.8289	-30.7712	0.00463488
92	-30.7647	-30.7711	0.00458505
93	-30.7408	-30.7708	0.00454736
94	-30.7661	-30.7708	0.00449926
95	-30.7807	-30.7709	0.00445312
96	-30.7767	-30.7709	0.00440715
97	-30.7603	-30.7708	0.00436307
98	-30.8102	-30.7712	0.00433698
99	-30.7151	-30.7707	0.00433009
100	-30.7593	-30.7705	0.00428827
