r	<g>	err_g
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	6.57364e-05	1.05977e-05
0.436044	0.10456	0.000481023
0.461694	2.96292	0.00434569
0.487343	12.3281	0.00940522
0.512993	19.5718	0.00683172
0.538642	19.8092	0.00642592
0.564292	16.6634	0.00748436
0.589942	13.2424	0.0070654
0.615591	10.5311	0.00635834
0.641241	8.5857	0.00487957
0.666891	7.24524	0.00384509
0.69254	6.3604	0.00330935
0.71819	5.79071	0.00353011
0.74384	5.48048	0.00386123
0.769489	5.36725	0.00347983
0.795139	5.45002	0.00360459
0.820788	5.70305	0.0036124
0.846438	6.12217	0.00359375
0.872088	6.67945	0.00371239
0.897737	7.32177	0.00320974
0.923387	7.98914	0.0035803
0.949037	8.61841	0.00359914
0.974686	9.16689	0.00322108
1.00034	9.55727	0.00342144
1.02599	9.71374	0.00329039
1.05164	9.60939	0.003537
1.07728	9.30033	0.0035773
1.10293	8.87398	0.00337731
1.12858	8.41905	0.00330621
1.15423	7.99976	0.00292108
1.17988	7.6553	0.00283304
1.20553	7.39991	0.00276184
1.23118	7.21362	0.002688
1.25683	7.08913	0.00276671
1.28248	6.94177	0.0027585
1.30813	6.68041	0.00275217
1.33378	6.45963	0.00273377
1.35943	6.25032	0.00271379
1.38508	6.02445	0.00243789
1.41073	5.77319	0.00242759
1.43638	5.47978	0.00209382
1.46203	5.15145	0.00191691
1.48768	4.79114	0.00191725
1.51333	4.41361	0.00212108
1.53898	4.02596	0.00204486
1.56463	3.63911	0.00187382
1.59028	3.26377	0.00169753
1.61593	2.9056	0.00136172
1.64158	2.56959	0.00114574
1.66723	2.25691	0.000995172
1.69288	1.96842	0.00120058
1.71853	1.70027	0.0012536
1.74418	1.45102	0.00125633
1.76983	1.21654	0.00107208
1.79547	0.993357	0.000778415
1.82112	0.807665	0.000573127
1.84677	0.666177	0.000483467
1.87242	0.549218	0.000496036
1.89807	0.447831	0.000565209
1.92372	0.360201	0.000629069
1.94937	0.283813	0.000547693
1.97502	0.218178	0.000402763
2.00067	0.163269	0.000214653
2.02632	0.118105	0.000162562
2.05197	0.0821403	0.00017837
2.07762	0.054091	0.000193494
2.10327	0.0330014	0.000167895
2.12892	0.0179614	0.000122418
2.15457	0.00786394	7.08776e-05
2.18022	0.00214839	2.84509e-05
2.20587	0.000118113	2.93191e-06
2.23152	0	0
2.25717	0	0
2.28282	0	0
2.30847	0	0
2.33412	0	0
2.35977	0	0
2.38542	0	0
2.41107	0	0
2.43672	0	0
2.46237	0	0
2.48802	0	0
2.51366	0	0
2.53931	0	0
