Block	Mean	Prog_mean	Error
1	1.2	1.2	0
2	1.2	1.2	0
3	1.2	1.2	0
4	1.2	1.2	0
5	1.2	1.2	0
6	1.2	1.2	0
7	1.2	1.2	0
8	1.2	1.2	0
9	1.2	1.2	0
10	1.2	1.2	0
11	1.2	1.2	0
12	1.2	1.2	0
13	1.2	1.2	4.13284e-09
14	1.2	1.2	3.9825e-09
15	1.2	1.2	3.84746e-09
16	1.2	1.2	3.72529e-09
17	1.2	1.2	3.61406e-09
18	1.2	1.2	4.96705e-09
19	1.2	1.2	4.83458e-09
20	1.2	1.2	4.71216e-09
21	1.2	1.2	4.5986e-09
22	1.2	1.2	7.10385e-09
23	1.2	1.2	6.9477e-09
24	1.2	1.2	6.80142e-09
25	1.2	1.2	6.664e-09
26	1.2	1.2	6.53459e-09
27	1.2	1.2	6.41244e-09
28	1.2	1.2	2.81605e-09
29	1.2	1.2	2.76708e-09
30	1.2	1.2	2.72057e-09
31	1.2	1.2	2.67633e-09
32	1.2	1.2	2.63418e-09
33	1.2	1.2	2.59396e-09
34	1.2	1.2	5.11106e-09
35	1.2	1.2	5.03751e-09
36	1.2	1.2	4.96705e-09
37	1.2	1.2	4.89947e-09
38	1.2	1.2	5.92112e-09
39	1.2	1.2	6.31302e-09
40	1.2	1.2	6.2336e-09
41	1.2	1.2	6.15711e-09
42	1.2	1.2	6.08337e-09
43	1.2	1.2	6.81722e-09
44	1.2	1.2	6.7393e-09
45	1.2	1.2	6.28288e-09
46	1.2	1.2	6.21421e-09
47	1.2	1.2	6.14775e-09
48	1.2	1.2	6.08337e-09
49	1.2	1.2	6.02098e-09
50	1.2	1.2	6.98926e-09
51	1.2	1.2	6.9204e-09
52	1.2	1.2	7.15829e-09
53	1.2	1.2	7.09043e-09
54	1.2	1.2	7.02447e-09
55	1.2	1.2	6.96032e-09
56	1.2	1.2	6.8979e-09
57	1.2	1.2	6.83712e-09
58	1.2	1.2	6.77792e-09
59	1.2	1.2	7.25869e-09
60	1.2	1.2	7.19794e-09
61	1.2	1.2	7.1387e-09
62	1.2	1.2	7.0809e-09
63	1.2	1.2	7.02447e-09
64	1.2	1.2	6.96938e-09
65	1.2	1.2	6.91556e-09
66	1.2	1.2	6.86297e-09
67	1.2	1.2	6.81156e-09
68	1.2	1.2	6.76129e-09
69	1.2	1.2	6.71212e-09
70	1.2	1.2	6.664e-09
71	1.2	1.2	6.61691e-09
72	1.2	1.2	7.24066e-09
73	1.2	1.2	7.1909e-09
74	1.2	1.2	7.14215e-09
75	1.2	1.2	7.09437e-09
76	1.2	1.2	7.04754e-09
77	1.2	1.2	7.00163e-09
78	1.2	1.2	6.9566e-09
79	1.2	1.2	6.91243e-09
80	1.2	1.2	6.8691e-09
81	1.2	1.2	6.82656e-09
82	1.2	1.2	6.78481e-09
83	1.2	1.2	6.74381e-09
84	1.2	1.2	6.70355e-09
85	1.2	1.2	6.664e-09
86	1.2	1.2	6.81722e-09
87	1.2	1.2	6.77792e-09
88	1.2	1.2	6.7393e-09
89	1.2	1.2	6.51253e-09
90	1.2	1.2	6.28288e-09
91	1.2	1.2	6.04986e-09
92	1.2	1.2	6.40546e-09
93	1.2	1.2	6.18071e-09
94	1.2	1.2	6.14775e-09
95	1.2	1.2	5.92112e-09
96	1.2	1.2	5.69047e-09
97	1.2	1.2	5.66107e-09
98	1.2	1.2	5.42724e-09
99	1.2	1.2	5.39976e-09
100	1.2	1.2	5.16191e-09
