Block	Mean	Prog_mean	Error
1	-7.54679	-7.54679	0
2	-7.55423	-7.55051	0.00262957
3	-7.54554	-7.54885	0.00221489
4	-7.544	-7.54764	0.00196506
5	-7.54401	-7.54691	0.00170063
6	-7.54402	-7.54643	0.00148393
7	-7.54242	-7.54586	0.00137835
8	-7.54921	-7.54628	0.0012681
9	-7.5455	-7.54619	0.00113017
10	-7.55272	-7.54684	0.00119088
11	-7.55381	-7.54748	0.00123961
12	-7.54658	-7.5474	0.00113858
13	-7.53842	-7.54671	0.00124303
14	-7.54636	-7.54669	0.0011545
15	-7.54096	-7.5463	0.00113882
16	-7.54838	-7.54643	0.00107498
17	-7.54291	-7.54623	0.00103157
18	-7.54175	-7.54598	0.00100375
19	-7.5291	-7.54509	0.00128527
20	-7.54012	-7.54484	0.00124479
21	-7.55752	-7.54544	0.00132377
22	-7.54428	-7.54539	0.00126465
23	-7.55347	-7.54574	0.00125749
24	-7.55466	-7.54611	0.00125872
25	-7.55044	-7.54629	0.00122021
26	-7.5499	-7.54643	0.00118114
27	-7.5422	-7.54627	0.00114774
28	-7.55005	-7.5464	0.00111468
29	-7.54807	-7.54646	0.00107772
30	-7.54323	-7.54635	0.00104717
31	-7.5539	-7.5466	0.00104128
32	-7.55644	-7.54691	0.00105321
33	-7.55094	-7.54703	0.00102837
34	-7.54701	-7.54703	0.000998124
35	-7.55457	-7.54724	0.000992592
36	-7.5392	-7.54702	0.000989873
37	-7.54492	-7.54696	0.000964743
38	-7.54426	-7.54689	0.000941973
39	-7.54986	-7.54697	0.000920886
40	-7.54233	-7.54685	0.000905146
41	-7.55365	-7.54702	0.000898114
42	-7.54771	-7.54703	0.000876879
43	-7.53494	-7.54675	0.000900441
44	-7.54179	-7.54664	0.000887014
45	-7.54675	-7.54664	0.000867306
46	-7.54356	-7.54658	0.000851031
47	-7.54746	-7.54659	0.000833132
48	-7.54785	-7.54662	0.000816189
49	-7.54213	-7.54653	0.000804669
50	-7.54142	-7.54643	0.000795034
51	-7.54923	-7.54648	0.000781344
52	-7.55347	-7.54662	0.00077779
53	-7.53916	-7.54647	0.000775745
54	-7.55258	-7.54659	0.000769561
55	-7.53894	-7.54645	0.000768042
56	-7.54484	-7.54642	0.000754867
57	-7.55116	-7.5465	0.000746184
58	-7.54463	-7.54647	0.000734018
59	-7.54475	-7.54644	0.000722155
60	-7.5455	-7.54643	0.000710291
61	-7.54153	-7.54635	0.00070316
62	-7.54541	-7.54633	0.000691982
63	-7.53793	-7.5462	0.000693732
64	-7.53463	-7.54602	0.000706042
65	-7.55527	-7.54616	0.000709391
66	-7.53893	-7.54605	0.000707055
67	-7.54605	-7.54605	0.000696502
68	-7.5386	-7.54594	0.000694826
69	-7.54292	-7.5459	0.000686131
70	-7.54647	-7.5459	0.000676378
71	-7.55421	-7.54602	0.000676901
72	-7.55116	-7.54609	0.000671248
73	-7.5352	-7.54594	0.000678443
74	-7.54569	-7.54594	0.000669284
75	-7.53241	-7.54576	0.000684253
76	-7.54469	-7.54575	0.000675394
77	-7.5407	-7.54568	0.000669798
78	-7.55015	-7.54574	0.000663654
79	-7.54401	-7.54572	0.000655611
80	-7.54091	-7.54566	0.000650161
81	-7.55615	-7.54578	0.000654908
82	-7.5545	-7.54589	0.000655486
83	-7.55161	-7.54596	0.000651199
84	-7.54547	-7.54595	0.000643473
85	-7.54885	-7.54599	0.000636806
86	-7.53974	-7.54592	0.000633531
87	-7.53575	-7.5458	0.00063694
88	-7.54898	-7.54583	0.00063073
89	-7.55598	-7.54595	0.000633868
90	-7.56301	-7.54614	0.000654555
91	-7.54657	-7.54614	0.000647379
92	-7.55477	-7.54624	0.000647092
93	-7.54617	-7.54624	0.000640134
94	-7.54002	-7.54617	0.000636736
95	-7.54096	-7.54612	0.000632394
96	-7.5578	-7.54624	0.000637418
97	-7.54386	-7.54621	0.00063132
98	-7.53945	-7.54614	0.000628641
99	-7.54203	-7.5461	0.000623663
100	-7.55221	-7.54616	0.000620413
