Block	Mean	Prog_mean	Error
1	-5.48388	-5.48388	0
2	-5.49132	-5.4876	0.00262957
3	-5.48263	-5.48594	0.00221489
4	-5.4811	-5.48473	0.00196506
5	-5.48111	-5.48401	0.00170063
6	-5.48111	-5.48352	0.00148393
7	-5.47951	-5.48295	0.00137835
8	-5.4863	-5.48337	0.0012681
9	-5.48259	-5.48328	0.00113017
10	-5.48981	-5.48394	0.00119088
11	-5.4909	-5.48457	0.00123961
12	-5.48367	-5.48449	0.00113858
13	-5.47551	-5.4838	0.00124303
14	-5.48345	-5.48378	0.0011545
15	-5.47806	-5.4834	0.00113882
16	-5.48547	-5.48353	0.00107498
17	-5.48	-5.48332	0.00103157
18	-5.47884	-5.48307	0.00100375
19	-5.46619	-5.48218	0.00128527
20	-5.47721	-5.48193	0.00124479
21	-5.49461	-5.48254	0.00132377
22	-5.48138	-5.48248	0.00126465
23	-5.49056	-5.48284	0.00125749
24	-5.49175	-5.48321	0.00125872
25	-5.48753	-5.48338	0.00122021
26	-5.48699	-5.48352	0.00118114
27	-5.47929	-5.48336	0.00114774
28	-5.48715	-5.4835	0.00111468
29	-5.48516	-5.48355	0.00107772
30	-5.48032	-5.48345	0.00104717
31	-5.49099	-5.48369	0.00104128
32	-5.49353	-5.484	0.00105321
33	-5.48803	-5.48412	0.00102837
34	-5.4841	-5.48412	0.000998124
35	-5.49166	-5.48433	0.000992592
36	-5.47629	-5.48411	0.000989873
37	-5.48201	-5.48405	0.000964743
38	-5.48135	-5.48398	0.000941973
39	-5.48695	-5.48406	0.000920886
40	-5.47942	-5.48394	0.000905146
41	-5.49074	-5.48411	0.000898114
42	-5.4848	-5.48413	0.000876879
43	-5.47203	-5.48384	0.000900441
44	-5.47888	-5.48373	0.000887014
45	-5.48384	-5.48373	0.000867306
46	-5.48065	-5.48367	0.000851031
47	-5.48455	-5.48369	0.000833132
48	-5.48495	-5.48371	0.000816189
49	-5.47922	-5.48362	0.000804669
50	-5.47851	-5.48352	0.000795034
51	-5.48632	-5.48357	0.000781344
52	-5.49056	-5.48371	0.00077779
53	-5.47625	-5.48357	0.000775745
54	-5.48967	-5.48368	0.000769561
55	-5.47603	-5.48354	0.000768042
56	-5.48193	-5.48351	0.000754867
57	-5.48825	-5.4836	0.000746184
58	-5.48172	-5.48356	0.000734018
59	-5.48184	-5.48353	0.000722155
60	-5.48259	-5.48352	0.000710291
61	-5.47863	-5.48344	0.00070316
62	-5.4825	-5.48342	0.000691982
63	-5.47502	-5.48329	0.000693732
64	-5.47172	-5.48311	0.000706042
65	-5.49236	-5.48325	0.000709391
66	-5.47602	-5.48314	0.000707055
67	-5.48314	-5.48314	0.000696502
68	-5.47569	-5.48303	0.000694826
69	-5.48001	-5.48299	0.000686131
70	-5.48356	-5.483	0.000676378
71	-5.49131	-5.48311	0.000676901
72	-5.48825	-5.48318	0.000671248
73	-5.47229	-5.48304	0.000678443
74	-5.48278	-5.48303	0.000669284
75	-5.4695	-5.48285	0.000684253
76	-5.48178	-5.48284	0.000675394
77	-5.47779	-5.48277	0.000669798
78	-5.48724	-5.48283	0.000663654
79	-5.48111	-5.48281	0.000655611
80	-5.478	-5.48275	0.000650161
81	-5.49324	-5.48288	0.000654908
82	-5.49159	-5.48298	0.000655486
83	-5.4887	-5.48305	0.000651199
84	-5.48257	-5.48305	0.000643473
85	-5.48595	-5.48308	0.000636806
86	-5.47683	-5.48301	0.000633531
87	-5.47284	-5.48289	0.00063694
88	-5.48608	-5.48293	0.00063073
89	-5.49308	-5.48304	0.000633868
90	-5.5001	-5.48323	0.000654555
91	-5.48366	-5.48324	0.000647379
92	-5.49186	-5.48333	0.000647092
93	-5.48326	-5.48333	0.000640134
94	-5.47711	-5.48326	0.000636736
95	-5.47805	-5.48321	0.000632394
96	-5.4949	-5.48333	0.000637418
97	-5.48095	-5.4833	0.00063132
98	-5.47654	-5.48324	0.000628641
99	-5.47912	-5.48319	0.000623663
100	-5.4893	-5.48325	0.000620413
