Block	Mean	Prog_mean	Error
1	-81.3703	-81.3703	0
2	-81.4077	-81.389	0.0132492
3	-81.3624	-81.3801	0.0114257
4	-81.3536	-81.3735	0.0103192
5	-81.3553	-81.3699	0.00887384
6	-81.3546	-81.3673	0.00774937
7	-81.346	-81.3643	0.00721441
8	-81.3832	-81.3666	0.0066875
9	-81.3636	-81.3663	0.00595291
10	-81.4043	-81.3701	0.00645628
11	-81.4071	-81.3735	0.00668917
12	-81.3673	-81.3729	0.00615125
13	-81.3234	-81.3691	0.00675756
14	-81.3685	-81.3691	0.00627501
15	-81.34	-81.3672	0.00614944
16	-81.3775	-81.3678	0.00579896
17	-81.3486	-81.3667	0.0055671
18	-81.3429	-81.3653	0.00541208
19	-81.272	-81.3604	0.00701273
20	-81.3312	-81.359	0.00681268
21	-81.4282	-81.3623	0.00724175
22	-81.3555	-81.362	0.00691918
23	-81.4057	-81.3639	0.00687526
24	-81.4105	-81.3658	0.00685819
25	-81.39	-81.3668	0.00665184
26	-81.3852	-81.3675	0.00643371
27	-81.3439	-81.3666	0.00625457
28	-81.386	-81.3673	0.00606934
29	-81.376	-81.3676	0.00586747
30	-81.3485	-81.367	0.0057064
31	-81.4088	-81.3683	0.0056799
32	-81.4221	-81.37	0.00574585
33	-81.3939	-81.3707	0.00561719
34	-81.3686	-81.3707	0.00545232
35	-81.412	-81.3718	0.00542273
36	-81.3256	-81.3706	0.00542215
37	-81.3601	-81.3703	0.005283
38	-81.355	-81.3699	0.00515933
39	-81.3833	-81.3702	0.00503858
40	-81.3437	-81.3695	0.00495608
41	-81.4031	-81.3704	0.00490242
42	-81.3707	-81.3704	0.0047857
43	-81.303	-81.3688	0.00492445
44	-81.3397	-81.3681	0.00485691
45	-81.369	-81.3682	0.00474901
46	-81.3506	-81.3678	0.00466107
47	-81.3727	-81.3679	0.00456307
48	-81.373	-81.368	0.00446926
49	-81.3437	-81.3675	0.00440539
50	-81.3394	-81.3669	0.00435305
51	-81.3799	-81.3672	0.00427511
52	-81.4051	-81.3679	0.0042547
53	-81.3279	-81.3672	0.00424094
54	-81.4007	-81.3678	0.00420768
55	-81.326	-81.367	0.00419928
56	-81.3577	-81.3669	0.0041276
57	-81.3938	-81.3673	0.00408224
58	-81.3614	-81.3672	0.00401312
59	-81.358	-81.3671	0.00394816
60	-81.3633	-81.367	0.00388286
61	-81.3416	-81.3666	0.00384145
62	-81.3625	-81.3665	0.00378005
63	-81.3199	-81.3658	0.00379169
64	-81.3012	-81.3648	0.00386456
65	-81.4167	-81.3656	0.00388685
66	-81.3274	-81.365	0.00387072
67	-81.3652	-81.365	0.00381295
68	-81.323	-81.3644	0.00380651
69	-81.3488	-81.3642	0.00375803
70	-81.3673	-81.3642	0.00370461
71	-81.409	-81.3648	0.00370569
72	-81.3931	-81.3652	0.00367489
73	-81.3035	-81.3644	0.00372055
74	-81.3632	-81.3644	0.00367031
75	-81.2893	-81.3634	0.0037553
76	-81.3613	-81.3633	0.00370599
77	-81.3377	-81.363	0.00367284
78	-81.3891	-81.3633	0.00364099
79	-81.3543	-81.3632	0.00359669
80	-81.3373	-81.3629	0.0035663
81	-81.4216	-81.3636	0.00359511
82	-81.4117	-81.3642	0.00359868
83	-81.3961	-81.3646	0.00357571
84	-81.3583	-81.3645	0.00353393
85	-81.3814	-81.3647	0.00349794
86	-81.3296	-81.3643	0.00348098
87	-81.3089	-81.3637	0.00349884
88	-81.3815	-81.3639	0.00346491
89	-81.4206	-81.3645	0.00348409
90	-81.4569	-81.3655	0.00359347
91	-81.369	-81.3656	0.00355417
92	-81.4147	-81.3661	0.00355541
93	-81.3664	-81.3661	0.00351718
94	-81.3318	-81.3657	0.00349862
95	-81.3371	-81.3654	0.00347479
96	-81.4316	-81.3661	0.00350626
97	-81.3543	-81.366	0.00347225
98	-81.3293	-81.3656	0.00345701
99	-81.3434	-81.3654	0.00342939
100	-81.401	-81.3658	0.0034135
