r	<g>	err_g
0	0	0
0.0230664	0	0
0.0461329	0	0
0.0691993	0	0
0.0922657	0	0
0.115332	0	0
0.138399	0	0
0.161465	0	0
0.184531	0	0
0.207598	0	0
0.230664	0	0
0.253731	0	0
0.276797	0	0
0.299864	0	0
0.32293	0	0
0.345996	0	0
0.369063	0	0
0.392129	0	0
0.415196	1.27548e-06	1.26909e-06
0.438262	0.0139258	0.000158767
0.461329	1.38717	0.00233658
0.484395	13.1119	0.00809813
0.507461	33.0641	0.0048949
0.530528	37.507	0.0120138
0.553594	25.3279	0.00735805
0.576661	11.7321	0.00304665
0.599727	4.01048	0.00377421
0.622794	1.0709	0.00245569
0.64586	0.367373	0.00160279
0.668926	0.673537	0.00166314
0.691993	1.94694	0.00214974
0.715059	4.33662	0.00166438
0.738126	6.87883	0.00314919
0.761192	7.59322	0.00439438
0.784259	5.78596	0.00233982
0.807325	3.12223	0.00183554
0.830391	1.65005	0.00304346
0.853458	2.77136	0.004096
0.876524	7.81373	0.00445913
0.899591	15.8744	0.00308975
0.922657	21.2406	0.00825178
0.945724	18.9278	0.00685394
0.96879	11.5383	0.00189837
0.991856	5.36868	0.00433286
1.01492	3.59043	0.0044281
1.03799	5.39119	0.00194639
1.06106	7.73087	0.0022696
1.08412	7.75433	0.00301055
1.10719	5.73556	0.00162777
1.13026	4.58385	0.00408028
1.15332	6.15908	0.00340003
1.17639	9.61166	0.00255475
1.19945	7.85797	0.00461175
1.22252	1.46708	0.00119892
1.24559	0.544115	0.000953735
1.26865	1.41713	0.000889005
1.29172	2.7126	0.000752544
1.31479	3.68859	0.00125633
1.33785	4.22315	0.0017625
1.36092	5.889	0.00379613
1.38399	9.81861	0.00159494
1.40705	12.104	0.00472048
1.43012	8.14384	0.00333132
1.45319	2.67035	0.00104903
1.47625	0.422209	0.000805257
1.49932	0.0542268	0.000259868
1.52238	0.131211	0.000371333
1.54545	0.503931	0.000594337
1.56852	1.18697	0.000445894
1.59158	1.44426	0.000807277
1.61465	0.436189	0.000389896
1.63772	0.00194506	2.91737e-05
1.66078	0.0175316	0.000129517
1.68385	0.109483	0.000430565
1.70692	0.469112	0.000934068
1.72998	1.29127	0.000847358
1.75305	2.05998	0.000943353
1.77612	1.58443	0.0011952
1.79918	0.463173	0.000245617
1.82225	0.0433783	0.000102192
1.84531	0.00127165	1.49953e-05
1.86838	1.22926e-05	1.04209e-06
1.89145	6.41519e-08	6.38303e-08
1.91451	0	0
1.93758	0	0
1.96065	0	0
1.98371	0	0
2.00678	0	0
2.02985	0	0
2.05291	0	0
2.07598	0	0
2.09905	0	0
2.12211	0	0
2.14518	0	0
2.16824	0	0
2.19131	0	0
2.21438	0	0
2.23744	0	0
2.26051	0	0
2.28358	0	0
