Block	Mean	Prog_mean	Error
1	-0.448221	-0.448221	0
2	-0.426438	-0.437329	0.0077014
3	-0.449027	-0.441229	0.00604118
4	-0.440579	-0.441066	0.00453307
5	-0.425554	-0.437964	0.00456626
6	-0.451604	-0.440237	0.00433437
7	-0.468522	-0.444278	0.0052723
8	-0.449494	-0.44493	0.0046534
9	-0.458034	-0.446386	0.00435819
10	-0.450143	-0.446762	0.00393853
11	-0.433194	-0.445528	0.00376867
12	-0.44716	-0.445664	0.00345707
13	-0.411749	-0.443055	0.00405784
14	-0.408534	-0.440589	0.00445463
15	-0.421034	-0.439286	0.00434424
16	-0.442583	-0.439492	0.00407761
17	-0.462919	-0.44087	0.00406396
18	-0.44603	-0.441157	0.00384828
19	-0.448867	-0.441562	0.00366708
20	-0.463445	-0.442657	0.0036433
21	-0.444837	-0.44276	0.00347129
22	-0.459241	-0.44351	0.00339338
23	-0.455708	-0.44404	0.00328703
24	-0.469387	-0.445096	0.0033154
25	-0.473242	-0.446222	0.00336852
26	-0.453825	-0.446514	0.00325163
27	-0.454035	-0.446793	0.00314311
28	-0.457726	-0.447183	0.00305501
29	-0.45813	-0.447561	0.00297289
30	-0.421832	-0.446703	0.00299495
31	-0.425578	-0.446022	0.00297485
32	-0.43999	-0.445833	0.00288785
33	-0.460282	-0.446271	0.00283334
34	-0.446216	-0.446269	0.00275001
35	-0.441644	-0.446137	0.00267461
36	-0.443143	-0.446054	0.00260161
37	-0.429587	-0.445609	0.00256908
38	-0.436957	-0.445381	0.00251154
39	-0.430539	-0.445001	0.00247581
40	-0.433865	-0.444722	0.00242952
41	-0.480111	-0.445586	0.00251892
42	-0.482287	-0.446459	0.00260612
43	-0.466548	-0.446927	0.00258705
44	-0.471195	-0.447478	0.00258638
45	-0.491297	-0.448452	0.00270601
46	-0.494158	-0.449446	0.00282372
47	-0.470337	-0.44989	0.00279841
48	-0.453073	-0.449956	0.00274089
49	-0.450373	-0.449965	0.00268497
50	-0.438103	-0.449728	0.00264173
51	-0.432684	-0.449393	0.00261098
52	-0.412865	-0.448691	0.00265359
53	-0.433861	-0.448411	0.00261823
54	-0.422063	-0.447923	0.00261481
55	-0.446895	-0.447905	0.00256734
56	-0.432426	-0.447628	0.00253633
57	-0.463866	-0.447913	0.00250778
58	-0.465733	-0.44822	0.00248329
59	-0.461528	-0.448446	0.00245142
60	-0.462054	-0.448673	0.00242103
61	-0.456495	-0.448801	0.00238474
62	-0.464356	-0.449052	0.00235943
63	-0.461642	-0.449252	0.00233043
64	-0.454582	-0.449335	0.00229551
65	-0.426442	-0.448983	0.00228705
66	-0.403935	-0.4483	0.00235204
67	-0.411984	-0.447758	0.00237857
68	-0.395484	-0.446989	0.00246469
69	-0.443501	-0.446939	0.00242949
70	-0.416955	-0.44651	0.00243225
71	-0.407089	-0.445955	0.00246055
72	-0.415569	-0.445533	0.0024623
73	-0.446037	-0.44554	0.00242858
74	-0.427766	-0.4453	0.00240761
75	-0.435574	-0.44517	0.002379
76	-0.425924	-0.444917	0.00236113
77	-0.43	-0.444723	0.00233841
78	-0.39954	-0.444144	0.00237909
79	-0.394187	-0.443512	0.00243157
80	-0.401772	-0.44299	0.00245651
81	-0.401093	-0.442473	0.00248004
82	-0.415612	-0.442145	0.00247133
83	-0.419872	-0.441877	0.00245609
84	-0.425189	-0.441678	0.00243487
85	-0.421693	-0.441443	0.00241755
86	-0.414051	-0.441124	0.00241033
87	-0.435555	-0.44106	0.00238347
88	-0.407515	-0.440679	0.00238668
89	-0.389321	-0.440102	0.00242862
90	-0.409421	-0.439761	0.00242544
91	-0.40578	-0.439388	0.00242736
92	-0.408718	-0.439054	0.00242376
93	-0.403296	-0.43867	0.00242801
94	-0.424397	-0.438518	0.00240692
95	-0.437168	-0.438504	0.00238163
96	-0.417948	-0.43829	0.00236643
97	-0.414381	-0.438043	0.00235483
98	-0.417195	-0.437831	0.00234039
99	-0.421849	-0.437669	0.00232231
100	-0.398613	-0.437279	0.0023317
101	-0.382229	-0.436734	0.00237146
102	-0.401181	-0.436385	0.00237369
103	-0.398441	-0.436017	0.00237906
104	-0.405486	-0.435723	0.00237423
105	-0.372986	-0.435126	0.00242563
106	-0.352103	-0.434342	0.00252604
107	-0.379801	-0.433833	0.00255334
108	-0.333996	-0.432908	0.00269184
109	-0.364423	-0.43228	0.00273949
110	-0.394047	-0.431932	0.00273655
111	-0.411814	-0.431751	0.00271789
112	-0.376463	-0.431257	0.00273808
113	-0.399965	-0.43098	0.00272782
114	-0.412419	-0.430818	0.00270875
115	-0.402581	-0.430572	0.0026963
116	-0.424189	-0.430517	0.00267362
117	-0.420997	-0.430436	0.002652
118	-0.432934	-0.430457	0.00262961
