Block	Mean	Prog_mean	Error
1	1.35513	1.35513	0
2	1.37691	1.36602	0.0077014
3	1.35432	1.36212	0.00604118
4	1.36277	1.36228	0.00453307
5	1.3778	1.36539	0.00456626
6	1.35175	1.36311	0.00433437
7	1.33483	1.35907	0.0052723
8	1.35386	1.35842	0.0046534
9	1.34532	1.35697	0.00435819
10	1.35321	1.35659	0.00393853
11	1.37016	1.35782	0.00376867
12	1.35619	1.35769	0.00345707
13	1.3916	1.3603	0.00405784
14	1.39482	1.36276	0.00445463
15	1.38232	1.36407	0.00434424
16	1.36077	1.36386	0.00407761
17	1.34043	1.36248	0.00406396
18	1.35732	1.36219	0.00384828
19	1.35448	1.36179	0.00366708
20	1.33991	1.36069	0.0036433
21	1.35851	1.36059	0.00347129
22	1.34411	1.35984	0.00339338
23	1.34764	1.35931	0.00328703
24	1.33396	1.35825	0.0033154
25	1.33011	1.35713	0.00336852
26	1.34953	1.35684	0.00325163
27	1.34932	1.35656	0.00314311
28	1.34562	1.35617	0.00305501
29	1.34522	1.35579	0.00297289
30	1.38152	1.35665	0.00299495
31	1.37777	1.35733	0.00297485
32	1.36336	1.35752	0.00288785
33	1.34307	1.35708	0.00283334
34	1.35713	1.35708	0.00275001
35	1.36171	1.35721	0.00267461
36	1.36021	1.3573	0.00260161
37	1.37376	1.35774	0.00256908
38	1.36639	1.35797	0.00251154
39	1.37281	1.35835	0.00247581
40	1.36949	1.35863	0.00242952
41	1.32324	1.35777	0.00251892
42	1.32106	1.35689	0.00260612
43	1.3368	1.35642	0.00258705
44	1.33216	1.35587	0.00258638
45	1.31205	1.3549	0.00270601
46	1.30919	1.35391	0.00282372
47	1.33301	1.35346	0.00279841
48	1.35028	1.35339	0.00274089
49	1.35298	1.35339	0.00268497
50	1.36525	1.35362	0.00264173
51	1.37067	1.35396	0.00261098
52	1.39049	1.35466	0.00265359
53	1.36949	1.35494	0.00261823
54	1.38129	1.35543	0.00261481
55	1.35646	1.35545	0.00256734
56	1.37093	1.35572	0.00253633
57	1.33949	1.35544	0.00250778
58	1.33762	1.35513	0.00248329
59	1.34182	1.35491	0.00245142
60	1.3413	1.35468	0.00242103
61	1.34686	1.35455	0.00238474
62	1.33899	1.3543	0.00235943
63	1.34171	1.3541	0.00233043
64	1.34877	1.35402	0.00229551
65	1.37691	1.35437	0.00228705
66	1.39942	1.35505	0.00235204
67	1.39137	1.35559	0.00237857
68	1.40787	1.35636	0.00246469
69	1.35985	1.35641	0.00242949
70	1.3864	1.35684	0.00243225
71	1.39626	1.3574	0.00246055
72	1.38778	1.35782	0.0024623
73	1.35731	1.35781	0.00242858
74	1.37559	1.35805	0.00240761
75	1.36778	1.35818	0.002379
