Block	Mean	Prog_mean	Error
1	0.0279989	0.0279989	0
2	0.0334729	0.0307359	0.00193538
3	0.0258255	0.0290991	0.00185764
4	0.0289959	0.0290733	0.00139341
5	0.0329158	0.0298418	0.00130961
6	0.0280324	0.0295402	0.00112553
7	0.0256517	0.0289847	0.00109327
8	0.0339335	0.0296033	0.001118
9	0.0339457	0.0300858	0.00109294
10	0.0350128	0.0305785	0.00108905
11	0.0368805	0.0311514	0.00113074
12	0.0353112	0.0314981	0.00108836
13	0.0439161	0.0324533	0.00136073
14	0.0426238	0.0331798	0.00144449
15	0.0375021	0.0334679	0.00137664
16	0.0293177	0.0332085	0.00131481
17	0.0211898	0.0325016	0.00141483
18	0.020415	0.0318301	0.00148706
19	0.0227485	0.0313521	0.00148362
20	0.0271604	0.0311425	0.00142417
21	0.0337163	0.0312651	0.00136161
22	0.0269459	0.0310688	0.0013138
23	0.0268956	0.0308873	0.00126914
24	0.0205394	0.0304561	0.00128742
25	0.0221016	0.030122	0.00127856
26	0.0229636	0.0298466	0.00125868
27	0.0192677	0.0294548	0.00127158
28	0.0226885	0.0292132	0.00124892
29	0.0259389	0.0291003	0.00121095
30	0.0392848	0.0294398	0.00121724
31	0.0406688	0.029802	0.00123069
32	0.0360808	0.0299982	0.00120777
33	0.0295526	0.0299847	0.00117125
34	0.035741	0.030154	0.00114897
35	0.0376979	0.0303695	0.00113618
36	0.0431559	0.0307247	0.0011588
37	0.0466238	0.0311544	0.00120452
38	0.0421503	0.0314438	0.00120708
39	0.0493647	0.0319033	0.00126056
40	0.04665	0.032272	0.00128183
41	0.0306058	0.0322313	0.00125121
42	0.034784	0.0322921	0.00122289
43	0.0397562	0.0324657	0.00120671
44	0.0402364	0.0326423	0.00119214
45	0.0335958	0.0326635	0.00116584
46	0.0299745	0.032605	0.00114196
47	0.0345999	0.0326475	0.00111845
48	0.0356331	0.0327097	0.00109687
49	0.0334955	0.0327257	0.00107461
50	0.0353351	0.0327779	0.00105438
51	0.0373081	0.0328667	0.00103744
52	0.0389137	0.032983	0.00102399
53	0.0383305	0.0330839	0.00100963
54	0.0392119	0.0331974	0.000997286
55	0.0344158	0.0332195	0.000979399
56	0.0384112	0.0333122	0.000966288
57	0.0320095	0.0332894	0.000949606
58	0.0323438	0.0332731	0.000933373
59	0.0394659	0.0333781	0.000923436
60	0.0315278	0.0333472	0.00090856
61	0.027869	0.0332574	0.000898094
62	0.0300697	0.033206	0.000885079
63	0.0292511	0.0331432	0.000873253
64	0.0252144	0.0330193	0.000868352
65	0.0303759	0.0329787	0.000855945
66	0.0371349	0.0330416	0.000845289
67	0.0342399	0.0330595	0.000832862
68	0.0395455	0.0331549	0.000826058
69	0.0296963	0.0331048	0.000815605
70	0.0341574	0.0331198	0.000804092
71	0.0341568	0.0331344	0.0007929
72	0.0323158	0.0331231	0.000781969
73	0.0239142	0.0329969	0.000781366
74	0.0299197	0.0329553	0.000771913
75	0.0296648	0.0329114	0.000762866
76	0.0269131	0.0328325	0.0007569
77	0.0226856	0.0327007	0.000758455
78	0.0250808	0.0326031	0.000754996
79	0.0294325	0.0325629	0.000746505
80	0.0267926	0.0324908	0.000740651
81	0.0252575	0.0324015	0.000736871
82	0.0255972	0.0323185	0.000732542
83	0.0243156	0.0322221	0.000730034
84	0.0226385	0.032108	0.000730204
85	0.0232327	0.0320036	0.00072904
86	0.0226183	0.0318945	0.000728685
87	0.0204416	0.0317628	0.000732104
88	0.024218	0.0316771	0.000728787
89	0.0292838	0.0316502	0.000721095
90	0.0285659	0.0316159	0.000713897
91	0.0269699	0.0315649	0.000707875
92	0.0302562	0.0315506	0.000700323
93	0.032723	0.0315632	0.000692906
94	0.0278789	0.031524	0.000686643
95	0.0215182	0.0314187	0.000687445
96	0.0208939	0.0313091	0.000688971
97	0.0268661	0.0312633	0.000683389
98	0.0213397	0.031162	0.000683877
99	0.0269721	0.0311197	0.000678277
100	0.0322479	0.031131	0.000671589
101	0.0394667	0.0312135	0.000669991
102	0.0391129	0.031291	0.000667884
103	0.0430827	0.0314054	0.00067114
