Block	Mean	Prog_mean	Error
1	1.65	1.65	0
2	1.65	1.65	0
3	1.65	1.65	0
4	1.65	1.65	0
5	1.65	1.65	1.3328e-08
6	1.65	1.65	0
7	1.65	1.65	7.96501e-09
8	1.65	1.65	0
9	1.65	1.65	0
10	1.65	1.65	6.664e-09
11	1.65	1.65	6.35388e-09
12	1.65	1.65	8.60319e-09
13	1.65	1.65	5.84472e-09
14	1.65	1.65	5.63211e-09
15	1.65	1.65	9.42432e-09
16	1.65	1.65	9.12506e-09
17	1.65	1.65	8.85261e-09
18	1.65	1.65	8.60319e-09
19	1.65	1.65	1.08104e-08
20	1.65	1.65	1.05367e-08
21	1.65	1.65	7.96501e-09
22	1.65	1.65	6.35388e-09
23	1.65	1.65	0
24	1.65	1.65	0
25	1.65	1.65	0
26	1.65	1.65	0
27	1.65	1.65	4.05558e-09
28	1.65	1.65	3.9825e-09
29	1.65	1.65	0
30	1.65	1.65	0
31	1.65	1.65	3.7849e-09
32	1.65	1.65	3.72529e-09
33	1.65	1.65	3.66841e-09
34	1.65	1.65	0
35	1.65	1.65	3.56206e-09
36	1.65	1.65	3.51224e-09
37	1.65	1.65	3.46445e-09
38	1.65	1.65	0
39	1.65	1.65	0
40	1.65	1.65	3.332e-09
41	1.65	1.65	5.70038e-09
42	1.65	1.65	6.5034e-09
43	1.65	1.65	7.87184e-09
44	1.65	1.65	7.78188e-09
45	1.65	1.65	8.31147e-09
46	1.65	1.65	8.22063e-09
47	1.65	1.65	9.72045e-09
48	1.65	1.65	9.12506e-09
49	1.65	1.65	9.03147e-09
50	1.65	1.65	9.88431e-09
51	1.65	1.65	9.78693e-09
52	1.65	1.65	1.05367e-08
53	1.65	1.65	1.04368e-08
54	1.65	1.65	1.03397e-08
55	1.65	1.65	1.10052e-08
56	1.65	1.65	1.09065e-08
57	1.65	1.65	1.08104e-08
58	1.65	1.65	1.07168e-08
59	1.65	1.65	1.13118e-08
60	1.65	1.65	1.15424e-08
61	1.65	1.65	1.14474e-08
62	1.65	1.65	1.16658e-08
63	1.65	1.65	1.15729e-08
64	1.65	1.65	1.14821e-08
65	1.65	1.65	1.13934e-08
66	1.65	1.65	1.13068e-08
67	1.65	1.65	1.1798e-08
68	1.65	1.65	1.17109e-08
69	1.65	1.65	1.16257e-08
70	1.65	1.65	1.1814e-08
71	1.65	1.65	1.17305e-08
72	1.65	1.65	1.19106e-08
73	1.65	1.65	1.18287e-08
74	1.65	1.65	1.17485e-08
75	1.65	1.65	1.16699e-08
76	1.65	1.65	1.15929e-08
77	1.65	1.65	1.20077e-08
78	1.65	1.65	1.14433e-08
79	1.65	1.65	1.13707e-08
80	1.65	1.65	1.12994e-08
81	1.65	1.65	1.12294e-08
82	1.65	1.65	1.16359e-08
83	1.65	1.65	1.15655e-08
84	1.65	1.65	1.14965e-08
85	1.65	1.65	1.14287e-08
86	1.65	1.65	1.1587e-08
87	1.65	1.65	1.15203e-08
88	1.65	1.65	1.14546e-08
89	1.65	1.65	1.13901e-08
90	1.65	1.65	1.17542e-08
91	1.65	1.65	1.16894e-08
92	1.65	1.65	1.16257e-08
93	1.65	1.65	1.15631e-08
94	1.65	1.65	1.15014e-08
95	1.65	1.65	1.12345e-08
96	1.65	1.65	1.11759e-08
97	1.65	1.65	1.09103e-08
98	1.65	1.65	1.08545e-08
99	1.65	1.65	1.07995e-08
100	1.65	1.65	1.05367e-08
101	1.65	1.65	1.04844e-08
102	1.65	1.65	1.02221e-08
103	1.65	1.65	1.01724e-08
104	1.65	1.65	9.9102e-09
105	1.65	1.65	9.86289e-09
106	1.65	1.65	9.60049e-09
107	1.65	1.65	9.55553e-09
108	1.65	1.65	9.72494e-09
109	1.65	1.65	9.68023e-09
110	1.65	1.65	9.42432e-09
111	1.65	1.65	9.38177e-09
112	1.65	1.65	9.12506e-09
113	1.65	1.65	9.08459e-09
114	1.65	1.65	8.82669e-09
115	1.65	1.65	8.78823e-09
116	1.65	1.65	8.75026e-09
117	1.65	1.65	8.49218e-09
118	1.65	1.65	8.45612e-09
119	1.65	1.65	8.19592e-09
120	1.65	1.65	8.1617e-09
121	1.65	1.65	8.56757e-09
122	1.65	1.65	8.31634e-09
123	1.65	1.65	8.28246e-09
124	1.65	1.65	8.02898e-09
125	1.65	1.65	7.9968e-09
126	1.65	1.65	7.96501e-09
127	1.65	1.65	7.71006e-09
128	1.65	1.65	7.67988e-09
129	1.65	1.65	7.65006e-09
130	1.65	1.65	7.39305e-09
131	1.65	1.65	7.36477e-09
132	1.65	1.65	7.33682e-09
133	1.65	1.65	7.07709e-09
134	1.65	1.65	7.05064e-09
135	1.65	1.65	7.02447e-09
136	1.65	1.65	6.76129e-09
137	1.65	1.65	6.97301e-09
138	1.65	1.65	6.9477e-09
139	1.65	1.65	6.92267e-09
140	1.65	1.65	6.664e-09
141	1.65	1.65	6.64033e-09
142	1.65	1.65	6.61691e-09
143	1.65	1.65	6.35388e-09
144	1.65	1.65	6.33178e-09
145	1.65	1.65	6.3099e-09
146	1.65	1.65	6.28826e-09
147	1.65	1.65	6.02098e-09
148	1.65	1.65	6.0006e-09
149	1.65	1.65	5.98043e-09
150	1.65	1.65	5.96046e-09
151	1.65	1.65	5.68778e-09
152	1.65	1.65	5.66904e-09
153	1.65	1.65	5.65049e-09
154	1.65	1.65	5.63211e-09
155	1.65	1.65	5.35266e-09
156	1.65	1.65	5.33547e-09
157	1.65	1.65	5.31845e-09
158	1.65	1.65	5.02953e-09
159	1.65	1.65	4.09366e-09
160	1.65	1.65	3.332e-09
161	1.65	1.65	3.32164e-09
162	1.65	1.65	2.86773e-09
163	1.65	1.65	1.6506e-09
164	1.65	1.65	0
165	1.65	1.65	2.32011e-09
166	1.65	1.65	2.83297e-09
167	1.65	1.65	3.64638e-09
168	1.65	1.65	3.63551e-09
169	1.65	1.65	4.28885e-09
170	1.65	1.65	4.84877e-09
171	1.65	1.65	4.83458e-09
172	1.65	1.65	5.32926e-09
173	1.65	1.65	5.31384e-09
174	1.65	1.65	5.76013e-09
175	1.65	1.65	6.16967e-09
176	1.65	1.65	6.15211e-09
177	1.65	1.65	6.5309e-09
178	1.65	1.65	6.70134e-09
179	1.65	1.65	6.86571e-09
180	1.65	1.65	7.19794e-09
181	1.65	1.65	7.17803e-09
182	1.65	1.65	7.49141e-09
183	1.65	1.65	7.47091e-09
184	1.65	1.65	7.61083e-09
185	1.65	1.65	8.05065e-09
186	1.65	1.65	8.02898e-09
187	1.65	1.65	8.29876e-09
188	1.65	1.65	8.27666e-09
189	1.65	1.65	8.39585e-09
190	1.65	1.65	8.23298e-09
191	1.65	1.65	8.48984e-09
192	1.65	1.65	8.33e-09
193	1.65	1.65	8.58087e-09
194	1.65	1.65	8.42394e-09
195	1.65	1.65	8.53675e-09
196	1.65	1.65	8.38085e-09
197	1.65	1.65	8.625e-09
198	1.65	1.65	8.47184e-09
199	1.65	1.65	8.7106e-09
200	1.65	1.65	8.56007e-09
201	1.65	1.65	8.66715e-09
202	1.65	1.65	8.51758e-09
203	1.65	1.65	8.75026e-09
204	1.65	1.65	8.60319e-09
205	1.65	1.65	8.70747e-09
206	1.65	1.65	8.56132e-09
207	1.65	1.65	8.54062e-09
208	1.65	1.65	8.76707e-09
209	1.65	1.65	8.62375e-09
210	1.65	1.65	8.84558e-09
211	1.65	1.65	8.70453e-09
212	1.65	1.65	8.80376e-09
213	1.65	1.65	8.78307e-09
214	1.65	1.65	8.6433e-09
215	1.65	1.65	8.85947e-09
216	1.65	1.65	8.72186e-09
217	1.65	1.65	8.93383e-09
218	1.65	1.65	8.91331e-09
219	1.65	1.65	8.77819e-09
220	1.65	1.65	8.87271e-09
221	1.65	1.65	8.73838e-09
222	1.65	1.65	8.94517e-09
223	1.65	1.65	8.92509e-09
224	1.65	1.65	8.79313e-09
225	1.65	1.65	8.99572e-09
226	1.65	1.65	8.97579e-09
227	1.65	1.65	8.956e-09
228	1.65	1.65	8.93634e-09
229	1.65	1.65	8.80739e-09
230	1.65	1.65	9.00525e-09
231	1.65	1.65	8.98574e-09
232	1.65	1.65	8.85897e-09
233	1.65	1.65	9.05298e-09
234	1.65	1.65	9.03361e-09
235	1.65	1.65	8.90894e-09
236	1.65	1.65	8.99525e-09
237	1.65	1.65	8.97625e-09
238	1.65	1.65	8.85261e-09
239	1.65	1.65	9.04196e-09
240	1.65	1.65	9.0231e-09
241	1.65	1.65	8.90145e-09
242	1.65	1.65	9.08728e-09
243	1.65	1.65	9.06856e-09
244	1.65	1.65	9.04996e-09
245	1.65	1.65	9.03147e-09
246	1.65	1.65	9.01309e-09
247	1.65	1.65	8.99483e-09
248	1.65	1.65	9.07587e-09
249	1.65	1.65	9.05763e-09
250	1.65	1.65	9.03949e-09
251	1.65	1.65	9.119e-09
252	1.65	1.65	9.10089e-09
253	1.65	1.65	9.08288e-09
254	1.65	1.65	9.06499e-09
255	1.65	1.65	9.04719e-09
256	1.65	1.65	9.02951e-09
257	1.65	1.65	9.01192e-09
258	1.65	1.65	9.08962e-09
259	1.65	1.65	9.07206e-09
260	1.65	1.65	9.0546e-09
261	1.65	1.65	9.03723e-09
262	1.65	1.65	9.01997e-09
263	1.65	1.65	9.00281e-09
264	1.65	1.65	8.98574e-09
265	1.65	1.65	9.15371e-09
266	1.65	1.65	9.04466e-09
267	1.65	1.65	9.02771e-09
268	1.65	1.65	9.01085e-09
269	1.65	1.65	9.1758e-09
270	1.65	1.65	9.06856e-09
271	1.65	1.65	9.05181e-09
272	1.65	1.65	9.03516e-09
273	1.65	1.65	9.10833e-09
274	1.65	1.65	9.00212e-09
275	1.65	1.65	8.98574e-09
276	1.65	1.65	8.96945e-09
277	1.65	1.65	9.13055e-09
278	1.65	1.65	9.02605e-09
279	1.65	1.65	9.00986e-09
280	1.65	1.65	8.99376e-09
281	1.65	1.65	9.15208e-09
282	1.65	1.65	9.04924e-09
283	1.65	1.65	9.03324e-09
284	1.65	1.65	9.01732e-09
285	1.65	1.65	9.08763e-09
286	1.65	1.65	8.98574e-09
287	1.65	1.65	8.97007e-09
288	1.65	1.65	8.95448e-09
289	1.65	1.65	8.93898e-09
290	1.65	1.65	9.09354e-09
291	1.65	1.65	8.99345e-09
292	1.65	1.65	8.97804e-09
293	1.65	1.65	8.96271e-09
294	1.65	1.65	9.11471e-09
295	1.65	1.65	9.01615e-09
296	1.65	1.65	9.0009e-09
297	1.65	1.65	8.98574e-09
298	1.65	1.65	8.97065e-09
299	1.65	1.65	9.03818e-09
300	1.65	1.65	8.9407e-09
301	1.65	1.65	8.92583e-09
302	1.65	1.65	8.91104e-09
303	1.65	1.65	8.89633e-09
304	1.65	1.65	9.04466e-09
305	1.65	1.65	8.94884e-09
306	1.65	1.65	8.9342e-09
307	1.65	1.65	8.91964e-09
308	1.65	1.65	8.90515e-09
309	1.65	1.65	9.05093e-09
310	1.65	1.65	8.95671e-09
311	1.65	1.65	8.94229e-09
312	1.65	1.65	8.92795e-09
313	1.65	1.65	8.91368e-09
314	1.65	1.65	8.97858e-09
315	1.65	1.65	8.96432e-09
316	1.65	1.65	8.87127e-09
317	1.65	1.65	8.85726e-09
318	1.65	1.65	8.84332e-09
319	1.65	1.65	8.98574e-09
320	1.65	1.65	8.97169e-09
321	1.65	1.65	8.88014e-09
322	1.65	1.65	8.86634e-09
323	1.65	1.65	8.85261e-09
324	1.65	1.65	8.99267e-09
325	1.65	1.65	8.97882e-09
326	1.65	1.65	8.96504e-09
327	1.65	1.65	8.87514e-09
328	1.65	1.65	8.8616e-09
329	1.65	1.65	8.84812e-09
330	1.65	1.65	8.91054e-09
331	1.65	1.65	8.89707e-09
332	1.65	1.65	8.88366e-09
333	1.65	1.65	8.79482e-09
334	1.65	1.65	8.78164e-09
335	1.65	1.65	8.76853e-09
336	1.65	1.65	8.90515e-09
337	1.65	1.65	8.89192e-09
338	1.65	1.65	8.87876e-09
339	1.65	1.65	8.79147e-09
340	1.65	1.65	8.77853e-09
341	1.65	1.65	8.76565e-09
342	1.65	1.65	8.89994e-09
343	1.65	1.65	8.88695e-09
344	1.65	1.65	8.87403e-09
345	1.65	1.65	8.78823e-09
346	1.65	1.65	8.77552e-09
347	1.65	1.65	8.76286e-09
348	1.65	1.65	8.82288e-09
349	1.65	1.65	8.81023e-09
350	1.65	1.65	8.79764e-09
351	1.65	1.65	8.7851e-09
352	1.65	1.65	8.7004e-09
353	1.65	1.65	8.68807e-09
354	1.65	1.65	8.67579e-09
355	1.65	1.65	8.80677e-09
356	1.65	1.65	8.79439e-09
357	1.65	1.65	8.78207e-09
358	1.65	1.65	8.69878e-09
359	1.65	1.65	8.68666e-09
360	1.65	1.65	8.67459e-09
361	1.65	1.65	8.73328e-09
362	1.65	1.65	8.72121e-09
363	1.65	1.65	8.70919e-09
364	1.65	1.65	8.69722e-09
365	1.65	1.65	8.61497e-09
366	1.65	1.65	8.60319e-09
367	1.65	1.65	8.59146e-09
368	1.65	1.65	8.7193e-09
369	1.65	1.65	8.70747e-09
370	1.65	1.65	8.6957e-09
371	1.65	1.65	8.68397e-09
372	1.65	1.65	8.67229e-09
373	1.65	1.65	8.59165e-09
374	1.65	1.65	8.58016e-09
375	1.65	1.65	8.56871e-09
376	1.65	1.65	8.69423e-09
377	1.65	1.65	8.75026e-09
378	1.65	1.65	8.73868e-09
379	1.65	1.65	8.79402e-09
380	1.65	1.65	8.78244e-09
381	1.65	1.65	8.83711e-09
382	1.65	1.65	8.82553e-09
383	1.65	1.65	8.94459e-09
384	1.65	1.65	8.93293e-09
385	1.65	1.65	8.98574e-09
386	1.65	1.65	8.97409e-09
387	1.65	1.65	9.02628e-09
388	1.65	1.65	9.01464e-09
389	1.65	1.65	9.06623e-09
390	1.65	1.65	9.0546e-09
391	1.65	1.65	9.22948e-09
392	1.65	1.65	9.2177e-09
393	1.65	1.65	9.26714e-09
394	1.65	1.65	9.25537e-09
395	1.65	1.65	9.30426e-09
396	1.65	1.65	9.29251e-09
397	1.65	1.65	9.34087e-09
398	1.65	1.65	9.32912e-09
399	1.65	1.65	9.49492e-09
400	1.65	1.65	9.48304e-09
401	1.65	1.65	9.52949e-09
402	1.65	1.65	9.51763e-09
403	1.65	1.65	9.56361e-09
404	1.65	1.65	9.55176e-09
405	1.65	1.65	9.59726e-09
406	1.65	1.65	9.58543e-09
407	1.65	1.65	9.63047e-09
408	1.65	1.65	9.67507e-09
409	1.65	1.65	9.71926e-09
410	1.65	1.65	9.7074e-09
411	1.65	1.65	9.75114e-09
412	1.65	1.65	9.7393e-09
413	1.65	1.65	9.78262e-09
414	1.65	1.65	9.7708e-09
415	1.65	1.65	9.75902e-09
416	1.65	1.65	9.80189e-09
417	1.65	1.65	9.89831e-09
418	1.65	1.65	9.94005e-09
419	1.65	1.65	9.92818e-09
420	1.65	1.65	9.96952e-09
421	1.65	1.65	9.95768e-09
422	1.65	1.65	9.99863e-09
423	1.65	1.65	9.98681e-09
424	1.65	1.65	9.97502e-09
425	1.65	1.65	1.00156e-08
426	1.65	1.65	1.01075e-08
427	1.65	1.65	1.0147e-08
428	1.65	1.65	1.01352e-08
429	1.65	1.65	1.01743e-08
430	1.65	1.65	1.01625e-08
431	1.65	1.65	1.01507e-08
432	1.65	1.65	1.01895e-08
433	1.65	1.65	1.01778e-08
434	1.65	1.65	1.02162e-08
