Block	Mean	Prog_mean	Error
1	-5.57381	-5.57381	0
2	-5.52957	-5.55169	0.0156421
3	-5.52178	-5.54172	0.0132281
4	-5.54675	-5.54298	0.0099807
5	-5.50665	-5.53571	0.0102945
6	-5.45943	-5.523	0.0144322
7	-5.41057	-5.50694	0.0193428
8	-5.43845	-5.49838	0.0187239
9	-5.37022	-5.48414	0.021383
10	-5.39376	-5.4751	0.0210681
11	-5.34046	-5.46286	0.0224281
12	-5.4437	-5.46126	0.0206159
13	-5.44464	-5.45998	0.0190697
14	-5.514	-5.46384	0.0180937
15	-5.4754	-5.46461	0.0169038
16	-5.36795	-5.45857	0.0168924
17	-5.35392	-5.45242	0.0169834
18	-5.43661	-5.45154	0.0160625
19	-5.5471	-5.45657	0.0159852
20	-5.57047	-5.46226	0.0161687
21	-5.51641	-5.46484	0.015603
22	-5.52459	-5.46756	0.0151282
23	-5.57847	-5.47238	0.0152196
24	-5.53311	-5.47491	0.0147944
25	-5.56104	-5.47835	0.0145982
26	-5.40957	-5.47571	0.0142745
27	-5.45136	-5.47481	0.0137742
28	-5.47359	-5.47476	0.0132824
29	-5.48781	-5.47521	0.012832
30	-5.424	-5.47351	0.0125173
31	-5.42432	-5.47192	0.0122136
32	-5.39097	-5.46939	0.0120911
33	-5.4602	-5.46911	0.0117279
34	-5.36865	-5.46616	0.0117493
35	-5.39384	-5.46409	0.0115938
36	-5.42166	-5.46291	0.0113315
37	-5.43504	-5.46216	0.0110503
38	-5.39344	-5.46035	0.0109065
39	-5.41582	-5.45921	0.0106864
40	-5.43467	-5.4586	0.0104368
41	-5.48737	-5.4593	0.0102059
42	-5.4999	-5.46026	0.0100085
43	-5.53119	-5.46191	0.00991076
44	-5.54961	-5.46391	0.00988388
45	-5.56148	-5.46607	0.00989924
46	-5.52967	-5.46746	0.00978009
47	-5.49846	-5.46812	0.00959422
48	-5.55456	-5.46992	0.00956188
49	-5.54664	-5.47148	0.00949408
50	-5.52765	-5.47261	0.00937041
51	-5.52012	-5.47354	0.00923288
52	-5.59025	-5.47578	0.00932416
53	-5.62391	-5.47858	0.0095579
54	-5.52614	-5.47946	0.0094214
55	-5.49688	-5.47978	0.00925542
56	-5.4287	-5.47886	0.00913497
57	-5.4437	-5.47825	0.00899551
58	-5.34773	-5.476	0.00911755
59	-5.52	-5.47674	0.00899347
60	-5.44661	-5.47624	0.00885759
61	-5.48125	-5.47632	0.00871276
62	-5.53244	-5.47723	0.00861913
63	-5.45154	-5.47682	0.00849195
64	-5.48695	-5.47698	0.00836074
65	-5.38174	-5.47551	0.00835951
66	-5.30979	-5.473	0.00860169
67	-5.41356	-5.47211	0.00851893
68	-5.46157	-5.47196	0.00839506
69	-5.47887	-5.47206	0.00827399
70	-5.4647	-5.47195	0.00815646
71	-5.41553	-5.47116	0.0080802
72	-5.4446	-5.47079	0.00797639
73	-5.42032	-5.4701	0.00789703
74	-5.39762	-5.46912	0.00785082
75	-5.53751	-5.47003	0.00779892
76	-5.52512	-5.47076	0.00772992
77	-5.47668	-5.47083	0.00762991
78	-5.52232	-5.47149	0.00756059
79	-5.56936	-5.47273	0.00756569
80	-5.44501	-5.47239	0.00747905
81	-5.49189	-5.47263	0.00739059
82	-5.4038	-5.47179	0.00734797
83	-5.29678	-5.46968	0.0075559
84	-5.37896	-5.4686	0.00754273
85	-5.36252	-5.46735	0.00755653
86	-5.44355	-5.46707	0.00747373
87	-5.42399	-5.46658	0.00740422
88	-5.51707	-5.46715	0.00734227
89	-5.46352	-5.46711	0.00725989
90	-5.49463	-5.46742	0.00718566
91	-5.49348	-5.4677	0.0071124
92	-5.48282	-5.46787	0.00703699
93	-5.60321	-5.46932	0.00711022
94	-5.55989	-5.47029	0.00709956
95	-5.48717	-5.47046	0.00702705
96	-5.52405	-5.47102	0.00697598
97	-5.59069	-5.47226	0.0070123
98	-5.73215	-5.47491	0.00742533
99	-5.60284	-5.4762	0.00746192
100	-5.53591	-5.4768	0.00741115
101	-5.62401	-5.47826	0.00747974
