Block	Mean	Prog_mean	Error
1	-3.49546	-3.49546	0
2	-3.45122	-3.47334	0.0156421
3	-3.44344	-3.46337	0.0132281
4	-3.4684	-3.46463	0.0099807
5	-3.42831	-3.45736	0.0102945
6	-3.38108	-3.44465	0.0144322
7	-3.33222	-3.42859	0.0193428
8	-3.3601	-3.42003	0.0187239
9	-3.29188	-3.40579	0.021383
10	-3.31542	-3.39675	0.0210681
11	-3.26212	-3.38451	0.0224281
12	-3.36535	-3.38292	0.0206159
13	-3.36629	-3.38164	0.0190697
14	-3.43566	-3.3855	0.0180937
15	-3.39705	-3.38627	0.0169038
16	-3.28961	-3.38022	0.0168924
17	-3.27558	-3.37407	0.0169834
18	-3.35826	-3.37319	0.0160625
19	-3.46875	-3.37822	0.0159852
20	-3.49213	-3.38392	0.0161687
21	-3.43806	-3.38649	0.015603
22	-3.44624	-3.38921	0.0151282
23	-3.50012	-3.39403	0.0152196
24	-3.45477	-3.39656	0.0147944
25	-3.48269	-3.40001	0.0145982
26	-3.33123	-3.39736	0.0142745
27	-3.37302	-3.39646	0.0137742
28	-3.39525	-3.39642	0.0132824
29	-3.40946	-3.39687	0.012832
30	-3.34565	-3.39516	0.0125173
31	-3.34597	-3.39357	0.0122136
32	-3.31263	-3.39104	0.0120911
33	-3.38185	-3.39077	0.0117279
34	-3.2903	-3.38781	0.0117493
35	-3.3155	-3.38574	0.0115938
36	-3.34332	-3.38457	0.0113315
37	-3.3567	-3.38381	0.0110503
38	-3.31509	-3.382	0.0109065
39	-3.33747	-3.38086	0.0106864
40	-3.35632	-3.38025	0.0104368
41	-3.40902	-3.38095	0.0102059
42	-3.42155	-3.38192	0.0100085
43	-3.45284	-3.38357	0.00991076
44	-3.47126	-3.38556	0.00988388
45	-3.48314	-3.38773	0.00989924
46	-3.45132	-3.38911	0.00978009
47	-3.42011	-3.38977	0.00959422
48	-3.47622	-3.39157	0.00956188
49	-3.46829	-3.39314	0.00949408
50	-3.4493	-3.39426	0.00937041
51	-3.44178	-3.39519	0.00923288
52	-3.51191	-3.39744	0.00932416
53	-3.54556	-3.40023	0.0095579
54	-3.44779	-3.40111	0.0094214
55	-3.41854	-3.40143	0.00925542
56	-3.35036	-3.40052	0.00913497
57	-3.36535	-3.3999	0.00899551
58	-3.26938	-3.39765	0.00911755
59	-3.44165	-3.3984	0.00899347
60	-3.36826	-3.39789	0.00885759
61	-3.40291	-3.39798	0.00871276
62	-3.4541	-3.39888	0.00861913
63	-3.3732	-3.39847	0.00849195
64	-3.40861	-3.39863	0.00836074
65	-3.30339	-3.39717	0.00835951
66	-3.23145	-3.39465	0.00860169
67	-3.33522	-3.39377	0.00851893
68	-3.38323	-3.39361	0.00839506
69	-3.40053	-3.39371	0.00827399
70	-3.38635	-3.39361	0.00815646
71	-3.33718	-3.39281	0.0080802
72	-3.36625	-3.39244	0.00797639
73	-3.34198	-3.39175	0.00789703
74	-3.31927	-3.39077	0.00785082
75	-3.45916	-3.39169	0.00779892
76	-3.44678	-3.39241	0.00772992
77	-3.39833	-3.39249	0.00762991
78	-3.44397	-3.39315	0.00756059
79	-3.49101	-3.39439	0.00756569
