Block	Mean	Prog_mean	Error
1	-31.2974	-31.2974	0
2	-31.0984	-31.1979	0.0703374
3	-31.0942	-31.1633	0.0547263
4	-31.1928	-31.1707	0.0415386
5	-30.9187	-31.1203	0.0560045
6	-30.674	-31.0459	0.0823992
7	-30.5085	-30.9691	0.100203
8	-30.574	-30.9197	0.0991065
9	-30.2181	-30.8418	0.114734
10	-30.308	-30.7884	0.115008
11	-30.0312	-30.7196	0.123447
12	-30.4018	-30.6931	0.115965
13	-30.4382	-30.6735	0.108689
14	-30.7704	-30.6804	0.101146
15	-30.7502	-30.685	0.0945097
16	-30.2447	-30.6575	0.0925241
17	-30.2016	-30.6307	0.0908851
18	-30.5722	-30.6275	0.0858939
19	-30.9839	-30.6462	0.0833964
20	-31.0223	-30.665	0.0813193
21	-30.7623	-30.6697	0.0775787
22	-30.7962	-30.6754	0.0742654
23	-30.9307	-30.6865	0.0718613
24	-30.8088	-30.6916	0.0690474
25	-30.9142	-30.7005	0.066857
26	-30.2325	-30.6825	0.0666649
27	-30.4688	-30.6746	0.0646639
28	-30.6446	-30.6735	0.0623634
29	-30.6513	-30.6728	0.0602176
30	-30.4351	-30.6648	0.0587292
31	-30.4718	-30.6586	0.0571637
32	-30.4088	-30.6508	0.0559076
33	-30.6728	-30.6515	0.0542175
34	-30.2538	-30.6398	0.0538694
35	-30.4031	-30.633	0.052753
36	-30.3723	-30.6258	0.0517822
37	-30.411	-30.62	0.0507071
38	-30.2215	-30.6095	0.0504454
39	-30.2131	-30.5993	0.0501653
40	-30.3725	-30.5936	0.0492306
41	-30.6383	-30.5947	0.0480419
42	-30.7071	-30.5974	0.0469725
43	-30.9009	-30.6045	0.0464074
44	-30.8913	-30.611	0.0458083
45	-30.8863	-30.6171	0.0451971
46	-30.7016	-30.6189	0.0442519
47	-30.6194	-30.6189	0.0433103
48	-30.9047	-30.6249	0.0428153
49	-30.9383	-30.6313	0.0424166
50	-30.9175	-30.637	0.0419527
51	-30.9399	-30.643	0.0415483
52	-31.2394	-30.6544	0.0423027
53	-31.3999	-30.6685	0.0437803
54	-30.9062	-30.6729	0.0431904
55	-30.8763	-30.6766	0.0425631
