Block	Mean	Prog_mean	Error
1	-7.57553	-7.57553	0
2	-7.5317	-7.55361	0.015495
3	-7.45179	-7.51967	0.0295757
4	-7.54709	-7.52653	0.0229622
5	-7.51048	-7.52332	0.0185927
6	-7.48163	-7.51637	0.0167419
7	-7.49578	-7.51343	0.0146062
8	-7.52379	-7.51472	0.0128377
9	-7.56674	-7.5205	0.0126455
10	-7.58566	-7.52702	0.0129515
11	-7.67134	-7.54014	0.0171789
12	-7.60928	-7.5459	0.0166857
13	-7.63833	-7.55301	0.0168491
14	-7.60452	-7.55669	0.0160422
15	-7.57817	-7.55812	0.0150364
16	-7.59149	-7.56021	0.0142405
17	-7.67708	-7.56708	0.0149707
18	-7.6393	-7.57109	0.0146668
19	-7.61298	-7.5733	0.0140596
20	-7.57247	-7.57326	0.0133567
21	-7.64971	-7.5769	0.0132075
22	-7.6148	-7.57862	0.012719
23	-7.66205	-7.58225	0.0126727
24	-7.60324	-7.58312	0.0121749
25	-7.60874	-7.58415	0.0117309
26	-7.62017	-7.58553	0.0113612
27	-7.72381	-7.59065	0.0120395
28	-7.68469	-7.59401	0.0120688
29	-7.61936	-7.59489	0.0116842
30	-7.64776	-7.59665	0.0114269
31	-7.66458	-7.59884	0.0112664
32	-7.59775	-7.59881	0.0109144
33	-7.56943	-7.59792	0.0106199
34	-7.52651	-7.59582	0.0105132
35	-7.55523	-7.59466	0.0102765
36	-7.55757	-7.59363	0.0100426
37	-7.51542	-7.59151	0.00999113
38	-7.48691	-7.58876	0.0101003
39	-7.46011	-7.58546	0.0103659
40	-7.53505	-7.5842	0.0101831
41	-7.56057	-7.58362	0.00995106
42	-7.56007	-7.58306	0.00972992
43	-7.63554	-7.58428	0.00957988
44	-7.60485	-7.58475	0.00937355
45	-7.611	-7.58533	0.00918338
46	-7.61784	-7.58604	0.00901089
47	-7.6275	-7.58692	0.00886223
48	-7.58335	-7.58685	0.00867791
49	-7.51167	-7.58531	0.00863537
50	-7.52446	-7.5841	0.00854799
51	-7.55161	-7.58346	0.00840409
52	-7.64491	-7.58464	0.00832515
53	-7.65305	-7.58593	0.0082675
54	-7.64027	-7.58694	0.00817542
55	-7.62342	-7.5876	0.00805364
56	-7.64239	-7.58858	0.00796902
57	-7.61508	-7.58905	0.00784276
58	-7.6311	-7.58977	0.00774099
59	-7.60307	-7.59	0.00761307
60	-7.61607	-7.59043	0.00749858
61	-7.56438	-7.59	0.0073878
62	-7.59629	-7.59011	0.00726934
63	-7.43249	-7.5876	0.00757225
64	-7.52664	-7.58665	0.0075136
65	-7.4795	-7.585	0.00757667
66	-7.47747	-7.58337	0.00763506
67	-7.57835	-7.5833	0.00752147
68	-7.5916	-7.58342	0.00741185
69	-7.59368	-7.58357	0.00730592
70	-7.52367	-7.58271	0.00725149
71	-7.42744	-7.58053	0.00747185
72	-7.48686	-7.57923	0.00748046
73	-7.53469	-7.57862	0.00740283
74	-7.53527	-7.57803	0.00732593
75	-7.64782	-7.57896	0.00728711
76	-7.63958	-7.57976	0.00723475
77	-7.58885	-7.57988	0.00714176
78	-7.5529	-7.57953	0.00705856
79	-7.54834	-7.57914	0.00698025
80	-7.54628	-7.57872	0.00690507
81	-7.5475	-7.57834	0.00683057
82	-7.36675	-7.57576	0.00721821
83	-7.39632	-7.5736	0.00744798
84	-7.43423	-7.57194	0.00754184
85	-7.51378	-7.57125	0.00748409
86	-7.52662	-7.57073	0.00741504
87	-7.4769	-7.56966	0.00740784
88	-7.54433	-7.56937	0.00732925
89	-7.48819	-7.56846	0.00730344
90	-7.52659	-7.56799	0.00723709
91	-7.59484	-7.56829	0.00716357
92	-7.63186	-7.56898	0.00711895
93	-7.55302	-7.56881	0.00704447
94	-7.56543	-7.56877	0.00696962
95	-7.49528	-7.568	0.00693905
96	-7.49755	-7.56726	0.00690547
97	-7.5188	-7.56676	0.00685233
98	-7.57008	-7.5668	0.00678249
99	-7.46579	-7.56578	0.00679029
100	-7.45016	-7.56462	0.00682009
101	-7.47504	-7.56373	0.00680999
102	-7.55112	-7.56361	0.00674435
103	-7.53567	-7.56334	0.00668432
104	-7.56677	-7.56337	0.00662013
105	-7.48526	-7.56263	0.00659875
106	-7.42228	-7.5613	0.00666802
107	-7.58517	-7.56153	0.00660943
108	-7.57421	-7.56164	0.00654927
109	-7.62832	-7.56226	0.00651769
110	-7.59053	-7.56251	0.00646351
111	-7.63368	-7.56315	0.006437
112	-7.58843	-7.56338	0.00638348
113	-7.57999	-7.56353	0.00632868
114	-7.55109	-7.56342	0.00627411
115	-7.51411	-7.56299	0.00623418
116	-7.49762	-7.56242	0.00620586
117	-7.4444	-7.56142	0.00623427
118	-7.5065	-7.56095	0.00619878
119	-7.51716	-7.56058	0.00615761
120	-7.56342	-7.56061	0.00610634
121	-7.57165	-7.5607	0.00605655
122	-7.52765	-7.56043	0.00601296
123	-7.4859	-7.55982	0.00599453
124	-7.50232	-7.55936	0.00596409
125	-7.52398	-7.55907	0.00592309
126	-7.60036	-7.5594	0.00588514
127	-7.60132	-7.55973	0.00584805
128	-7.57813	-7.55988	0.00580413
129	-7.59362	-7.56014	0.00576503
130	-7.51574	-7.5598	0.00573079
131	-7.47292	-7.55913	0.00572528
132	-7.49314	-7.55863	0.00570369
133	-7.49399	-7.55815	0.00568148
134	-7.43646	-7.55724	0.00571119
135	-7.3726	-7.55587	0.00583036
136	-7.36473	-7.55447	0.00595448
137	-7.43194	-7.55357	0.0059778
138	-7.4518	-7.55283	0.0059798
139	-7.49755	-7.55244	0.00594999
140	-7.37258	-7.55115	0.00604458
141	-7.40636	-7.55012	0.00608832
142	-7.42916	-7.54927	0.00610474
143	-7.5246	-7.5491	0.00606449
144	-7.58178	-7.54933	0.00602662
145	-7.67761	-7.55021	0.00604965
146	-7.68287	-7.55112	0.00607606
147	-7.7234	-7.55229	0.00614672
148	-7.71345	-7.55338	0.00620088
149	-7.74168	-7.55464	0.00628673
150	-7.65669	-7.55532	0.00628152
151	-7.62133	-7.55576	0.00625511
152	-7.64466	-7.55635	0.00624124
153	-7.59023	-7.55657	0.00620438
154	-7.53736	-7.55644	0.00616534
155	-7.55552	-7.55644	0.00612557
156	-7.54148	-7.55634	0.00608705
157	-7.53693	-7.55622	0.00604954
158	-7.51572	-7.55596	0.00601668
159	-7.56259	-7.556	0.00597898
160	-7.50762	-7.5557	0.00594925
161	-7.60804	-7.55603	0.00592118
162	-7.48974	-7.55562	0.00589875
163	-7.52058	-7.5554	0.00586647
164	-7.60025	-7.55568	0.00583707
165	-7.61978	-7.55606	0.00581461
166	-7.58075	-7.55621	0.00578149
167	-7.63893	-7.55671	0.00576805
168	-7.66009	-7.55732	0.00576644
169	-7.65952	-7.55793	0.00576394
170	-7.62974	-7.55835	0.00574549
171	-7.61121	-7.55866	0.0057202
172	-7.66211	-7.55926	0.00571847
173	-7.66059	-7.55985	0.00571533
174	-7.56728	-7.55989	0.00568265
175	-7.65148	-7.56041	0.00567422
176	-7.61191	-7.56071	0.00564952
177	-7.64749	-7.5612	0.00563884
178	-7.61834	-7.56152	0.0056163
179	-7.61663	-7.56182	0.00559335
180	-7.67423	-7.56245	0.00559703
181	-7.68735	-7.56314	0.00560849
182	-7.66867	-7.56372	0.00560757
183	-7.67777	-7.56434	0.00561145
184	-7.72299	-7.5652	0.0056468
185	-7.65992	-7.56572	0.00563944
186	-7.55678	-7.56567	0.00560933
187	-7.5801	-7.56575	0.00557986
188	-7.57049	-7.56577	0.00555024
189	-7.66658	-7.5663	0.00554644
190	-7.5918	-7.56644	0.00551887
191	-7.64554	-7.56685	0.0055055
192	-7.75053	-7.56781	0.00555931
193	-7.70379	-7.56851	0.00557498
194	-7.70235	-7.5692	0.00558876
195	-7.68359	-7.56979	0.0055908
196	-7.71751	-7.57054	0.00561285
197	-7.72393	-7.57132	0.00563811
198	-7.79727	-7.57246	0.00572395
199	-7.71509	-7.57318	0.00573988
200	-7.69247	-7.57378	0.00574209
201	-7.61977	-7.57401	0.00571808
202	-7.59986	-7.57413	0.0056912
203	-7.58705	-7.5742	0.00566352
204	-7.64849	-7.57456	0.00564746
205	-7.59989	-7.57469	0.00562126
206	-7.61486	-7.57488	0.00559735
207	-7.57621	-7.57489	0.00557032
208	-7.60227	-7.57502	0.00554509
209	-7.49788	-7.57465	0.00553083
210	-7.46184	-7.57411	0.00553052
211	-7.51954	-7.57385	0.00551035
212	-7.51249	-7.57356	0.00549196
213	-7.55192	-7.57346	0.00546711
214	-7.57873	-7.57349	0.00544162
215	-7.59229	-7.57357	0.00541701
216	-7.6085	-7.57374	0.00539435
217	-7.5194	-7.57349	0.00537529
218	-7.49863	-7.57314	0.00536159
219	-7.53809	-7.57298	0.0053395
220	-7.59579	-7.57309	0.00531623
221	-7.57121	-7.57308	0.00529219
222	-7.50572	-7.57277	0.00527704
223	-7.5021	-7.57246	0.00526288
224	-7.48351	-7.57206	0.00525435
225	-7.45746	-7.57155	0.00525562
226	-7.39506	-7.57077	0.00529007
227	-7.45007	-7.57024	0.00529342
228	-7.49312	-7.5699	0.00528099
229	-7.44642	-7.56936	0.00528539
230	-7.44841	-7.56883	0.00528851
231	-7.38314	-7.56803	0.00532636
232	-7.35767	-7.56712	0.00538003
233	-7.39363	-7.56638	0.00540822
234	-7.43484	-7.56582	0.00541424
235	-7.51569	-7.5656	0.0053954
236	-7.53636	-7.56548	0.00537397
237	-7.52862	-7.56532	0.00535354
238	-7.55067	-7.56526	0.0053314
239	-7.47979	-7.56491	0.00532107
240	-7.39719	-7.56421	0.00534459
241	-7.39436	-7.5635	0.00536868
242	-7.40077	-7.56283	0.00538845
243	-7.32287	-7.56184	0.005456
244	-7.39848	-7.56117	0.00547457
245	-7.41391	-7.56057	0.00548512
246	-7.42113	-7.56	0.00549204
247	-7.39339	-7.55933	0.00551107
248	-7.41098	-7.55873	0.00552122
249	-7.4905	-7.55846	0.00550584
250	-7.55981	-7.55846	0.00548382
251	-7.61381	-7.55868	0.0054664
252	-7.62613	-7.55895	0.00545126
253	-7.5647	-7.55897	0.00542976
254	-7.61585	-7.5592	0.005413
255	-7.66777	-7.55962	0.00540849
256	-7.7074	-7.5602	0.00541808
257	-7.67843	-7.56066	0.0054165
258	-7.65674	-7.56103	0.00540829
259	-7.59919	-7.56118	0.00538941
260	-7.55475	-7.56116	0.00536874
261	-7.55052	-7.56112	0.00534833
262	-7.66522	-7.56151	0.00534265
263	-7.6527	-7.56186	0.00533358
264	-7.541	-7.56178	0.00531396
265	-7.56376	-7.56179	0.00529391
266	-7.55154	-7.56175	0.00527415
267	-7.55243	-7.56171	0.00525451
268	-7.62825	-7.56196	0.00524077
269	-7.59593	-7.56209	0.00522281
270	-7.57628	-7.56214	0.00520373
271	-7.61409	-7.56233	0.00518805
272	-7.58232	-7.56241	0.0051695
273	-7.63408	-7.56267	0.00515723
274	-7.64821	-7.56298	0.00514785
