Block	Mean	Prog_mean	Error
1	-5.51262	-5.51262	0
2	-5.46879	-5.49071	0.015495
3	-5.38888	-5.45676	0.0295757
4	-5.48418	-5.46362	0.0229622
5	-5.44757	-5.46041	0.0185927
6	-5.41872	-5.45346	0.0167419
7	-5.43287	-5.45052	0.0146062
8	-5.46088	-5.45181	0.0128377
9	-5.50383	-5.45759	0.0126455
10	-5.52276	-5.46411	0.0129515
11	-5.60843	-5.47723	0.0171789
12	-5.54638	-5.48299	0.0166857
13	-5.57542	-5.4901	0.0168491
14	-5.54161	-5.49378	0.0160422
15	-5.51526	-5.49521	0.0150364
16	-5.52858	-5.4973	0.0142405
17	-5.61417	-5.50417	0.0149707
18	-5.57639	-5.50819	0.0146668
19	-5.55007	-5.51039	0.0140596
20	-5.50956	-5.51035	0.0133567
21	-5.5868	-5.51399	0.0132075
22	-5.55189	-5.51571	0.012719
23	-5.59915	-5.51934	0.0126727
24	-5.54033	-5.52021	0.0121749
25	-5.54583	-5.52124	0.0117309
26	-5.55726	-5.52263	0.0113612
27	-5.6609	-5.52775	0.0120395
28	-5.62178	-5.5311	0.0120688
29	-5.55645	-5.53198	0.0116842
30	-5.58485	-5.53374	0.0114269
31	-5.60167	-5.53593	0.0112664
32	-5.53485	-5.5359	0.0109144
33	-5.50652	-5.53501	0.0106199
34	-5.46361	-5.53291	0.0105132
35	-5.49232	-5.53175	0.0102765
36	-5.49466	-5.53072	0.0100426
37	-5.45251	-5.5286	0.00999113
38	-5.42401	-5.52585	0.0101003
39	-5.3972	-5.52255	0.0103659
40	-5.47214	-5.52129	0.0101831
41	-5.49766	-5.52072	0.00995106
42	-5.49716	-5.52016	0.00972992
43	-5.57263	-5.52138	0.00957988
44	-5.54194	-5.52184	0.00937355
45	-5.54809	-5.52243	0.00918338
46	-5.55494	-5.52313	0.00901089
47	-5.56459	-5.52402	0.00886223
48	-5.52045	-5.52394	0.00867791
49	-5.44877	-5.52241	0.00863537
50	-5.46156	-5.52119	0.00854799
51	-5.4887	-5.52055	0.00840409
52	-5.58201	-5.52173	0.00832515
53	-5.59014	-5.52303	0.0082675
54	-5.57737	-5.52403	0.00817542
55	-5.56051	-5.52469	0.00805364
56	-5.57948	-5.52567	0.00796902
57	-5.55218	-5.52614	0.00784276
58	-5.5682	-5.52686	0.00774099
59	-5.54016	-5.52709	0.00761307
60	-5.55316	-5.52752	0.00749858
61	-5.50147	-5.5271	0.0073878
62	-5.53338	-5.5272	0.00726934
63	-5.36958	-5.5247	0.00757225
64	-5.46373	-5.52374	0.0075136
65	-5.4166	-5.52209	0.00757667
66	-5.41456	-5.52047	0.00763506
67	-5.51544	-5.52039	0.00752147
68	-5.5287	-5.52051	0.00741185
69	-5.53077	-5.52066	0.00730592
70	-5.46077	-5.51981	0.00725149
71	-5.36453	-5.51762	0.00747185
72	-5.42396	-5.51632	0.00748046
73	-5.47178	-5.51571	0.00740283
74	-5.47236	-5.51512	0.00732593
75	-5.58491	-5.51605	0.00728711
76	-5.57668	-5.51685	0.00723475
77	-5.52595	-5.51697	0.00714176
78	-5.48999	-5.51662	0.00705856
79	-5.48543	-5.51623	0.00698025
80	-5.48337	-5.51582	0.00690507
81	-5.48459	-5.51543	0.00683057
82	-5.30384	-5.51285	0.00721821
83	-5.33341	-5.51069	0.00744798
84	-5.37132	-5.50903	0.00754184
85	-5.45087	-5.50835	0.00748409
86	-5.46371	-5.50783	0.00741504
87	-5.41399	-5.50675	0.00740784
88	-5.48143	-5.50646	0.00732925
89	-5.42528	-5.50555	0.00730344
90	-5.46369	-5.50508	0.00723709
91	-5.53193	-5.50538	0.00716357
92	-5.56895	-5.50607	0.00711895
93	-5.49011	-5.5059	0.00704447
94	-5.50252	-5.50586	0.00696962
95	-5.43237	-5.50509	0.00693905
96	-5.43464	-5.50435	0.00690547
97	-5.45589	-5.50385	0.00685233
