Block	Mean	Prog_mean	Error
1	-81.5575	-81.5575	0
2	-81.316	-81.4368	0.0853934
3	-80.8596	-81.2444	0.167093
4	-81.3939	-81.2818	0.129437
5	-81.1873	-81.2629	0.104919
6	-81.0252	-81.2233	0.0946147
7	-81.0964	-81.2051	0.0828166
8	-81.2381	-81.2092	0.0725669
9	-81.4436	-81.2353	0.0690162
10	-81.5537	-81.2671	0.0690692
11	-82.0241	-81.3359	0.0908184
12	-81.6983	-81.3661	0.0881285
13	-81.8701	-81.4049	0.0894692
14	-81.678	-81.4244	0.085179
15	-81.5334	-81.4317	0.0798099
16	-81.5731	-81.4405	0.0753096
17	-82.0843	-81.4784	0.0798364
18	-81.8783	-81.5006	0.0784321
19	-81.7429	-81.5134	0.0753333
20	-81.5187	-81.5136	0.0715671
21	-81.9392	-81.5339	0.070971
22	-81.7526	-81.5438	0.0684377
23	-81.9987	-81.5636	0.06826
24	-81.6964	-81.5691	0.0656398
25	-81.7466	-81.5762	0.063397
26	-81.8091	-81.5852	0.0615881
27	-82.3734	-81.6144	0.0658637
28	-82.166	-81.6341	0.0663921
29	-81.7829	-81.6392	0.0643006
30	-81.9596	-81.6499	0.063038
31	-82.0293	-81.6621	0.0621813
32	-81.6597	-81.6621	0.0602381
33	-81.493	-81.6569	0.0586302
34	-81.2365	-81.6446	0.0581951
35	-81.4138	-81.638	0.0569048
36	-81.4249	-81.6321	0.055631
37	-81.1782	-81.6198	0.0554634
38	-81.0137	-81.6038	0.0562503
39	-80.8695	-81.585	0.057874
40	-81.2866	-81.5776	0.0569061
41	-81.3989	-81.5732	0.0556847
42	-81.442	-81.5701	0.0544464
43	-81.855	-81.5767	0.0535818
44	-81.7109	-81.5798	0.0524508
45	-81.7406	-81.5833	0.051407
46	-81.8028	-81.5881	0.0505103
47	-81.8403	-81.5935	0.0497198
48	-81.5921	-81.5934	0.048684
49	-81.1965	-81.5853	0.0483599
50	-81.2671	-81.579	0.0478097
51	-81.4035	-81.5755	0.0469958
52	-81.9038	-81.5818	0.0465141
53	-81.9506	-81.5888	0.046154
54	-81.9105	-81.5948	0.0456822
55	-81.8349	-81.5991	0.0450598
56	-81.9134	-81.6047	0.0446034
57	-81.7628	-81.6075	0.043907
58	-81.8358	-81.6114	0.0433261
59	-81.7267	-81.6134	0.0426358
60	-81.7896	-81.6163	0.0420262
61	-81.5102	-81.6146	0.0413733
62	-81.6707	-81.6155	0.0407159
63	-80.794	-81.6025	0.0421057
64	-81.316	-81.598	0.0416851
65	-81.0588	-81.5897	0.0418609
66	-81.0125	-81.5809	0.0421303
67	-81.5571	-81.5806	0.041503
68	-81.6058	-81.581	0.0408943
69	-81.5911	-81.5811	0.0403019
70	-81.2344	-81.5762	0.0400293
71	-80.7095	-81.5639	0.0412847
72	-81.046	-81.5568	0.0413333
73	-81.3208	-81.5535	0.0408933
74	-81.3227	-81.5504	0.0404595
75	-81.9705	-81.556	0.0403059
76	-81.9319	-81.561	0.040078
77	-81.6538	-81.5622	0.0395756
78	-81.4175	-81.5603	0.0391117
79	-81.4125	-81.5584	0.0386613
80	-81.3848	-81.5563	0.0382389
81	-81.3813	-81.5541	0.0378278
82	-80.3435	-81.5393	0.0401439
83	-80.525	-81.5271	0.0414789
84	-80.7364	-81.5177	0.0420396
85	-81.1545	-81.5134	0.0417616
86	-81.228	-81.5101	0.0414076
87	-80.9636	-81.5038	0.0414055
88	-81.3376	-81.5019	0.0409781
89	-81.007	-81.4964	0.0408933
90	-81.2183	-81.4933	0.0405555
91	-81.6105	-81.4946	0.0401303
92	-81.8027	-81.4979	0.0398335
93	-81.349	-81.4963	0.0394374
94	-81.4611	-81.4959	0.0390196
95	-81.0655	-81.4914	0.038871
96	-81.0794	-81.4871	0.0387024
97	-81.1862	-81.484	0.0384275
98	-81.4885	-81.4841	0.0380354
99	-80.8978	-81.4781	0.0381095
100	-80.8328	-81.4717	0.038271
101	-80.9695	-81.4667	0.0382138
102	-81.3704	-81.4658	0.0378508
103	-81.2783	-81.464	0.037527
104	-81.4612	-81.4639	0.0371662
105	-81.0443	-81.4599	0.0370265
106	-80.6994	-81.4528	0.0373659
107	-81.6015	-81.4541	0.0370426
108	-81.5461	-81.455	0.0367093
109	-81.8328	-81.4585	0.0365358
110	-81.6321	-81.46	0.0362377
111	-81.8821	-81.4638	0.0361102
112	-81.5869	-81.4649	0.0358045
113	-81.5397	-81.4656	0.0354937
114	-81.3956	-81.465	0.0351877
115	-81.1811	-81.4625	0.0349682
116	-81.0308	-81.4588	0.0348642
117	-80.7203	-81.4525	0.035133
118	-81.0971	-81.4495	0.0349641
119	-81.196	-81.4473	0.0347351
120	-81.4479	-81.4474	0.0344457
121	-81.5255	-81.448	0.0341671
122	-81.3022	-81.4468	0.0339079
123	-81.066	-81.4437	0.0337733
124	-81.1701	-81.4415	0.0335729
125	-81.294	-81.4403	0.0333251
126	-81.6901	-81.4423	0.0331195
127	-81.7022	-81.4443	0.0329219
128	-81.583	-81.4454	0.0326825
129	-81.6569	-81.4471	0.0324702
130	-81.1876	-81.4451	0.0322818
131	-80.9466	-81.4413	0.0322588
132	-81.0399	-81.4382	0.0321575
133	-81.0836	-81.4356	0.032026
134	-80.7338	-81.4303	0.0322124
135	-80.3352	-81.4222	0.0329794
136	-80.3064	-81.414	0.0337421
137	-80.6997	-81.4088	0.0338962
138	-80.7924	-81.4043	0.0339435
139	-81.0521	-81.4018	0.0337938
140	-80.3819	-81.3945	0.0343287
141	-80.5711	-81.3887	0.0345784
142	-80.683	-81.3837	0.0346901
143	-81.2392	-81.3827	0.0344622
144	-81.5623	-81.3839	0.0342455
145	-82.1118	-81.389	0.0343753
146	-82.1633	-81.3943	0.0345466
147	-82.3995	-81.4011	0.0349818
148	-82.3127	-81.4073	0.0352835
149	-82.4851	-81.4145	0.0357806
