step	HT	err
0	0.701425	0.0123461
1	0.338121	0.0106299
2	0.338121	0.0106299
3	-0.0335596	0.00628097
4	-0.0335596	0.00628097
5	-0.143679	0.00211279
6	-0.394605	0.0010672
7	-0.394605	0.0010672
8	-0.231139	0.0033412
9	0.509427	0.013842
10	0.824952	0.0156819
11	0.824952	0.0156819
12	-0.235977	0.00290218
13	-0.256674	0.00267653
14	0.29902	0.0117828
15	0.29902	0.0117828
16	-0.169183	0.00183546
17	-0.219743	0.0036149
18	-0.219743	0.0036149
19	-0.271089	0.00265046
20	-0.388158	0.00156512
21	-0.336489	0.00109206
22	-0.336489	0.00109206
23	-0.336489	0.00109206
24	-0.189239	0.0038484
25	-0.189239	0.0038484
26	-0.189239	0.0038484
27	0.110794	0.0075558
28	-0.424446	0.000813428
29	-0.424446	0.000813428
30	-0.424446	0.000813428
31	-0.0570258	0.00177862
32	-0.0570258	0.00177862
33	-0.205463	0.00367053
34	-0.205463	0.00367053
35	-0.349629	0.0011667
36	-0.2099	0.00157647
37	-0.2099	0.00157647
38	-0.363279	0.00150127
39	0.652516	0.0137192
40	0.00917509	0.00620096
41	-0.3337	0.00125002
42	-0.3337	0.00125002
43	0.549506	0.00382616
44	-0.243356	0.00313585
45	-0.158896	0.00479579
46	0.480087	0.012529
47	0.480087	0.012529
48	0.480087	0.012529
49	0.795536	0.0134607
50	0.259929	0.0085787
51	0.44718	0.0040189
52	-0.276758	0.00296108
53	-0.276758	0.00296108
54	0.0926115	0.00748455
55	0.0926115	0.00748455
56	-0.0950243	0.00357593
57	-0.0950243	0.00357593
58	-0.00211467	0.00610499
59	-0.00211467	0.00610499
60	-0.00596878	0.00518609
61	-0.00596878	0.00518609
62	0.246236	0.00963339
63	-0.353043	0.00146314
64	1.10764	0.00660076
65	1.10764	0.00660076
66	1.10764	0.00660076
67	-0.234944	0.00247014
68	-0.234944	0.00247014
69	-0.163979	0.00231949
70	-0.163979	0.00231949
71	-0.163979	0.00231949
72	-0.405883	0.00110672
73	-0.0376819	0.00510163
74	-0.0376819	0.00510163
75	0.782221	0.00987851
76	1.84021	0.0227951
77	-0.29306	0.00246987
78	-0.145188	0.00161768
79	-0.129129	0.00462245
80	-0.0452006	0.00182286
81	-0.0452006	0.00182286
82	-0.0674709	0.00599839
83	-0.301801	0.00157043
84	-0.218509	0.00386746
85	-0.217177	0.00178588
86	-0.222524	0.00326197
87	1.07135	0.0214765
88	1.07135	0.0214765
89	-0.0885197	0.00578335
90	-0.208205	0.00356085
91	-0.255292	0.00275294
92	-0.179778	0.00427184
93	0.191026	0.0117533
94	0.191026	0.0117533
95	0.488367	0.0130683
96	2.25236	0.031163
97	0.289862	0.0110661
98	0.804002	0.0185514
99	0.804002	0.0185514
100	0.804002	0.0185514
101	0.804002	0.0185514
102	0.653398	0.0173133
103	0.653398	0.0173133
104	-0.225769	0.0018237
105	-0.220087	0.00309033
106	-0.202674	0.00397768
107	-0.202674	0.00397768
