Mean	Error
-0.449179	0
-0.447134	0.00144559
-0.442279	0.00407963
-0.444083	0.0034353
-0.445399	0.00298993
-0.444977	0.00252122
-0.445589	0.0022341
-0.444441	0.00223038
-0.444431	0.00198258
-0.444197	0.00179805
-0.445088	0.0018423
-0.444166	0.00190594
-0.443863	0.00178319
-0.443928	0.00165701
-0.444049	0.00155096
-0.443728	0.00148687
-0.444464	0.00157108
-0.444732	0.00150637
-0.444919	0.00143863
-0.444135	0.00156555
-0.443974	0.00149929
-0.44472	0.00160605
-0.445098	0.00158009
-0.445513	0.00156777
-0.445821	0.00153505
-0.445472	0.00151515
-0.445016	0.00152616
-0.445069	0.00147259
-0.445557	0.00150035
-0.445713	0.00145848
-0.445853	0.00141807
-0.445549	0.00140577
-0.44539	0.00137219
-0.445124	0.00135732
-0.445064	0.00131987
-0.445165	0.00128708
-0.4449	0.00127932
-0.44429	0.00138344
-0.444344	0.00134901
-0.444166	0.00132696
-0.444308	0.00130222
-0.444359	0.00127222
-0.444598	0.00126489
-0.444617	0.00123629
-0.444522	0.00121248
-0.444334	0.0012006
-0.444268	0.00117687
-0.444396	0.00115923
-0.444223	0.0011483
-0.444245	0.00112554
-0.44452	0.00113638
-0.44443	0.00111808
-0.444597	0.00110948
-0.4446	0.00108893
-0.444452	0.00107913
-0.444027	0.00114048
-0.443949	0.00112314
-0.443837	0.0011093
-0.443737	0.00109497
-0.443619	0.00108312
-0.44363	0.00106542
-0.443781	0.00105893
-0.443759	0.00104235
-0.443718	0.00102686
-0.443643	0.00101379
-0.443523	0.0010055
-0.443328	0.0010093
-0.443321	0.00099448
-0.443488	0.000994003
-0.443467	0.000980012
-0.443433	0.000966808
-0.443365	0.00095577
-0.443295	0.000945225
-0.443247	0.000933664
-0.443049	0.00094211
-0.442995	0.000931263
-0.443068	0.000922103
-0.443137	0.000912809
-0.443302	0.000916036
-0.443338	0.000905291
-0.443387	0.000895444
-0.443555	0.000900244
-0.443561	0.000889413
-0.443598	0.000879631
-0.443462	0.000879848
-0.443405	0.000871454
-0.443229	0.000879015
-0.443346	0.000876856
-0.443316	0.000867527
-0.443236	0.000861554
-0.443262	0.000852465
-0.443263	0.000843199
-0.443266	0.000834139
-0.443262	0.000825274
-0.443374	0.000824161
-0.44343	0.000817437
-0.443339	0.00081401
-0.443313	0.000806107
-0.44334	0.000798391
-0.44341	0.000793489
