step	mu	sigma
0	1	1
1	0.524622	1.23886
2	0.524622	1.23886
3	0.772878	0.956999
4	0.772878	0.956999
5	1.06867	0.592997
6	0.700552	0.690933
7	0.700552	0.690933
8	0.428275	0.993791
9	0.504499	1.29343
10	0.146354	1.4481
11	0.146354	1.4481
12	0.351577	1.00314
13	0.371701	0.946852
14	0.49807	1.23902
15	0.49807	1.23902
16	0.201648	0.826308
17	0.423679	1.00132
18	0.423679	1.00132
19	0.578566	0.889085
20	0.903602	0.648731
21	0.953132	0.574416
22	0.953132	0.574416
23	0.953132	0.574416
24	0.686895	0.925152
25	0.686895	0.925152
26	0.686895	0.925152
27	0.894376	0.921566
28	0.746649	0.581036
29	0.746649	0.581036
30	0.746649	0.581036
31	0.335331	0.68047
32	0.335331	0.68047
33	0.466158	1.00336
34	0.466158	1.00336
35	0.630846	0.716969
36	0.570378	0.516521
37	0.570378	0.516521
38	0.67891	0.743648
39	0.709911	1.21694
40	0.941335	0.846052
41	0.609266	0.716058
42	0.609266	0.716058
43	0.125552	0.527107
44	0.554282	0.930832
45	0.364905	1.08669
46	0.813553	1.10727
47	0.813553	1.10727
48	0.813553	1.10727
49	1.02087	0.999376
50	0.885849	0.985014
51	1.24172	0.59873
52	0.849145	0.777364
53	0.849145	0.777364
54	0.795559	0.993267
55	0.795559	0.993267
56	1.04923	0.683573
57	1.04923	0.683573
58	0.871312	0.897565
59	0.871312	0.897565
60	1.01369	0.770796
61	1.01369	0.770796
62	0.610102	1.16732
63	0.660904	0.746686
64	0.303337	0.287337
65	0.303337	0.287337
66	0.303337	0.287337
67	0.775093	0.481507
68	0.775093	0.481507
69	1.06048	0.594403
70	1.06048	0.594403
71	1.06048	0.594403
72	0.893044	0.592058
73	0.943991	0.827027
74	0.943991	0.827027
75	1.15646	0.843827
76	1.07998	1.13848
77	0.668423	0.835703
78	0.413021	0.690658
79	0.185844	1.15589
80	0.169084	0.743117
81	0.169084	0.743117
82	0.131858	1.19178
83	0.566208	0.798989
84	0.113474	1.08094
85	0.342027	0.828962
86	0.407754	1.00479
87	0.0517168	1.48834
88	0.0517168	1.48834
89	0.217659	1.17221
90	0.0361146	1.10144
91	0.406478	0.93033
92	0.0454116	1.13067
93	0.116123	1.29519
94	0.116123	1.29519
95	0.0917242	1.37377
96	0.192873	1.63705
97	0.433032	1.25699
98	0.212527	1.43235
99	0.212527	1.43235
100	0.212527	1.43235
101	0.212527	1.43235
102	0.53604	1.30731
103	0.53604	1.30731
104	0.178761	0.90473
105	0.123498	1.07532
106	0.409275	1.0331
107	0.409275	1.0331
108	0.669282	0.676317
109	0.669282	0.676317
110	0.669282	0.676317
111	0.669282	0.676317
112	0.740069	0.644036
113	0.50077	0.504748
114	0.534547	0.656341
115	0.534547	0.656341
116	0.534547	0.656341
117	0.319269	0.521541
118	0.721746	0.942744
119	0.721746	0.942744
120	0.721746	0.942744
121	0.37253	1.10944
122	0.115498	1.34784
123	0.347715	0.967016
124	0.347715	0.967016
125	0.347715	0.967016
126	0.347715	0.967016
127	0.128984	1.16776
128	0.0513861	1.22344
129	0.114802	1.23088
130	0.612414	1.30695
131	0.612414	1.30695
132	0.612414	1.30695
133	0.612414	1.30695
134	0.612414	1.30695
135	0.707885	0.970687
136	0.807013	0.851187
137	0.475654	1.19383
138	0.478597	1.31566
139	0.478597	1.31566
140	0.0576689	0.975471
141	0.151187	0.99052
142	0.529224	1.0516
143	0.753264	0.555337
144	0.734203	0.502621
145	0.734203	0.502621
146	0.734203	0.502621
147	0.446681	0.294536
148	0.561061	0.670815
149	0.561061	0.670815
150	0.667763	0.546041
151	0.773376	0.984528
152	0.469172	0.727543
153	0.469172	0.727543
154	0.469172	0.727543
155	0.799963	0.941723
156	0.799963	0.941723
157	0.713653	0.768062
158	0.713653	0.768062
159	0.699252	0.720621
160	0.699252	0.720621
161	0.302031	0.494384
162	0.238298	0.671773
163	0.238298	0.671773
164	0.0474843	0.986634
165	0.430619	0.50922
166	0.166815	0.903871
167	0.582998	0.621422
168	0.294975	0.896522
