gen	fitness
0	29.8296
1	28.3331
2	27.5587
3	25.5673
4	24.448
5	21.055
6	20.8889
7	19.9444
8	18.7602
9	17.6323
10	17.599
11	17.2348
12	16.6018
13	15.8566
14	15.6176
15	14.2485
16	13.6892
17	13.5343
18	13.1574
19	12.9064
20	12.2098
21	12.2098
22	11.8124
23	11.0834
24	10.8331
25	10.4499
26	9.78951
27	9.78951
28	9.51359
29	9.02422
30	8.88008
31	8.78287
32	8.37641
33	8.01758
34	7.74291
35	7.74166
36	7.59229
37	7.37991
38	7.10518
39	7.10518
40	6.95456
41	6.82926
42	6.67864
43	6.67864
44	6.65195
45	6.44756
46	6.44756
47	6.42087
48	6.42087
49	6.42087
50	6.30295
51	6.30295
52	6.30295
53	6.27626
54	6.27273
55	6.25193
56	6.25193
57	6.25193
58	6.24839
59	6.24839
60	6.24839
61	6.24839
62	6.24839
63	6.24839
64	6.24839
65	6.24839
66	6.24839
67	6.24839
68	6.24839
69	6.24839
70	6.24839
71	6.24839
72	6.24839
73	6.24839
74	6.24839
75	6.24839
76	6.24839
77	6.24839
78	6.24839
79	6.24839
80	6.24839
81	6.24839
82	6.24839
83	6.24839
84	6.24839
85	6.24839
86	6.24839
87	6.24839
88	6.24839
89	6.24839
90	6.24839
91	6.24839
92	6.24839
93	6.24839
94	6.24839
95	6.24839
96	6.24839
97	6.24839
98	6.24839
99	6.24839
100	6.24839
