Mean	Error
37.809	0
36.0212	1.2642
34.3442	1.60783
33.0048	1.67324
31.9306	1.64768
30.9792	1.62471
30.0494	1.63716
29.1281	1.6718
28.2438	1.70394
27.4317	1.71619
26.6833	1.71561
25.9895	1.70716
25.3577	1.68871
24.784	1.66271
24.2588	1.63268
23.7653	1.60349
23.2921	1.57744
22.8303	1.55595
22.3805	1.53769
21.9464	1.52085
21.5363	1.50269
21.1494	1.48336
20.7798	1.4642
20.4262	1.44526
20.0856	1.42701
19.7566	1.40955
19.4357	1.39338
19.1209	1.37872
18.8142	1.36487
18.5168	1.35139
18.2282	1.33825
17.9494	1.32516
17.6795	1.31221
17.4185	1.29931
17.1658	1.28651
16.9193	1.27417
16.6788	1.26223
16.4456	1.25037
16.2201	1.23848
16.0015	1.22667
15.7894	1.21494
15.5837	1.2033
15.3848	1.19164
15.1925	1.17998
15.0063	1.16834
14.8263	1.15673
14.6524	1.14512
14.4842	1.13355
14.3213	1.12205
14.1639	1.1106
14.0122	1.09913
13.866	1.08768
13.7247	1.0763
13.5879	1.06502
13.4556	1.05384
13.3277	1.04276
13.204	1.03177
13.0844	1.02089
12.9687	1.01012
12.8568	0.999469
12.7485	0.988935
12.6437	0.978524
12.5422	0.968243
12.4438	0.958095
12.3485	0.948084
12.2561	0.938214
12.1664	0.928485
12.0794	0.918901
11.9949	0.909461
11.9128	0.900166
11.833	0.891016
11.7555	0.882011
11.68	0.873149
11.6066	0.864429
11.5352	0.85585
11.4656	0.847411
11.3979	0.83911
11.3318	0.830946
11.2675	0.822915
11.2047	0.815017
11.1436	0.807249
11.0839	0.799608
11.0256	0.792094
10.9687	0.784703
10.9132	0.777434
10.859	0.770284
10.806	0.763251
10.7542	0.756333
10.7035	0.749527
10.654	0.742832
10.6056	0.736245
10.5583	0.729764
10.5119	0.723387
10.4666	0.717112
10.4222	0.710937
10.3787	0.704859
10.3361	0.698878
10.2944	0.69299
10.2535	0.687194
10.2135	0.681488
