gen	fitness
0	12.5151
1	11.6069
2	11.5266
3	10.6154
4	10.3541
5	9.99641
6	9.67165
7	9.23186
8	8.94593
9	8.83456
10	8.61277
11	8.26904
12	8.22443
13	7.91525
14	7.76534
15	7.71135
16	7.46781
17	7.25483
18	7.07308
19	6.98415
20	6.73476
21	6.49673
22	6.43372
23	6.31158
24	6.07354
25	6.07354
26	5.93772
27	5.88221
28	5.69014
29	5.65886
30	5.59069
31	5.54608
32	5.42976
33	5.42976
34	5.38155
35	5.38155
36	5.34902
37	5.33694
38	5.3113
39	5.26669
40	5.26669
41	5.26114
42	5.2473
43	5.21777
44	5.21079
45	5.21079
46	5.18751
47	5.16812
48	5.16812
49	5.16812
50	5.16812
51	5.16812
52	5.16812
53	5.16812
54	5.16812
55	5.16812
56	5.16812
57	5.16812
58	5.16812
59	5.16812
60	5.16812
61	5.16812
62	5.16812
63	5.16812
64	5.16812
65	5.16812
66	5.16812
67	5.16812
68	5.16812
69	5.16812
70	5.16812
71	5.16812
72	5.16812
73	5.16812
74	5.16812
75	5.16812
76	5.16812
77	5.16812
78	5.16812
79	5.16812
80	5.16812
81	5.16812
82	5.16812
83	5.16812
84	5.16812
85	5.16812
86	5.16812
87	5.16812
88	5.16812
89	5.16812
90	5.16812
91	5.16812
92	5.16812
93	5.16812
94	5.16812
95	5.16812
96	5.16812
97	5.16812
98	5.16812
99	5.16812
100	5.16812
