Mean	Error
15.9347	0
15.2063	0.51502
14.4762	0.687962
13.8701	0.736046
13.3875	0.730077
12.9825	0.711933
12.6217	0.695668
12.3065	0.676339
12.0248	0.657255
11.7646	0.640963
11.5235	0.626409
11.3026	0.611916
11.0994	0.597635
10.9109	0.583904
10.734	0.571157
10.5662	0.559576
10.408	0.54856
10.258	0.53819
10.1158	0.528337
9.97904	0.519307
9.84672	0.511159
9.71902	0.503621
9.59438	0.49691
9.47232	0.490967
9.35342	0.485512
9.23834	0.480284
9.12721	0.47518
9.01945	0.470267
8.91553	0.465394
8.81566	0.46047
8.71896	0.455656
8.6254	0.45092
8.53498	0.446229
8.44791	0.441519
8.36406	0.436794
8.28332	0.432059
8.2058	0.427279
8.13165	0.422419
8.06075	0.417496
7.99283	0.412547
7.92765	0.407601
7.86501	0.402681
7.80485	0.397784
7.74713	0.392908
7.6917	0.388067
7.63838	0.383277
7.58702	0.378548
7.53753	0.373883
7.48979	0.369288
7.4437	0.364766
7.39922	0.360316
7.35635	0.355928
7.31507	0.351599
7.27531	0.347328
7.237	0.34312
7.20005	0.338976
7.1644	0.334898
7.12998	0.330888
7.09673	0.326946
7.06459	0.323073
7.0335	0.319269
7.00341	0.315534
6.97428	0.311868
6.94606	0.308269
6.91871	0.304738
6.89218	0.301272
6.86645	0.297873
6.84147	0.294537
6.81722	0.291265
6.79366	0.288056
6.77077	0.284907
6.74851	0.281818
6.72686	0.278788
6.7058	0.275815
6.68529	0.272899
6.66533	0.270037
6.64589	0.267229
6.62694	0.264474
6.60848	0.26177
6.59047	0.259116
6.57291	0.256512
6.55578	0.253955
6.53906	0.251445
6.52274	0.248981
6.5068	0.246561
6.49124	0.244185
6.47603	0.241851
6.46117	0.239559
6.44664	0.237308
6.43243	0.235096
6.41854	0.232922
6.40495	0.230787
6.39165	0.228688
6.37863	0.226625
6.36589	0.224598
6.35341	0.222605
6.34119	0.220645
6.32922	0.218718
6.31749	0.216823
6.306	0.214959
